"","First_branch","Second_branch","t5","t10","t8","t6","t4","t9","t7","t2","t1","t3"
"1",1,0,1,2,2,0,0,0,0,0,0,0
"2",2,0,0,0,0,0,0,0,0,0,0,0
"3",3,0,0,1,2,1,0,0,0,0,0,1
"4",5,0,0,2,0,0,0,0,0,0,0,0
"5",6,0,0,0,1,0,0,0,0,0,0,0
"6",7,0,0,0,0,1,0,0,0,0,0,0
"7",8,0,0,0,0,0,0,1,1,1,0,1
"8",9,0,0,0,0,0,1,0,0,0,0,0
"9",10,0,0,0,0,0,1,0,0,0,0,0
"10",11,0,0,0,0,0,0,0,0,0,0,0
"11",12,0,0,0,0,0,0,0,1,1,1,1
"12",13,0,0,0,0,0,0,0,1,1,0,0
"13",14,0,0,0,0,0,0,0,2,0,0,0
"14",15,0,0,0,0,0,0,0,0,1,0,0
"15",16,0,0,0,0,0,0,0,0,0,1,1
"16",17,0,0,0,0,0,0,0,0,0,1,0
"17",18,0,0,0,0,0,0,0,0,0,0,1
