"","inferred","true","numSites","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",7,16,18,0.05,0.05,0,"Binary","MO"
"2",11,16,18,0.05,0.05,0,"Binary","MO"
"3",15,16,18,0.05,0.05,0,"Binary","MO"
"4",14,16,18,0.05,0.05,0,"Binary","MO"
"5",13,16,18,0.05,0.05,0,"Binary","MO"
"6",8,16,18,0.05,0.05,0,"Binary","MO"
"7",10,16,18,0.05,0.05,0,"Binary","MO"
"8",7,16,18,0.05,0.05,0,"Binary","MO"
"9",11,16,18,0.05,0.05,0,"Binary","MO"
"10",14,16,18,0.05,0.05,0,"Binary","MO"
"11",8,16,18,0.05,0.05,0,"Binary","MO"
"12",13,16,18,0.05,0.05,0,"Binary","MO"
"13",13,16,18,0.05,0.05,0,"Binary","MO"
"14",10,16,18,0.05,0.05,0,"Binary","MO"
"15",9,16,18,0.05,0.05,0,"Binary","MO"
"16",15,16,18,0.05,0.05,0,"Binary","MO"
"17",15,16,18,0.05,0.05,0,"Binary","MO"
"18",8,16,18,0.05,0.05,0,"Binary","MO"
"19",13,16,18,0.05,0.05,0,"Binary","MO"
"20",12,16,18,0.05,0.05,0,"Binary","MO"
"21",13,16,18,0.05,0.05,0,"Binary","MO"
"22",12,16,18,0.05,0.05,0,"Binary","MO"
"23",12,16,18,0.05,0.05,0,"Binary","MO"
"24",9,16,18,0.05,0.05,0,"Binary","MO"
"25",13,16,18,0.05,0.05,0,"Binary","MO"
"26",14,16,18,0.05,0.05,0,"Binary","MO"
"27",10,16,18,0.05,0.05,0,"Binary","MO"
"28",13,16,18,0.05,0.05,0,"Binary","MO"
"29",13,16,18,0.05,0.05,0,"Binary","MO"
"30",13,16,18,0.05,0.05,0,"Binary","MO"
"31",9,16,18,0.05,0.05,0,"Binary","MO"
"32",11,16,18,0.05,0.05,0,"Binary","MO"
"33",11,16,18,0.05,0.05,0,"Binary","MO"
"34",11,16,18,0.05,0.05,0,"Binary","MO"
"35",11,16,18,0.05,0.05,0,"Binary","MO"
"36",13,16,18,0.05,0.05,0,"Binary","MO"
"37",14,16,18,0.05,0.05,0,"Binary","MO"
"38",9,16,18,0.05,0.05,0,"Binary","MO"
"39",11,16,18,0.05,0.05,0,"Binary","MO"
"40",10,16,18,0.05,0.05,0,"Binary","MO"
"41",9,16,18,0.05,0.05,0,"Binary","MO"
"42",11,16,18,0.05,0.05,0,"Binary","MO"
"43",15,16,18,0.05,0.05,0,"Binary","MO"
"44",13,16,18,0.05,0.05,0,"Binary","MO"
"45",11,16,18,0.05,0.05,0,"Binary","MO"
"46",11,16,18,0.05,0.05,0,"Binary","MO"
"47",12,16,18,0.05,0.05,0,"Binary","MO"
"48",9,16,18,0.05,0.05,0,"Binary","MO"
"49",12,16,18,0.05,0.05,0,"Binary","MO"
"50",11,16,18,0.05,0.05,0,"Binary","MO"
"51",12,16,18,0.05,0.05,0,"Binary","MO"
"52",11,16,18,0.05,0.05,0,"Binary","MO"
"53",14,16,18,0.05,0.05,0,"Binary","MO"
"54",12,16,18,0.05,0.05,0,"Binary","MO"
"55",13,16,18,0.05,0.05,0,"Binary","MO"
"56",10,16,18,0.05,0.05,0,"Binary","MO"
"57",11,16,18,0.05,0.05,0,"Binary","MO"
"58",8,16,18,0.05,0.05,0,"Binary","MO"
"59",10,16,18,0.05,0.05,0,"Binary","MO"
"60",12,16,18,0.05,0.05,0,"Binary","MO"
"61",12,16,18,0.05,0.05,0,"Binary","MO"
"62",6,16,18,0.05,0.05,0,"Binary","MO"
"63",13,16,18,0.05,0.05,0,"Binary","MO"
"64",16,16,18,0.05,0.05,0,"Binary","MO"
"65",11,16,18,0.05,0.05,0,"Binary","MO"
"66",13,16,18,0.05,0.05,0,"Binary","MO"
"67",11,16,18,0.05,0.05,0,"Binary","MO"
"68",12,16,18,0.05,0.05,0,"Binary","MO"
"69",11,16,18,0.05,0.05,0,"Binary","MO"
"70",12,16,18,0.05,0.05,0,"Binary","MO"
"71",10,16,18,0.05,0.05,0,"Binary","MO"
"72",11,16,18,0.05,0.05,0,"Binary","MO"
"73",14,16,18,0.05,0.05,0,"Binary","MO"
"74",11,16,18,0.05,0.05,0,"Binary","MO"
"75",12,16,18,0.05,0.05,0,"Binary","MO"
"76",8,16,18,0.05,0.05,0,"Binary","MO"
"77",12,16,18,0.05,0.05,0,"Binary","MO"
"78",14,16,18,0.05,0.05,0,"Binary","MO"
"79",10,16,18,0.05,0.05,0,"Binary","MO"
"80",6,16,18,0.05,0.05,0,"Binary","MO"
"81",12,16,18,0.05,0.05,0,"Binary","MO"
"82",12,16,18,0.05,0.05,0,"Binary","MO"
"83",11,16,18,0.05,0.05,0,"Binary","MO"
"84",12,16,18,0.05,0.05,0,"Binary","MO"
"85",13,16,18,0.05,0.05,0,"Binary","MO"
"86",8,16,18,0.05,0.05,0,"Binary","MO"
"87",11,16,18,0.05,0.05,0,"Binary","MO"
"88",10,16,18,0.05,0.05,0,"Binary","MO"
"89",13,16,18,0.05,0.05,0,"Binary","MO"
"90",9,16,18,0.05,0.05,0,"Binary","MO"
"91",11,16,18,0.05,0.05,0,"Binary","MO"
"92",10,16,18,0.05,0.05,0,"Binary","MO"
"93",10,16,18,0.05,0.05,0,"Binary","MO"
"94",11,16,18,0.05,0.05,0,"Binary","MO"
"95",12,16,18,0.05,0.05,0,"Binary","MO"
"96",9,16,18,0.05,0.05,0,"Binary","MO"
"97",8,16,18,0.05,0.05,0,"Binary","MO"
"98",15,16,18,0.05,0.05,0,"Binary","MO"
"99",10,16,18,0.05,0.05,0,"Binary","MO"
"100",13,16,18,0.05,0.05,0,"Binary","MO"
"101",8,16,18,0.1,0.05,0,"Binary","MO"
"102",11,16,18,0.1,0.05,0,"Binary","MO"
"103",6,16,18,0.1,0.05,0,"Binary","MO"
"104",12,16,18,0.1,0.05,0,"Binary","MO"
"105",14,16,18,0.1,0.05,0,"Binary","MO"
"106",6,16,18,0.1,0.05,0,"Binary","MO"
"107",6,16,18,0.1,0.05,0,"Binary","MO"
"108",7,16,18,0.1,0.05,0,"Binary","MO"
"109",14,16,18,0.1,0.05,0,"Binary","MO"
"110",10,16,18,0.1,0.05,0,"Binary","MO"
"111",6,16,18,0.1,0.05,0,"Binary","MO"
"112",12,16,18,0.1,0.05,0,"Binary","MO"
"113",9,16,18,0.1,0.05,0,"Binary","MO"
"114",7,16,18,0.1,0.05,0,"Binary","MO"
"115",7,16,18,0.1,0.05,0,"Binary","MO"
"116",6,16,18,0.1,0.05,0,"Binary","MO"
"117",9,16,18,0.1,0.05,0,"Binary","MO"
"118",7,16,18,0.1,0.05,0,"Binary","MO"
"119",4,16,18,0.1,0.05,0,"Binary","MO"
"120",10,16,18,0.1,0.05,0,"Binary","MO"
"121",7,16,18,0.1,0.05,0,"Binary","MO"
"122",6,16,18,0.1,0.05,0,"Binary","MO"
"123",8,16,18,0.1,0.05,0,"Binary","MO"
"124",7,16,18,0.1,0.05,0,"Binary","MO"
"125",9,16,18,0.1,0.05,0,"Binary","MO"
"126",14,16,18,0.1,0.05,0,"Binary","MO"
"127",9,16,18,0.1,0.05,0,"Binary","MO"
"128",7,16,18,0.1,0.05,0,"Binary","MO"
"129",6,16,18,0.1,0.05,0,"Binary","MO"
"130",7,16,18,0.1,0.05,0,"Binary","MO"
"131",4,16,18,0.1,0.05,0,"Binary","MO"
"132",14,16,18,0.1,0.05,0,"Binary","MO"
"133",11,16,18,0.1,0.05,0,"Binary","MO"
"134",9,16,18,0.1,0.05,0,"Binary","MO"
"135",12,16,18,0.1,0.05,0,"Binary","MO"
"136",8,16,18,0.1,0.05,0,"Binary","MO"
"137",9,16,18,0.1,0.05,0,"Binary","MO"
"138",5,16,18,0.1,0.05,0,"Binary","MO"
"139",11,16,18,0.1,0.05,0,"Binary","MO"
"140",12,16,18,0.1,0.05,0,"Binary","MO"
"141",11,16,18,0.1,0.05,0,"Binary","MO"
"142",9,16,18,0.1,0.05,0,"Binary","MO"
"143",10,16,18,0.1,0.05,0,"Binary","MO"
"144",11,16,18,0.1,0.05,0,"Binary","MO"
"145",11,16,18,0.1,0.05,0,"Binary","MO"
"146",10,16,18,0.1,0.05,0,"Binary","MO"
"147",11,16,18,0.1,0.05,0,"Binary","MO"
"148",13,16,18,0.1,0.05,0,"Binary","MO"
"149",9,16,18,0.1,0.05,0,"Binary","MO"
"150",6,16,18,0.1,0.05,0,"Binary","MO"
"151",8,16,18,0.1,0.05,0,"Binary","MO"
"152",13,16,18,0.1,0.05,0,"Binary","MO"
"153",12,16,18,0.1,0.05,0,"Binary","MO"
"154",6,16,18,0.1,0.05,0,"Binary","MO"
"155",12,16,18,0.1,0.05,0,"Binary","MO"
"156",8,16,18,0.1,0.05,0,"Binary","MO"
"157",11,16,18,0.1,0.05,0,"Binary","MO"
"158",7,16,18,0.1,0.05,0,"Binary","MO"
"159",10,16,18,0.1,0.05,0,"Binary","MO"
"160",6,16,18,0.1,0.05,0,"Binary","MO"
"161",9,16,18,0.1,0.05,0,"Binary","MO"
"162",5,16,18,0.1,0.05,0,"Binary","MO"
"163",12,16,18,0.1,0.05,0,"Binary","MO"
"164",14,16,18,0.1,0.05,0,"Binary","MO"
"165",5,16,18,0.1,0.05,0,"Binary","MO"
"166",10,16,18,0.1,0.05,0,"Binary","MO"
"167",10,16,18,0.1,0.05,0,"Binary","MO"
"168",13,16,18,0.1,0.05,0,"Binary","MO"
"169",8,16,18,0.1,0.05,0,"Binary","MO"
"170",11,16,18,0.1,0.05,0,"Binary","MO"
"171",7,16,18,0.1,0.05,0,"Binary","MO"
"172",10,16,18,0.1,0.05,0,"Binary","MO"
"173",10,16,18,0.1,0.05,0,"Binary","MO"
"174",14,16,18,0.1,0.05,0,"Binary","MO"
"175",12,16,18,0.1,0.05,0,"Binary","MO"
"176",8,16,18,0.1,0.05,0,"Binary","MO"
"177",11,16,18,0.1,0.05,0,"Binary","MO"
"178",4,16,18,0.1,0.05,0,"Binary","MO"
"179",10,16,18,0.1,0.05,0,"Binary","MO"
"180",8,16,18,0.1,0.05,0,"Binary","MO"
"181",9,16,18,0.1,0.05,0,"Binary","MO"
"182",6,16,18,0.1,0.05,0,"Binary","MO"
"183",10,16,18,0.1,0.05,0,"Binary","MO"
"184",6,16,18,0.1,0.05,0,"Binary","MO"
"185",11,16,18,0.1,0.05,0,"Binary","MO"
"186",9,16,18,0.1,0.05,0,"Binary","MO"
