"","inferred","true","numSites","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",34,42,18,0.05,0.05,0,"Binary","MO"
"2",48,60,18,0.05,0.05,0,"Binary","MO"
"3",31,34,18,0.05,0.05,0,"Binary","MO"
"4",49,50,18,0.05,0.05,0,"Binary","MO"
"5",42,50,18,0.05,0.05,0,"Binary","MO"
"6",38,48,18,0.05,0.05,0,"Binary","MO"
"7",31,36,18,0.05,0.05,0,"Binary","MO"
"8",43,54,18,0.05,0.05,0,"Binary","MO"
"9",25,36,18,0.05,0.05,0,"Binary","MO"
"10",36,40,18,0.05,0.05,0,"Binary","MO"
"11",56,66,18,0.05,0.05,0,"Binary","MO"
"12",29,32,18,0.05,0.05,0,"Binary","MO"
"13",43,48,18,0.05,0.05,0,"Binary","MO"
"14",31,34,18,0.05,0.05,0,"Binary","MO"
"15",42,48,18,0.05,0.05,0,"Binary","MO"
"16",38,40,18,0.05,0.05,0,"Binary","MO"
"17",43,46,18,0.05,0.05,0,"Binary","MO"
"18",33,38,18,0.05,0.05,0,"Binary","MO"
"19",47,52,18,0.05,0.05,0,"Binary","MO"
"20",34,40,18,0.05,0.05,0,"Binary","MO"
"21",44,48,18,0.05,0.05,0,"Binary","MO"
"22",33,36,18,0.05,0.05,0,"Binary","MO"
"23",28,36,18,0.05,0.05,0,"Binary","MO"
"24",31,40,18,0.05,0.05,0,"Binary","MO"
"25",32,36,18,0.05,0.05,0,"Binary","MO"
"26",41,44,18,0.05,0.05,0,"Binary","MO"
"27",24,34,18,0.05,0.05,0,"Binary","MO"
"28",31,36,18,0.05,0.05,0,"Binary","MO"
"29",30,34,18,0.05,0.05,0,"Binary","MO"
"30",44,52,18,0.05,0.05,0,"Binary","MO"
"31",24,36,18,0.05,0.05,0,"Binary","MO"
"32",39,44,18,0.05,0.05,0,"Binary","MO"
"33",46,52,18,0.05,0.05,0,"Binary","MO"
"34",33,40,18,0.05,0.05,0,"Binary","MO"
"35",38,48,18,0.05,0.05,0,"Binary","MO"
"36",34,40,18,0.05,0.05,0,"Binary","MO"
"37",36,38,18,0.05,0.05,0,"Binary","MO"
"38",31,38,18,0.05,0.05,0,"Binary","MO"
"39",36,46,18,0.05,0.05,0,"Binary","MO"
"40",40,46,18,0.05,0.05,0,"Binary","MO"
"41",30,40,18,0.05,0.05,0,"Binary","MO"
"42",45,48,18,0.05,0.05,0,"Binary","MO"
"43",64,68,18,0.05,0.05,0,"Binary","MO"
"44",33,38,18,0.05,0.05,0,"Binary","MO"
"45",34,44,18,0.05,0.05,0,"Binary","MO"
"46",42,48,18,0.05,0.05,0,"Binary","MO"
"47",27,32,18,0.05,0.05,0,"Binary","MO"
"48",44,54,18,0.05,0.05,0,"Binary","MO"
"49",48,58,18,0.05,0.05,0,"Binary","MO"
"50",29,36,18,0.05,0.05,0,"Binary","MO"
"51",37,38,18,0.05,0.05,0,"Binary","MO"
"52",29,44,18,0.05,0.05,0,"Binary","MO"
"53",42,46,18,0.05,0.05,0,"Binary","MO"
"54",37,42,18,0.05,0.05,0,"Binary","MO"
"55",37,40,18,0.05,0.05,0,"Binary","MO"
"56",29,38,18,0.05,0.05,0,"Binary","MO"
"57",43,48,18,0.05,0.05,0,"Binary","MO"
"58",32,42,18,0.05,0.05,0,"Binary","MO"
"59",22,32,18,0.05,0.05,0,"Binary","MO"
"60",32,36,18,0.05,0.05,0,"Binary","MO"
"61",36,44,18,0.05,0.05,0,"Binary","MO"
"62",27,40,18,0.05,0.05,0,"Binary","MO"
"63",27,34,18,0.05,0.05,0,"Binary","MO"
"64",38,38,18,0.05,0.05,0,"Binary","MO"
"65",33,38,18,0.05,0.05,0,"Binary","MO"
"66",33,38,18,0.05,0.05,0,"Binary","MO"
"67",36,42,18,0.05,0.05,0,"Binary","MO"
"68",42,48,18,0.05,0.05,0,"Binary","MO"
"69",30,36,18,0.05,0.05,0,"Binary","MO"
"70",42,46,18,0.05,0.05,0,"Binary","MO"
"71",36,40,18,0.05,0.05,0,"Binary","MO"
"72",47,56,18,0.05,0.05,0,"Binary","MO"
"73",48,52,18,0.05,0.05,0,"Binary","MO"
"74",46,50,18,0.05,0.05,0,"Binary","MO"
"75",42,48,18,0.05,0.05,0,"Binary","MO"
"76",31,36,18,0.05,0.05,0,"Binary","MO"
"77",38,42,18,0.05,0.05,0,"Binary","MO"
"78",37,40,18,0.05,0.05,0,"Binary","MO"
"79",32,38,18,0.05,0.05,0,"Binary","MO"
"80",30,40,18,0.05,0.05,0,"Binary","MO"
"81",44,48,18,0.05,0.05,0,"Binary","MO"
"82",31,38,18,0.05,0.05,0,"Binary","MO"
"83",35,44,18,0.05,0.05,0,"Binary","MO"
"84",38,44,18,0.05,0.05,0,"Binary","MO"
"85",40,46,18,0.05,0.05,0,"Binary","MO"
"86",29,36,18,0.05,0.05,0,"Binary","MO"
"87",27,32,18,0.05,0.05,0,"Binary","MO"
"88",29,36,18,0.05,0.05,0,"Binary","MO"
"89",34,42,18,0.05,0.05,0,"Binary","MO"
"90",29,36,18,0.05,0.05,0,"Binary","MO"
"91",37,44,18,0.05,0.05,0,"Binary","MO"
"92",41,46,18,0.05,0.05,0,"Binary","MO"
"93",43,50,18,0.05,0.05,0,"Binary","MO"
"94",33,36,18,0.05,0.05,0,"Binary","MO"
"95",36,40,18,0.05,0.05,0,"Binary","MO"
"96",33,40,18,0.05,0.05,0,"Binary","MO"
"97",39,48,18,0.05,0.05,0,"Binary","MO"
"98",32,34,18,0.05,0.05,0,"Binary","MO"
"99",32,40,18,0.05,0.05,0,"Binary","MO"
"100",28,36,18,0.05,0.05,0,"Binary","MO"
"101",35,42,18,0.1,0.05,0,"Binary","MO"
"102",51,60,18,0.1,0.05,0,"Binary","MO"
"103",12,34,18,0.1,0.05,0,"Binary","MO"
"104",47,50,18,0.1,0.05,0,"Binary","MO"
"105",48,50,18,0.1,0.05,0,"Binary","MO"
"106",37,48,18,0.1,0.05,0,"Binary","MO"
"107",22,36,18,0.1,0.05,0,"Binary","MO"
"108",42,54,18,0.1,0.05,0,"Binary","MO"
"109",34,36,18,0.1,0.05,0,"Binary","MO"
"110",32,40,18,0.1,0.05,0,"Binary","MO"
"111",53,66,18,0.1,0.05,0,"Binary","MO"
"112",25,32,18,0.1,0.05,0,"Binary","MO"
"113",37,48,18,0.1,0.05,0,"Binary","MO"
"114",28,34,18,0.1,0.05,0,"Binary","MO"
"115",43,48,18,0.1,0.05,0,"Binary","MO"
"116",23,40,18,0.1,0.05,0,"Binary","MO"
"117",41,46,18,0.1,0.05,0,"Binary","MO"
"118",27,38,18,0.1,0.05,0,"Binary","MO"
"119",28,52,18,0.1,0.05,0,"Binary","MO"
"120",35,40,18,0.1,0.05,0,"Binary","MO"
"121",38,48,18,0.1,0.05,0,"Binary","MO"
"122",25,36,18,0.1,0.05,0,"Binary","MO"
"123",27,36,18,0.1,0.05,0,"Binary","MO"
"124",25,40,18,0.1,0.05,0,"Binary","MO"
"125",24,36,18,0.1,0.05,0,"Binary","MO"
"126",38,44,18,0.1,0.05,0,"Binary","MO"
"127",23,34,18,0.1,0.05,0,"Binary","MO"
"128",26,36,18,0.1,0.05,0,"Binary","MO"
"129",20,34,18,0.1,0.05,0,"Binary","MO"
"130",29,52,18,0.1,0.05,0,"Binary","MO"
"131",20,36,18,0.1,0.05,0,"Binary","MO"
"132",42,44,18,0.1,0.05,0,"Binary","MO"
"133",45,52,18,0.1,0.05,0,"Binary","MO"
"134",31,40,18,0.1,0.05,0,"Binary","MO"
"135",45,48,18,0.1,0.05,0,"Binary","MO"
"136",33,40,18,0.1,0.05,0,"Binary","MO"
"137",31,38,18,0.1,0.05,0,"Binary","MO"
"138",28,38,18,0.1,0.05,0,"Binary","MO"
"139",42,46,18,0.1,0.05,0,"Binary","MO"
"140",42,46,18,0.1,0.05,0,"Binary","MO"
"141",35,40,18,0.1,0.05,0,"Binary","MO"
"142",42,48,18,0.1,0.05,0,"Binary","MO"
"143",56,68,18,0.1,0.05,0,"Binary","MO"
"144",29,38,18,0.1,0.05,0,"Binary","MO"
"145",37,44,18,0.1,0.05,0,"Binary","MO"
"146",41,48,18,0.1,0.05,0,"Binary","MO"
"147",26,32,18,0.1,0.05,0,"Binary","MO"
"148",51,54,18,0.1,0.05,0,"Binary","MO"
"149",53,58,18,0.1,0.05,0,"Binary","MO"
"150",21,36,18,0.1,0.05,0,"Binary","MO"
"151",30,38,18,0.1,0.05,0,"Binary","MO"
"152",39,44,18,0.1,0.05,0,"Binary","MO"
"153",37,46,18,0.1,0.05,0,"Binary","MO"
"154",28,42,18,0.1,0.05,0,"Binary","MO"
"155",32,40,18,0.1,0.05,0,"Binary","MO"
"156",28,38,18,0.1,0.05,0,"Binary","MO"
"157",39,48,18,0.1,0.05,0,"Binary","MO"
"158",33,42,18,0.1,0.05,0,"Binary","MO"
"159",27,32,18,0.1,0.05,0,"Binary","MO"
"160",21,36,18,0.1,0.05,0,"Binary","MO"
"161",36,44,18,0.1,0.05,0,"Binary","MO"
"162",24,40,18,0.1,0.05,0,"Binary","MO"
"163",25,34,18,0.1,0.05,0,"Binary","MO"
"164",37,38,18,0.1,0.05,0,"Binary","MO"
"165",27,38,18,0.1,0.05,0,"Binary","MO"
"166",30,38,18,0.1,0.05,0,"Binary","MO"
"167",33,42,18,0.1,0.05,0,"Binary","MO"
"168",41,48,18,0.1,0.05,0,"Binary","MO"
"169",23,36,18,0.1,0.05,0,"Binary","MO"
"170",41,46,18,0.1,0.05,0,"Binary","MO"
"171",32,40,18,0.1,0.05,0,"Binary","MO"
"172",46,56,18,0.1,0.05,0,"Binary","MO"
"173",45,52,18,0.1,0.05,0,"Binary","MO"
"174",48,50,18,0.1,0.05,0,"Binary","MO"
"175",42,48,18,0.1,0.05,0,"Binary","MO"
"176",26,36,18,0.1,0.05,0,"Binary","MO"
"177",35,42,18,0.1,0.05,0,"Binary","MO"
"178",27,40,18,0.1,0.05,0,"Binary","MO"
"179",27,38,18,0.1,0.05,0,"Binary","MO"
"180",31,40,18,0.1,0.05,0,"Binary","MO"
"181",43,48,18,0.1,0.05,0,"Binary","MO"
"182",26,38,18,0.1,0.05,0,"Binary","MO"
"183",40,44,18,0.1,0.05,0,"Binary","MO"
"184",31,44,18,0.1,0.05,0,"Binary","MO"
"185",33,46,18,0.1,0.05,0,"Binary","MO"
"186",26,36,18,0.1,0.05,0,"Binary","MO"
"187",23,32,18,0.1,0.05,0,"Binary","MO"
"188",24,36,18,0.1,0.05,0,"Binary","MO"
"189",33,42,18,0.1,0.05,0,"Binary","MO"
"190",30,36,18,0.1,0.05,0,"Binary","MO"
"191",34,44,18,0.1,0.05,0,"Binary","MO"
