"","inferred_correct","inferred_all","true","numSites","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",37,43,42,18,0.05,0.05,0,"Binary","SCITE"
"2",52,59,60,18,0.05,0.05,0,"Binary","SCITE"
"3",28,37,34,18,0.05,0.05,0,"Binary","SCITE"
"4",46,56,50,18,0.05,0.05,0,"Binary","SCITE"
"5",40,51,50,18,0.05,0.05,0,"Binary","SCITE"
"6",40,49,48,18,0.05,0.05,0,"Binary","SCITE"
"7",31,46,36,18,0.05,0.05,0,"Binary","SCITE"
"8",50,55,54,18,0.05,0.05,0,"Binary","SCITE"
"9",26,36,36,18,0.05,0.05,0,"Binary","SCITE"
"10",29,38,40,18,0.05,0.05,0,"Binary","SCITE"
"11",58,68,66,18,0.05,0.05,0,"Binary","SCITE"
"12",28,36,32,18,0.05,0.05,0,"Binary","SCITE"
"13",37,45,48,18,0.05,0.05,0,"Binary","SCITE"
"14",32,34,34,18,0.05,0.05,0,"Binary","SCITE"
"15",41,60,48,18,0.05,0.05,0,"Binary","SCITE"
"16",31,44,40,18,0.05,0.05,0,"Binary","SCITE"
"17",35,43,46,18,0.05,0.05,0,"Binary","SCITE"
"18",27,36,38,18,0.05,0.05,0,"Binary","SCITE"
"19",43,67,52,18,0.05,0.05,0,"Binary","SCITE"
"20",38,41,40,18,0.05,0.05,0,"Binary","SCITE"
"21",42,47,48,18,0.05,0.05,0,"Binary","SCITE"
"22",28,39,36,18,0.05,0.05,0,"Binary","SCITE"
"23",34,36,36,18,0.05,0.05,0,"Binary","SCITE"
"24",35,43,40,18,0.05,0.05,0,"Binary","SCITE"
"25",25,38,36,18,0.05,0.05,0,"Binary","SCITE"
"26",40,60,44,18,0.05,0.05,0,"Binary","SCITE"
"27",31,38,34,18,0.05,0.05,0,"Binary","SCITE"
"28",26,35,36,18,0.05,0.05,0,"Binary","SCITE"
"29",25,40,34,18,0.05,0.05,0,"Binary","SCITE"
"30",48,51,52,18,0.05,0.05,0,"Binary","SCITE"
"31",28,51,36,18,0.05,0.05,0,"Binary","SCITE"
"32",41,50,44,18,0.05,0.05,0,"Binary","SCITE"
"33",49,52,52,18,0.05,0.05,0,"Binary","SCITE"
"34",40,40,40,18,0.05,0.05,0,"Binary","SCITE"
"35",38,49,48,18,0.05,0.05,0,"Binary","SCITE"
"36",32,40,40,18,0.05,0.05,0,"Binary","SCITE"
"37",35,39,38,18,0.05,0.05,0,"Binary","SCITE"
"38",31,49,38,18,0.05,0.05,0,"Binary","SCITE"
"39",45,52,46,18,0.05,0.05,0,"Binary","SCITE"
"40",37,43,46,18,0.05,0.05,0,"Binary","SCITE"
"41",33,44,40,18,0.05,0.05,0,"Binary","SCITE"
"42",46,58,48,18,0.05,0.05,0,"Binary","SCITE"
"43",63,66,68,18,0.05,0.05,0,"Binary","SCITE"
"44",28,39,38,18,0.05,0.05,0,"Binary","SCITE"
"45",36,55,44,18,0.05,0.05,0,"Binary","SCITE"
"46",42,53,48,18,0.05,0.05,0,"Binary","SCITE"
"47",28,36,32,18,0.05,0.05,0,"Binary","SCITE"
"48",47,63,54,18,0.05,0.05,0,"Binary","SCITE"
"49",49,59,58,18,0.05,0.05,0,"Binary","SCITE"
"50",34,38,36,18,0.05,0.05,0,"Binary","SCITE"
"51",32,43,38,18,0.05,0.05,0,"Binary","SCITE"
"52",44,50,44,18,0.05,0.05,0,"Binary","SCITE"
"53",40,46,46,18,0.05,0.05,0,"Binary","SCITE"
"54",32,40,42,18,0.05,0.05,0,"Binary","SCITE"
"55",34,44,40,18,0.05,0.05,0,"Binary","SCITE"
"56",36,41,38,18,0.05,0.05,0,"Binary","SCITE"
"57",45,48,48,18,0.05,0.05,0,"Binary","SCITE"
"58",39,45,42,18,0.05,0.05,0,"Binary","SCITE"
"59",24,34,32,18,0.05,0.05,0,"Binary","SCITE"
"60",29,51,36,18,0.05,0.05,0,"Binary","SCITE"
"61",36,47,44,18,0.05,0.05,0,"Binary","SCITE"
"62",32,38,40,18,0.05,0.05,0,"Binary","SCITE"
"63",30,34,34,18,0.05,0.05,0,"Binary","SCITE"
"64",29,41,38,18,0.05,0.05,0,"Binary","SCITE"
"65",28,47,38,18,0.05,0.05,0,"Binary","SCITE"
"66",28,47,38,18,0.05,0.05,0,"Binary","SCITE"
"67",34,47,42,18,0.05,0.05,0,"Binary","SCITE"
"68",46,50,48,18,0.05,0.05,0,"Binary","SCITE"
"69",31,38,36,18,0.05,0.05,0,"Binary","SCITE"
"70",45,50,46,18,0.05,0.05,0,"Binary","SCITE"
"71",35,44,40,18,0.05,0.05,0,"Binary","SCITE"
"72",53,70,56,18,0.05,0.05,0,"Binary","SCITE"
"73",47,60,52,18,0.05,0.05,0,"Binary","SCITE"
"74",43,52,50,18,0.05,0.05,0,"Binary","SCITE"
"75",32,48,48,18,0.05,0.05,0,"Binary","SCITE"
"76",35,36,36,18,0.05,0.05,0,"Binary","SCITE"
"77",40,47,42,18,0.05,0.05,0,"Binary","SCITE"
"78",33,39,40,18,0.05,0.05,0,"Binary","SCITE"
"79",32,35,38,18,0.05,0.05,0,"Binary","SCITE"
"80",34,46,40,18,0.05,0.05,0,"Binary","SCITE"
"81",41,49,48,18,0.05,0.05,0,"Binary","SCITE"
"82",32,37,38,18,0.05,0.05,0,"Binary","SCITE"
"83",43,47,44,18,0.05,0.05,0,"Binary","SCITE"
"84",35,52,44,18,0.05,0.05,0,"Binary","SCITE"
"85",44,51,46,18,0.05,0.05,0,"Binary","SCITE"
"86",28,40,36,18,0.05,0.05,0,"Binary","SCITE"
"87",22,31,32,18,0.05,0.05,0,"Binary","SCITE"
"88",30,41,36,18,0.05,0.05,0,"Binary","SCITE"
"89",34,40,42,18,0.05,0.05,0,"Binary","SCITE"
"90",33,37,36,18,0.05,0.05,0,"Binary","SCITE"
"91",41,46,44,18,0.05,0.05,0,"Binary","SCITE"
"92",44,50,46,18,0.05,0.05,0,"Binary","SCITE"
"93",46,60,50,18,0.05,0.05,0,"Binary","SCITE"
"94",34,42,36,18,0.05,0.05,0,"Binary","SCITE"
"95",34,42,40,18,0.05,0.05,0,"Binary","SCITE"
"96",35,40,40,18,0.05,0.05,0,"Binary","SCITE"
"97",42,64,48,18,0.05,0.05,0,"Binary","SCITE"
"98",30,36,34,18,0.05,0.05,0,"Binary","SCITE"
"99",38,44,40,18,0.05,0.05,0,"Binary","SCITE"
"100",29,43,36,18,0.05,0.05,0,"Binary","SCITE"
"101",36,59,42,18,0.1,0.05,0,"Binary","SCITE"
"102",53,90,60,18,0.1,0.05,0,"Binary","SCITE"
"103",20,37,34,18,0.1,0.05,0,"Binary","SCITE"
"104",49,51,50,18,0.1,0.05,0,"Binary","SCITE"
"105",40,63,50,18,0.1,0.05,0,"Binary","SCITE"
"106",35,47,48,18,0.1,0.05,0,"Binary","SCITE"
"107",28,45,36,18,0.1,0.05,0,"Binary","SCITE"
"108",47,66,54,18,0.1,0.05,0,"Binary","SCITE"
"109",25,48,36,18,0.1,0.05,0,"Binary","SCITE"
"110",29,43,40,18,0.1,0.05,0,"Binary","SCITE"
"111",55,74,66,18,0.1,0.05,0,"Binary","SCITE"
"112",22,41,32,18,0.1,0.05,0,"Binary","SCITE"
"113",30,48,48,18,0.1,0.05,0,"Binary","SCITE"
"114",19,53,34,18,0.1,0.05,0,"Binary","SCITE"
"115",45,53,48,18,0.1,0.05,0,"Binary","SCITE"
"116",31,63,40,18,0.1,0.05,0,"Binary","SCITE"
"117",41,50,46,18,0.1,0.05,0,"Binary","SCITE"
"118",22,43,38,18,0.1,0.05,0,"Binary","SCITE"
"119",43,53,52,18,0.1,0.05,0,"Binary","SCITE"
"120",33,44,40,18,0.1,0.05,0,"Binary","SCITE"
"121",46,51,48,18,0.1,0.05,0,"Binary","SCITE"
"122",27,39,36,18,0.1,0.05,0,"Binary","SCITE"
"123",22,46,36,18,0.1,0.05,0,"Binary","SCITE"
"124",32,55,40,18,0.1,0.05,0,"Binary","SCITE"
"125",28,41,36,18,0.1,0.05,0,"Binary","SCITE"
"126",32,49,44,18,0.1,0.05,0,"Binary","SCITE"
"127",19,35,34,18,0.1,0.05,0,"Binary","SCITE"
"128",25,43,36,18,0.1,0.05,0,"Binary","SCITE"
"129",18,35,34,18,0.1,0.05,0,"Binary","SCITE"
"130",47,55,52,18,0.1,0.05,0,"Binary","SCITE"
"131",22,40,36,18,0.1,0.05,0,"Binary","SCITE"
"132",35,49,44,18,0.1,0.05,0,"Binary","SCITE"
"133",44,51,52,18,0.1,0.05,0,"Binary","SCITE"
"134",38,46,40,18,0.1,0.05,0,"Binary","SCITE"
"135",35,48,48,18,0.1,0.05,0,"Binary","SCITE"
"136",21,45,40,18,0.1,0.05,0,"Binary","SCITE"
"137",24,43,38,18,0.1,0.05,0,"Binary","SCITE"
"138",32,47,38,18,0.1,0.05,0,"Binary","SCITE"
"139",37,51,46,18,0.1,0.05,0,"Binary","SCITE"
"140",33,50,46,18,0.1,0.05,0,"Binary","SCITE"
"141",30,43,40,18,0.1,0.05,0,"Binary","SCITE"
"142",43,58,48,18,0.1,0.05,0,"Binary","SCITE"
"143",62,77,68,18,0.1,0.05,0,"Binary","SCITE"
"144",29,38,38,18,0.1,0.05,0,"Binary","SCITE"
"145",36,49,44,18,0.1,0.05,0,"Binary","SCITE"
"146",40,56,48,18,0.1,0.05,0,"Binary","SCITE"
"147",25,40,32,18,0.1,0.05,0,"Binary","SCITE"
"148",46,56,54,18,0.1,0.05,0,"Binary","SCITE"
"149",41,50,58,18,0.1,0.05,0,"Binary","SCITE"
"150",27,41,36,18,0.1,0.05,0,"Binary","SCITE"
"151",27,42,38,18,0.1,0.05,0,"Binary","SCITE"
"152",29,50,44,18,0.1,0.05,0,"Binary","SCITE"
"153",28,42,46,18,0.1,0.05,0,"Binary","SCITE"
"154",36,53,42,18,0.1,0.05,0,"Binary","SCITE"
"155",30,48,40,18,0.1,0.05,0,"Binary","SCITE"
"156",37,42,38,18,0.1,0.05,0,"Binary","SCITE"
"157",45,52,48,18,0.1,0.05,0,"Binary","SCITE"
"158",33,51,42,18,0.1,0.05,0,"Binary","SCITE"
"159",18,37,32,18,0.1,0.05,0,"Binary","SCITE"
"160",24,45,36,18,0.1,0.05,0,"Binary","SCITE"
"161",32,57,44,18,0.1,0.05,0,"Binary","SCITE"
"162",27,47,40,18,0.1,0.05,0,"Binary","SCITE"
"163",29,42,34,18,0.1,0.05,0,"Binary","SCITE"
"164",32,39,38,18,0.1,0.05,0,"Binary","SCITE"
"165",30,39,38,18,0.1,0.05,0,"Binary","SCITE"
"166",30,39,38,18,0.1,0.05,0,"Binary","SCITE"
"167",31,54,42,18,0.1,0.05,0,"Binary","SCITE"
"168",39,56,48,18,0.1,0.05,0,"Binary","SCITE"
"169",31,40,36,18,0.1,0.05,0,"Binary","SCITE"
"170",23,45,46,18,0.1,0.05,0,"Binary","SCITE"
"171",31,51,40,18,0.1,0.05,0,"Binary","SCITE"
"172",38,53,56,18,0.1,0.05,0,"Binary","SCITE"
"173",43,57,52,18,0.1,0.05,0,"Binary","SCITE"
"174",40,57,50,18,0.1,0.05,0,"Binary","SCITE"
"175",38,67,48,18,0.1,0.05,0,"Binary","SCITE"
"176",28,50,36,18,0.1,0.05,0,"Binary","SCITE"
"177",39,41,42,18,0.1,0.05,0,"Binary","SCITE"
"178",32,49,40,18,0.1,0.05,0,"Binary","SCITE"
"179",31,51,38,18,0.1,0.05,0,"Binary","SCITE"
"180",33,44,40,18,0.1,0.05,0,"Binary","SCITE"
"181",32,58,48,18,0.1,0.05,0,"Binary","SCITE"
"182",25,48,38,18,0.1,0.05,0,"Binary","SCITE"
"183",30,47,44,18,0.1,0.05,0,"Binary","SCITE"
"184",31,46,44,18,0.1,0.05,0,"Binary","SCITE"
"185",40,56,46,18,0.1,0.05,0,"Binary","SCITE"
"186",36,43,36,18,0.1,0.05,0,"Binary","SCITE"
"187",18,33,32,18,0.1,0.05,0,"Binary","SCITE"
"188",25,34,36,18,0.1,0.05,0,"Binary","SCITE"
"189",31,43,42,18,0.1,0.05,0,"Binary","SCITE"
"190",31,41,36,18,0.1,0.05,0,"Binary","SCITE"
"191",30,42,44,18,0.1,0.05,0,"Binary","SCITE"
"192",37,58,46,18,0.1,0.05,0,"Binary","SCITE"
"193",47,54,50,18,0.1,0.05,0,"Binary","SCITE"
"194",32,39,36,18,0.1,0.05,0,"Binary","SCITE"
"195",36,46,40,18,0.1,0.05,0,"Binary","SCITE"
"196",35,52,40,18,0.1,0.05,0,"Binary","SCITE"
"197",42,71,48,18,0.1,0.05,0,"Binary","SCITE"
"198",23,39,34,18,0.1,0.05,0,"Binary","SCITE"
"199",29,39,40,18,0.1,0.05,0,"Binary","SCITE"
"200",23,38,36,18,0.1,0.05,0,"Binary","SCITE"
"201",27,59,42,18,0.2,0.05,0,"Binary","SCITE"
"202",55,71,60,18,0.2,0.05,0,"Binary","SCITE"
"203",19,43,34,18,0.2,0.05,0,"Binary","SCITE"
"204",40,68,50,18,0.2,0.05,0,"Binary","SCITE"
"205",32,56,50,18,0.2,0.05,0,"Binary","SCITE"
"206",29,48,48,18,0.2,0.05,0,"Binary","SCITE"
"207",18,35,36,18,0.2,0.05,0,"Binary","SCITE"
"208",45,66,54,18,0.2,0.05,0,"Binary","SCITE"
"209",13,44,36,18,0.2,0.05,0,"Binary","SCITE"
"210",26,62,40,18,0.2,0.05,0,"Binary","SCITE"
"211",41,63,66,18,0.2,0.05,0,"Binary","SCITE"
"212",11,39,32,18,0.2,0.05,0,"Binary","SCITE"
"213",28,49,48,18,0.2,0.05,0,"Binary","SCITE"
"214",20,47,34,18,0.2,0.05,0,"Binary","SCITE"
"215",38,66,48,18,0.2,0.05,0,"Binary","SCITE"
"216",22,63,40,18,0.2,0.05,0,"Binary","SCITE"
"217",31,45,46,18,0.2,0.05,0,"Binary","SCITE"
"218",26,50,38,18,0.2,0.05,0,"Binary","SCITE"
"219",40,74,52,18,0.2,0.05,0,"Binary","SCITE"
"220",26,45,40,18,0.2,0.05,0,"Binary","SCITE"
"221",32,48,48,18,0.2,0.05,0,"Binary","SCITE"
"222",23,43,36,18,0.2,0.05,0,"Binary","SCITE"
"223",21,59,36,18,0.2,0.05,0,"Binary","SCITE"
"224",20,43,40,18,0.2,0.05,0,"Binary","SCITE"
"225",21,36,36,18,0.2,0.05,0,"Binary","SCITE"
"226",35,65,44,18,0.2,0.05,0,"Binary","SCITE"
"227",18,49,34,18,0.2,0.05,0,"Binary","SCITE"
"228",9,47,36,18,0.2,0.05,0,"Binary","SCITE"
"229",19,63,34,18,0.2,0.05,0,"Binary","SCITE"
"230",39,61,52,18,0.2,0.05,0,"Binary","SCITE"
"231",21,50,36,18,0.2,0.05,0,"Binary","SCITE"
"232",22,53,44,18,0.2,0.05,0,"Binary","SCITE"
"233",35,66,52,18,0.2,0.05,0,"Binary","SCITE"
"234",25,59,40,18,0.2,0.05,0,"Binary","SCITE"
"235",35,62,48,18,0.2,0.05,0,"Binary","SCITE"
"236",31,61,40,18,0.2,0.05,0,"Binary","SCITE"
"237",25,50,38,18,0.2,0.05,0,"Binary","SCITE"
"238",20,43,38,18,0.2,0.05,0,"Binary","SCITE"
"239",40,60,46,18,0.2,0.05,0,"Binary","SCITE"
"240",34,75,46,18,0.2,0.05,0,"Binary","SCITE"
"241",28,56,40,18,0.2,0.05,0,"Binary","SCITE"
"242",27,64,48,18,0.2,0.05,0,"Binary","SCITE"
"243",51,65,68,18,0.2,0.05,0,"Binary","SCITE"
"244",32,53,38,18,0.2,0.05,0,"Binary","SCITE"
"245",37,52,44,18,0.2,0.05,0,"Binary","SCITE"
"246",29,73,48,18,0.2,0.05,0,"Binary","SCITE"
"247",22,40,32,18,0.2,0.05,0,"Binary","SCITE"
"248",43,72,54,18,0.2,0.05,0,"Binary","SCITE"
"249",43,78,58,18,0.2,0.05,0,"Binary","SCITE"
"250",22,58,36,18,0.2,0.05,0,"Binary","SCITE"
"251",17,47,38,18,0.2,0.05,0,"Binary","SCITE"
"252",25,65,44,18,0.2,0.05,0,"Binary","SCITE"
"253",33,62,46,18,0.2,0.05,0,"Binary","SCITE"
"254",30,53,42,18,0.2,0.05,0,"Binary","SCITE"
"255",15,46,40,18,0.2,0.05,0,"Binary","SCITE"
"256",22,60,38,18,0.2,0.05,0,"Binary","SCITE"
"257",32,68,48,18,0.2,0.05,0,"Binary","SCITE"
"258",29,59,42,18,0.2,0.05,0,"Binary","SCITE"
"259",15,44,32,18,0.2,0.05,0,"Binary","SCITE"
"260",24,55,36,18,0.2,0.05,0,"Binary","SCITE"
"261",31,51,44,18,0.2,0.05,0,"Binary","SCITE"
"262",25,55,40,18,0.2,0.05,0,"Binary","SCITE"
"263",20,38,34,18,0.2,0.05,0,"Binary","SCITE"
"264",24,46,38,18,0.2,0.05,0,"Binary","SCITE"
"265",27,48,38,18,0.2,0.05,0,"Binary","SCITE"
"266",20,46,38,18,0.2,0.05,0,"Binary","SCITE"
"267",27,60,42,18,0.2,0.05,0,"Binary","SCITE"
"268",32,57,48,18,0.2,0.05,0,"Binary","SCITE"
"269",24,43,36,18,0.2,0.05,0,"Binary","SCITE"
"270",27,87,46,18,0.2,0.05,0,"Binary","SCITE"
"271",30,45,40,18,0.2,0.05,0,"Binary","SCITE"
"272",47,80,56,18,0.2,0.05,0,"Binary","SCITE"
"273",43,66,52,18,0.2,0.05,0,"Binary","SCITE"
"274",42,57,50,18,0.2,0.05,0,"Binary","SCITE"
