"","inferred_correct","inferred_all","true","numSites","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",14,9,42,18,0.05,0.05,0,"Binary","SiFit"
"2",21,17,60,18,0.05,0.05,0,"Binary","SiFit"
"3",9,9,34,18,0.05,0.05,0,"Binary","SiFit"
"4",18,17,50,18,0.05,0.05,0,"Binary","SiFit"
"5",16,12,50,18,0.05,0.05,0,"Binary","SiFit"
"6",15,11,48,18,0.05,0.05,0,"Binary","SiFit"
"7",9,7,36,18,0.05,0.05,0,"Binary","SiFit"
"8",16,11,54,18,0.05,0.05,0,"Binary","SiFit"
"9",9,4,36,18,0.05,0.05,0,"Binary","SiFit"
"10",14,12,40,18,0.05,0.05,0,"Binary","SiFit"
"11",23,13,66,18,0.05,0.05,0,"Binary","SiFit"
"12",8,8,32,18,0.05,0.05,0,"Binary","SiFit"
"13",18,16,48,18,0.05,0.05,0,"Binary","SiFit"
"14",10,7,34,18,0.05,0.05,0,"Binary","SiFit"
"15",16,10,48,18,0.05,0.05,0,"Binary","SiFit"
"16",12,12,40,18,0.05,0.05,0,"Binary","SiFit"
"17",15,15,46,18,0.05,0.05,0,"Binary","SiFit"
"18",8,4,38,18,0.05,0.05,0,"Binary","SiFit"
"19",16,11,52,18,0.05,0.05,0,"Binary","SiFit"
"20",12,12,40,18,0.05,0.05,0,"Binary","SiFit"
"21",21,16,48,18,0.05,0.05,0,"Binary","SiFit"
"22",7,4,36,18,0.05,0.05,0,"Binary","SiFit"
"23",11,10,36,18,0.05,0.05,0,"Binary","SiFit"
"24",10,10,40,18,0.05,0.05,0,"Binary","SiFit"
"25",8,7,36,18,0.05,0.05,0,"Binary","SiFit"
"26",14,14,44,18,0.05,0.05,0,"Binary","SiFit"
"27",9,5,34,18,0.05,0.05,0,"Binary","SiFit"
"28",10,7,36,18,0.05,0.05,0,"Binary","SiFit"
"29",8,7,34,18,0.05,0.05,0,"Binary","SiFit"
"30",19,11,52,18,0.05,0.05,0,"Binary","SiFit"
"31",9,9,36,18,0.05,0.05,0,"Binary","SiFit"
"32",12,8,44,18,0.05,0.05,0,"Binary","SiFit"
"33",17,17,52,18,0.05,0.05,0,"Binary","SiFit"
"34",9,9,40,18,0.05,0.05,0,"Binary","SiFit"
"35",16,12,48,18,0.05,0.05,0,"Binary","SiFit"
"36",12,12,40,18,0.05,0.05,0,"Binary","SiFit"
"37",11,11,38,18,0.05,0.05,0,"Binary","SiFit"
"38",7,4,38,18,0.05,0.05,0,"Binary","SiFit"
"39",17,15,46,18,0.05,0.05,0,"Binary","SiFit"
"40",15,11,46,18,0.05,0.05,0,"Binary","SiFit"
"41",11,7,40,18,0.05,0.05,0,"Binary","SiFit"
"42",15,7,48,18,0.05,0.05,0,"Binary","SiFit"
"43",26,26,68,18,0.05,0.05,0,"Binary","SiFit"
"44",6,5,38,18,0.05,0.05,0,"Binary","SiFit"
"45",17,14,44,18,0.05,0.05,0,"Binary","SiFit"
"46",11,7,48,18,0.05,0.05,0,"Binary","SiFit"
"47",6,6,32,18,0.05,0.05,0,"Binary","SiFit"
"48",18,14,54,18,0.05,0.05,0,"Binary","SiFit"
"49",21,21,58,18,0.05,0.05,0,"Binary","SiFit"
"50",9,9,36,18,0.05,0.05,0,"Binary","SiFit"
"51",9,6,38,18,0.05,0.05,0,"Binary","SiFit"
"52",14,9,44,18,0.05,0.05,0,"Binary","SiFit"
"53",15,15,46,18,0.05,0.05,0,"Binary","SiFit"
"54",15,13,42,18,0.05,0.05,0,"Binary","SiFit"
"55",15,12,40,18,0.05,0.05,0,"Binary","SiFit"
"56",10,9,38,18,0.05,0.05,0,"Binary","SiFit"
"57",16,16,48,18,0.05,0.05,0,"Binary","SiFit"
"58",10,7,42,18,0.05,0.05,0,"Binary","SiFit"
"59",8,6,32,18,0.05,0.05,0,"Binary","SiFit"
"60",12,10,36,18,0.05,0.05,0,"Binary","SiFit"
"61",12,11,44,18,0.05,0.05,0,"Binary","SiFit"
"62",9,4,40,18,0.05,0.05,0,"Binary","SiFit"
"63",9,9,34,18,0.05,0.05,0,"Binary","SiFit"
"64",11,11,38,18,0.05,0.05,0,"Binary","SiFit"
"65",13,11,38,18,0.05,0.05,0,"Binary","SiFit"
"66",11,11,38,18,0.05,0.05,0,"Binary","SiFit"
"67",11,8,42,18,0.05,0.05,0,"Binary","SiFit"
"68",16,10,48,18,0.05,0.05,0,"Binary","SiFit"
"69",11,9,36,18,0.05,0.05,0,"Binary","SiFit"
"70",10,7,46,18,0.05,0.05,0,"Binary","SiFit"
"71",11,7,40,18,0.05,0.05,0,"Binary","SiFit"
"72",19,14,56,18,0.05,0.05,0,"Binary","SiFit"
"73",17,12,52,18,0.05,0.05,0,"Binary","SiFit"
"74",13,13,50,18,0.05,0.05,0,"Binary","SiFit"
"75",21,16,48,18,0.05,0.05,0,"Binary","SiFit"
"76",11,5,36,18,0.05,0.05,0,"Binary","SiFit"
"77",15,13,42,18,0.05,0.05,0,"Binary","SiFit"
"78",12,12,40,18,0.05,0.05,0,"Binary","SiFit"
"79",7,6,38,18,0.05,0.05,0,"Binary","SiFit"
"80",12,11,40,18,0.05,0.05,0,"Binary","SiFit"
"81",16,16,48,18,0.05,0.05,0,"Binary","SiFit"
"82",12,7,38,18,0.05,0.05,0,"Binary","SiFit"
"83",10,7,44,18,0.05,0.05,0,"Binary","SiFit"
"84",16,14,44,18,0.05,0.05,0,"Binary","SiFit"
"85",17,15,46,18,0.05,0.05,0,"Binary","SiFit"
"86",9,4,36,18,0.05,0.05,0,"Binary","SiFit"
"87",8,8,32,18,0.05,0.05,0,"Binary","SiFit"
"88",7,7,36,18,0.05,0.05,0,"Binary","SiFit"
"89",13,13,42,18,0.05,0.05,0,"Binary","SiFit"
"90",14,9,36,18,0.05,0.05,0,"Binary","SiFit"
"91",14,14,44,18,0.05,0.05,0,"Binary","SiFit"
"92",17,10,46,18,0.05,0.05,0,"Binary","SiFit"
"93",13,7,50,18,0.05,0.05,0,"Binary","SiFit"
"94",9,7,36,18,0.05,0.05,0,"Binary","SiFit"
"95",17,12,40,18,0.05,0.05,0,"Binary","SiFit"
"96",15,8,40,18,0.05,0.05,0,"Binary","SiFit"
"97",10,4,48,18,0.05,0.05,0,"Binary","SiFit"
"98",9,9,34,18,0.05,0.05,0,"Binary","SiFit"
"99",7,7,40,18,0.05,0.05,0,"Binary","SiFit"
"100",8,8,36,18,0.05,0.05,0,"Binary","SiFit"
"101",10,9,42,18,0.1,0.05,0,"Binary","SiFit"
"102",32,22,60,18,0.1,0.05,0,"Binary","SiFit"
"103",4,3,34,18,0.1,0.05,0,"Binary","SiFit"
"104",17,14,50,18,0.1,0.05,0,"Binary","SiFit"
"105",20,12,50,18,0.1,0.05,0,"Binary","SiFit"
"106",14,7,48,18,0.1,0.05,0,"Binary","SiFit"
"107",12,6,36,18,0.1,0.05,0,"Binary","SiFit"
"108",22,9,54,18,0.1,0.05,0,"Binary","SiFit"
"109",9,8,36,18,0.1,0.05,0,"Binary","SiFit"
"110",20,12,40,18,0.1,0.05,0,"Binary","SiFit"
"111",32,13,66,18,0.1,0.05,0,"Binary","SiFit"
"112",9,8,32,18,0.1,0.05,0,"Binary","SiFit"
"113",16,13,48,18,0.1,0.05,0,"Binary","SiFit"
"114",6,4,34,18,0.1,0.05,0,"Binary","SiFit"
"115",13,8,48,18,0.1,0.05,0,"Binary","SiFit"
"116",12,10,40,18,0.1,0.05,0,"Binary","SiFit"
"117",20,15,46,18,0.1,0.05,0,"Binary","SiFit"
"118",9,7,38,18,0.1,0.05,0,"Binary","SiFit"
"119",12,4,52,18,0.1,0.05,0,"Binary","SiFit"
"120",11,9,40,18,0.1,0.05,0,"Binary","SiFit"
"121",13,7,48,18,0.1,0.05,0,"Binary","SiFit"
"122",1,1,36,18,0.1,0.05,0,"Binary","SiFit"
"123",10,5,36,18,0.1,0.05,0,"Binary","SiFit"
"124",10,10,40,18,0.1,0.05,0,"Binary","SiFit"
"125",14,9,36,18,0.1,0.05,0,"Binary","SiFit"
"126",14,14,44,18,0.1,0.05,0,"Binary","SiFit"
"127",7,5,34,18,0.1,0.05,0,"Binary","SiFit"
"128",8,5,36,18,0.1,0.05,0,"Binary","SiFit"
"129",6,5,34,18,0.1,0.05,0,"Binary","SiFit"
"130",20,18,52,18,0.1,0.05,0,"Binary","SiFit"
"131",8,6,36,18,0.1,0.05,0,"Binary","SiFit"
"132",12,8,44,18,0.1,0.05,0,"Binary","SiFit"
"133",17,17,52,18,0.1,0.05,0,"Binary","SiFit"
"134",6,6,40,18,0.1,0.05,0,"Binary","SiFit"
"135",15,12,48,18,0.1,0.05,0,"Binary","SiFit"
"136",12,9,40,18,0.1,0.05,0,"Binary","SiFit"
"137",8,7,38,18,0.1,0.05,0,"Binary","SiFit"
"138",8,6,38,18,0.1,0.05,0,"Binary","SiFit"
"139",6,4,46,18,0.1,0.05,0,"Binary","SiFit"
"140",16,11,46,18,0.1,0.05,0,"Binary","SiFit"
"141",14,7,40,18,0.1,0.05,0,"Binary","SiFit"
"142",10,5,48,18,0.1,0.05,0,"Binary","SiFit"
"143",31,26,68,18,0.1,0.05,0,"Binary","SiFit"
"144",11,7,38,18,0.1,0.05,0,"Binary","SiFit"
"145",11,11,44,18,0.1,0.05,0,"Binary","SiFit"
"146",20,10,48,18,0.1,0.05,0,"Binary","SiFit"
"147",9,6,32,18,0.1,0.05,0,"Binary","SiFit"
"148",19,19,54,18,0.1,0.05,0,"Binary","SiFit"
"149",25,15,58,18,0.1,0.05,0,"Binary","SiFit"
"150",11,9,36,18,0.1,0.05,0,"Binary","SiFit"
"151",8,8,38,18,0.1,0.05,0,"Binary","SiFit"
"152",14,9,44,18,0.1,0.05,0,"Binary","SiFit"
"153",17,15,46,18,0.1,0.05,0,"Binary","SiFit"
"154",10,11,42,18,0.1,0.05,0,"Binary","SiFit"
"155",12,12,40,18,0.1,0.05,0,"Binary","SiFit"
"156",9,9,38,18,0.1,0.05,0,"Binary","SiFit"
"157",16,16,48,18,0.1,0.05,0,"Binary","SiFit"
"158",14,7,42,18,0.1,0.05,0,"Binary","SiFit"
"159",4,4,32,18,0.1,0.05,0,"Binary","SiFit"
"160",10,5,36,18,0.1,0.05,0,"Binary","SiFit"
"161",21,11,44,18,0.1,0.05,0,"Binary","SiFit"
"162",9,4,40,18,0.1,0.05,0,"Binary","SiFit"
"163",11,9,34,18,0.1,0.05,0,"Binary","SiFit"
"164",11,11,38,18,0.1,0.05,0,"Binary","SiFit"
"165",9,4,38,18,0.1,0.05,0,"Binary","SiFit"
"166",12,8,38,18,0.1,0.05,0,"Binary","SiFit"
"167",15,8,42,18,0.1,0.05,0,"Binary","SiFit"
"168",15,10,48,18,0.1,0.05,0,"Binary","SiFit"
"169",7,7,36,18,0.1,0.05,0,"Binary","SiFit"
"170",15,9,46,18,0.1,0.05,0,"Binary","SiFit"
"171",16,12,40,18,0.1,0.05,0,"Binary","SiFit"
"172",25,20,56,18,0.1,0.05,0,"Binary","SiFit"
"173",21,11,52,18,0.1,0.05,0,"Binary","SiFit"
"174",17,17,50,18,0.1,0.05,0,"Binary","SiFit"
"175",16,16,48,18,0.1,0.05,0,"Binary","SiFit"
"176",8,5,36,18,0.1,0.05,0,"Binary","SiFit"
"177",12,9,42,18,0.1,0.05,0,"Binary","SiFit"
"178",5,3,40,18,0.1,0.05,0,"Binary","SiFit"
"179",16,11,38,18,0.1,0.05,0,"Binary","SiFit"
"180",8,7,40,18,0.1,0.05,0,"Binary","SiFit"
"181",18,15,48,18,0.1,0.05,0,"Binary","SiFit"
"182",9,7,38,18,0.1,0.05,0,"Binary","SiFit"
"183",13,11,44,18,0.1,0.05,0,"Binary","SiFit"
"184",13,11,44,18,0.1,0.05,0,"Binary","SiFit"
"185",15,15,46,18,0.1,0.05,0,"Binary","SiFit"
"186",7,4,36,18,0.1,0.05,0,"Binary","SiFit"
"187",6,6,32,18,0.1,0.05,0,"Binary","SiFit"
"188",12,7,36,18,0.1,0.05,0,"Binary","SiFit"
"189",18,9,42,18,0.1,0.05,0,"Binary","SiFit"
"190",9,9,36,18,0.1,0.05,0,"Binary","SiFit"
"191",15,14,44,18,0.1,0.05,0,"Binary","SiFit"
"192",15,9,46,18,0.1,0.05,0,"Binary","SiFit"
"193",11,7,50,18,0.1,0.05,0,"Binary","SiFit"
"194",9,7,36,18,0.1,0.05,0,"Binary","SiFit"
"195",16,12,40,18,0.1,0.05,0,"Binary","SiFit"
"196",12,12,40,18,0.1,0.05,0,"Binary","SiFit"
"197",18,7,48,18,0.1,0.05,0,"Binary","SiFit"
"198",9,9,34,18,0.1,0.05,0,"Binary","SiFit"
"199",6,4,40,18,0.1,0.05,0,"Binary","SiFit"
"200",7,5,36,18,0.1,0.05,0,"Binary","SiFit"
"201",12,9,42,18,0.2,0.05,0,"Binary","SiFit"
"202",26,12,60,18,0.2,0.05,0,"Binary","SiFit"
"203",10,6,34,18,0.2,0.05,0,"Binary","SiFit"
"204",21,14,50,18,0.2,0.05,0,"Binary","SiFit"
"205",24,12,50,18,0.2,0.05,0,"Binary","SiFit"
