"","alpha","beta","METHOD","Genotype","Missing","Inferred","True","measurement"
"1",0.05,0.05,"MO","Binary","10%",888,1600,0.555
"2",0.1,0.05,"MO","Binary","10%",768,1600,0.48
"3",0.2,0.05,"MO","Binary","10%",451,1600,0.281875
"4",0.4,0.05,"MO","Binary","10%",196,1600,0.1225
"5",0.05,0.1,"MO","Binary","10%",769,1600,0.480625
"6",0.1,0.1,"MO","Binary","10%",606,1600,0.37875
"7",0.2,0.1,"MO","Binary","10%",385,1600,0.240625
"8",0.4,0.1,"MO","Binary","10%",154,1600,0.09625
"9",0.05,0.2,"MO","Binary","10%",642,1600,0.40125
"10",0.1,0.2,"MO","Binary","10%",533,1600,0.333125
"11",0.2,0.2,"MO","Binary","10%",310,1600,0.19375
"12",0.4,0.2,"MO","Binary","10%",107,1600,0.066875
"13",0.05,0.4,"MO","Binary","10%",375,1600,0.234375
"14",0.1,0.4,"MO","Binary","10%",250,1600,0.15625
"15",0.2,0.4,"MO","Binary","10%",175,1600,0.109375
"16",0.4,0.4,"MO","Binary","10%",50,1600,0.03125
"17",0.05,0.05,"SCITE","Binary","10%",736,1600,0.46
"18",0.1,0.05,"SCITE","Binary","10%",562,1600,0.35125
"19",0.2,0.05,"SCITE","Binary","10%",323,1600,0.201875
"20",0.4,0.05,"SCITE","Binary","10%",154,1600,0.09625
"21",0.05,0.1,"SCITE","Binary","10%",717,1600,0.448125
"22",0.1,0.1,"SCITE","Binary","10%",474,1600,0.29625
"23",0.2,0.1,"SCITE","Binary","10%",257,1600,0.160625
"24",0.4,0.1,"SCITE","Binary","10%",159,1600,0.099375
"25",0.05,0.2,"SCITE","Binary","10%",596,1600,0.3725
"26",0.1,0.2,"SCITE","Binary","10%",403,1600,0.251875
"27",0.2,0.2,"SCITE","Binary","10%",220,1600,0.1375
"28",0.4,0.2,"SCITE","Binary","10%",118,1600,0.07375
"29",0.05,0.4,"SCITE","Binary","10%",394,1600,0.24625
"30",0.1,0.4,"SCITE","Binary","10%",257,1600,0.160625
"31",0.2,0.4,"SCITE","Binary","10%",143,1600,0.089375
"32",0.4,0.4,"SCITE","Binary","10%",98,1600,0.06125
"33",0.05,0.05,"SiFit","Binary","10%",373,1600,0.233125
"34",0.1,0.05,"SiFit","Binary","10%",354,1600,0.22125
"35",0.2,0.05,"SiFit","Binary","10%",261,1600,0.163125
"36",0.4,0.05,"SiFit","Binary","10%",182,1600,0.11375
"37",0.05,0.1,"SiFit","Binary","10%",324,1600,0.2025
"38",0.1,0.1,"SiFit","Binary","10%",285,1600,0.178125
"39",0.2,0.1,"SiFit","Binary","10%",242,1600,0.15125
"40",0.4,0.1,"SiFit","Binary","10%",156,1600,0.0975
"41",0.05,0.2,"SiFit","Binary","10%",257,1600,0.160625
"42",0.1,0.2,"SiFit","Binary","10%",231,1600,0.144375
"43",0.2,0.2,"SiFit","Binary","10%",170,1600,0.10625
"44",0.4,0.2,"SiFit","Binary","10%",123,1600,0.076875
"45",0.05,0.4,"SiFit","Binary","10%",176,1600,0.11
"46",0.1,0.4,"SiFit","Binary","10%",178,1600,0.11125
"47",0.2,0.4,"SiFit","Binary","10%",131,1600,0.081875
"48",0.4,0.4,"SiFit","Binary","10%",85,1600,0.053125
"49",0.05,0.05,"MO","Ternary","10%",906,1600,0.56625
"50",0.1,0.05,"MO","Ternary","10%",777,1600,0.485625
"51",0.2,0.05,"MO","Ternary","10%",457,1600,0.285625
"52",0.4,0.05,"MO","Ternary","10%",195,1600,0.121875
"53",0.05,0.1,"MO","Ternary","10%",806,1600,0.50375
"54",0.1,0.1,"MO","Ternary","10%",624,1600,0.39
"55",0.2,0.1,"MO","Ternary","10%",403,1600,0.251875
"56",0.4,0.1,"MO","Ternary","10%",155,1600,0.096875
"57",0.05,0.2,"MO","Ternary","10%",687,1600,0.429375
"58",0.1,0.2,"MO","Ternary","10%",549,1600,0.343125
"59",0.2,0.2,"MO","Ternary","10%",327,1600,0.204375
"60",0.4,0.2,"MO","Ternary","10%",118,1600,0.07375
"61",0.05,0.4,"MO","Ternary","10%",432,1600,0.27
"62",0.1,0.4,"MO","Ternary","10%",304,1600,0.19
"63",0.2,0.4,"MO","Ternary","10%",205,1600,0.128125
"64",0.4,0.4,"MO","Ternary","10%",66,1600,0.04125
"65",0.05,0.05,"SCITE","Ternary","10%",810,1600,0.50625
"66",0.1,0.05,"SCITE","Ternary","10%",575,1600,0.359375
"67",0.2,0.05,"SCITE","Ternary","10%",324,1600,0.2025
"68",0.4,0.05,"SCITE","Ternary","10%",161,1600,0.100625
"69",0.05,0.1,"SCITE","Ternary","10%",716,1600,0.4475
"70",0.1,0.1,"SCITE","Ternary","10%",461,1600,0.288125
"71",0.2,0.1,"SCITE","Ternary","10%",278,1600,0.17375
"72",0.4,0.1,"SCITE","Ternary","10%",142,1600,0.08875
"73",0.05,0.2,"SCITE","Ternary","10%",616,1600,0.385
"74",0.1,0.2,"SCITE","Ternary","10%",457,1600,0.285625
"75",0.2,0.2,"SCITE","Ternary","10%",213,1600,0.133125
"76",0.4,0.2,"SCITE","Ternary","10%",139,1600,0.086875
"77",0.05,0.4,"SCITE","Ternary","10%",414,1600,0.25875
"78",0.1,0.4,"SCITE","Ternary","10%",270,1600,0.16875
"79",0.2,0.4,"SCITE","Ternary","10%",183,1600,0.114375
"80",0.4,0.4,"SCITE","Ternary","10%",96,1600,0.06
"81",0.05,0.05,"MO","Binary","20%",730,1600,0.45625
"82",0.1,0.05,"MO","Binary","20%",640,1600,0.4
"83",0.2,0.05,"MO","Binary","20%",379,1600,0.236875
"84",0.4,0.05,"MO","Binary","20%",182,1600,0.11375
"85",0.05,0.1,"MO","Binary","20%",627,1600,0.391875
"86",0.1,0.1,"MO","Binary","20%",500,1600,0.3125
"87",0.2,0.1,"MO","Binary","20%",318,1600,0.19875
"88",0.4,0.1,"MO","Binary","20%",142,1600,0.08875
"89",0.05,0.2,"MO","Binary","20%",533,1600,0.333125
"90",0.1,0.2,"MO","Binary","20%",424,1600,0.265
"91",0.2,0.2,"MO","Binary","20%",272,1600,0.17
"92",0.4,0.2,"MO","Binary","20%",106,1600,0.06625
"93",0.05,0.4,"MO","Binary","20%",318,1600,0.19875
"94",0.1,0.4,"MO","Binary","20%",216,1600,0.135
"95",0.2,0.4,"MO","Binary","20%",154,1600,0.09625
"96",0.4,0.4,"MO","Binary","20%",50,1600,0.03125
"97",0.05,0.05,"SCITE","Binary","20%",673,1600,0.420625
"98",0.1,0.05,"SCITE","Binary","20%",495,1600,0.309375
"99",0.2,0.05,"SCITE","Binary","20%",253,1600,0.158125
"100",0.4,0.05,"SCITE","Binary","20%",138,1600,0.08625
"101",0.05,0.1,"SCITE","Binary","20%",555,1600,0.346875
"102",0.1,0.1,"SCITE","Binary","20%",380,1600,0.2375
"103",0.2,0.1,"SCITE","Binary","20%",230,1600,0.14375
"104",0.4,0.1,"SCITE","Binary","20%",144,1600,0.09
"105",0.05,0.2,"SCITE","Binary","20%",527,1600,0.329375
"106",0.1,0.2,"SCITE","Binary","20%",344,1600,0.215
"107",0.2,0.2,"SCITE","Binary","20%",205,1600,0.128125
"108",0.4,0.2,"SCITE","Binary","20%",140,1600,0.0875
"109",0.05,0.4,"SCITE","Binary","20%",377,1600,0.235625
"110",0.1,0.4,"SCITE","Binary","20%",204,1600,0.1275
"111",0.2,0.4,"SCITE","Binary","20%",145,1600,0.090625
"112",0.4,0.4,"SCITE","Binary","20%",110,1600,0.06875
"113",0.05,0.05,"SiFit","Binary","20%",320,1600,0.2
"114",0.1,0.05,"SiFit","Binary","20%",315,1600,0.196875
"115",0.2,0.05,"SiFit","Binary","20%",220,1600,0.1375
"116",0.4,0.05,"SiFit","Binary","20%",167,1600,0.104375
"117",0.05,0.1,"SiFit","Binary","20%",263,1600,0.164375
"118",0.1,0.1,"SiFit","Binary","20%",250,1600,0.15625
"119",0.2,0.1,"SiFit","Binary","20%",206,1600,0.12875
"120",0.4,0.1,"SiFit","Binary","20%",147,1600,0.091875
"121",0.05,0.2,"SiFit","Binary","20%",220,1600,0.1375
