"","alpha","beta","METHOD","Genotype","Missing","Inferred","True","measurement"
"1",0.05,0.05,"MO","Binary","10%",3401,4252,0.799858889934149
"2",0.1,0.05,"MO","Binary","10%",3158,4252,0.742709313264346
"3",0.2,0.05,"MO","Binary","10%",2614,4252,0.614769520225776
"4",0.4,0.05,"MO","Binary","10%",2020,4252,0.475070555032926
"5",0.05,0.1,"MO","Binary","10%",3307,4252,0.777751646284102
"6",0.1,0.1,"MO","Binary","10%",2950,4252,0.69379115710254
"7",0.2,0.1,"MO","Binary","10%",2499,4252,0.587723424270931
"8",0.4,0.1,"MO","Binary","10%",1860,4252,0.437441204139229
"9",0.05,0.2,"MO","Binary","10%",3103,4252,0.729774223894638
"10",0.1,0.2,"MO","Binary","10%",2766,4252,0.650517403574788
"11",0.2,0.2,"MO","Binary","10%",2179,4252,0.512464722483537
"12",0.4,0.2,"MO","Binary","10%",1527,4252,0.359125117591722
"13",0.05,0.4,"MO","Binary","10%",2617,4252,0.615475070555033
"14",0.1,0.4,"MO","Binary","10%",2231,4252,0.524694261523989
"15",0.2,0.4,"MO","Binary","10%",1723,4252,0.4052210724365
"16",0.4,0.4,"MO","Binary","10%",1008,4252,0.237064910630292
"17",0.05,0.05,"SCITE","Binary","10%",3397,4252,0.798918156161806
"18",0.1,0.05,"SCITE","Binary","10%",3020,4252,0.710253998118532
"19",0.2,0.05,"SCITE","Binary","10%",2612,4252,0.614299153339605
"20",0.4,0.05,"SCITE","Binary","10%",2239,4252,0.526575729068674
"21",0.05,0.1,"SCITE","Binary","10%",3343,4252,0.786218250235183
"22",0.1,0.1,"SCITE","Binary","10%",2908,4252,0.683913452492945
"23",0.2,0.1,"SCITE","Binary","10%",2552,4252,0.600188146754469
"24",0.4,0.1,"SCITE","Binary","10%",2222,4252,0.522577610536218
"25",0.05,0.2,"SCITE","Binary","10%",3141,4252,0.738711194731891
"26",0.1,0.2,"SCITE","Binary","10%",2823,4252,0.663922859830668
"27",0.2,0.2,"SCITE","Binary","10%",2338,4252,0.549858889934149
"28",0.4,0.2,"SCITE","Binary","10%",2157,4252,0.507290686735654
"29",0.05,0.4,"SCITE","Binary","10%",2757,4252,0.648400752587018
"30",0.1,0.4,"SCITE","Binary","10%",2559,4252,0.601834430856068
"31",0.2,0.4,"SCITE","Binary","10%",2206,4252,0.518814675446849
"32",0.4,0.4,"SCITE","Binary","10%",2278,4252,0.535747883349012
"33",0.05,0.05,"SiFit","Binary","10%",1241,4252,0.291862652869238
"34",0.1,0.05,"SiFit","Binary","10%",1230,4252,0.289275634995296
"35",0.2,0.05,"SiFit","Binary","10%",1124,4252,0.264346190028222
"36",0.4,0.05,"SiFit","Binary","10%",782,4252,0.183913452492944
"37",0.05,0.1,"SiFit","Binary","10%",1146,4252,0.269520225776105
"38",0.1,0.1,"SiFit","Binary","10%",1154,4252,0.27140169332079
"39",0.2,0.1,"SiFit","Binary","10%",1047,4252,0.24623706491063
"40",0.4,0.1,"SiFit","Binary","10%",640,4252,0.150517403574788
"41",0.05,0.2,"SiFit","Binary","10%",1171,4252,0.275399811853246
"42",0.1,0.2,"SiFit","Binary","10%",1001,4252,0.235418626528692
"43",0.2,0.2,"SiFit","Binary","10%",819,4252,0.192615239887112
"44",0.4,0.2,"SiFit","Binary","10%",500,4252,0.117591721542803
"45",0.05,0.4,"SiFit","Binary","10%",1039,4252,0.244355597365945
"46",0.1,0.4,"SiFit","Binary","10%",792,4252,0.186265286923801
"47",0.2,0.4,"SiFit","Binary","10%",527,4252,0.123941674506115
"48",0.4,0.4,"SiFit","Binary","10%",142,4252,0.0333960489181562
"49",0.05,0.05,"MO","Ternary","10%",3428,4252,0.80620884289746
"50",0.1,0.05,"MO","Ternary","10%",3154,4252,0.741768579492004
"51",0.2,0.05,"MO","Ternary","10%",2564,4252,0.603010348071496
"52",0.4,0.05,"MO","Ternary","10%",2021,4252,0.475305738476011
"53",0.05,0.1,"MO","Ternary","10%",3305,4252,0.77728127939793
"54",0.1,0.1,"MO","Ternary","10%",2948,4252,0.693320790216369
"55",0.2,0.1,"MO","Ternary","10%",2431,4252,0.57173095014111
"56",0.4,0.1,"MO","Ternary","10%",1837,4252,0.43203198494826
"57",0.05,0.2,"MO","Ternary","10%",3084,4252,0.725305738476011
"58",0.1,0.2,"MO","Ternary","10%",2759,4252,0.648871119473189
"59",0.2,0.2,"MO","Ternary","10%",2110,4252,0.49623706491063
"60",0.4,0.2,"MO","Ternary","10%",1474,4252,0.346660395108184
"61",0.05,0.4,"MO","Ternary","10%",2645,4252,0.62206020696143
"62",0.1,0.4,"MO","Ternary","10%",2212,4252,0.520225776105362
"63",0.2,0.4,"MO","Ternary","10%",1690,4252,0.397460018814675
"64",0.4,0.4,"MO","Ternary","10%",1072,4252,0.25211665098777
"65",0.05,0.05,"SCITE","Ternary","10%",3419,4252,0.80409219190969
"66",0.1,0.05,"SCITE","Ternary","10%",3071,4252,0.722248353715898
"67",0.2,0.05,"SCITE","Ternary","10%",2508,4252,0.589840075258702
"68",0.4,0.05,"SCITE","Ternary","10%",2134,4252,0.501881467544685
"69",0.05,0.1,"SCITE","Ternary","10%",3239,4252,0.76175917215428
"70",0.1,0.1,"SCITE","Ternary","10%",2832,4252,0.666039510818438
"71",0.2,0.1,"SCITE","Ternary","10%",2418,4252,0.568673565380997
"72",0.4,0.1,"SCITE","Ternary","10%",2161,4252,0.508231420507996
"73",0.05,0.2,"SCITE","Ternary","10%",3133,4252,0.736829727187206
"74",0.1,0.2,"SCITE","Ternary","10%",2648,4252,0.622765757290687
"75",0.2,0.2,"SCITE","Ternary","10%",2289,4252,0.538334901222954
"76",0.4,0.2,"SCITE","Ternary","10%",1892,4252,0.444967074317968
"77",0.05,0.4,"SCITE","Ternary","10%",2671,4252,0.628174976481656
"78",0.1,0.4,"SCITE","Ternary","10%",2331,4252,0.548212605832549
"79",0.2,0.4,"SCITE","Ternary","10%",1859,4252,0.437206020696143
"80",0.4,0.4,"SCITE","Ternary","10%",1790,4252,0.420978363123236
"81",0.05,0.05,"MO","Binary","20%",3185,4252,0.749059266227658
"82",0.1,0.05,"MO","Binary","20%",2978,4252,0.700376293508937
"83",0.2,0.05,"MO","Binary","20%",2517,4252,0.591956726246472
"84",0.4,0.05,"MO","Binary","20%",1926,4252,0.452963311382879
"85",0.05,0.1,"MO","Binary","20%",3085,4252,0.725540921919097
"86",0.1,0.1,"MO","Binary","20%",2816,4252,0.662276575729069
"87",0.2,0.1,"MO","Binary","20%",2329,4252,0.547742238946378
"88",0.4,0.1,"MO","Binary","20%",1805,4252,0.42450611476952
"89",0.05,0.2,"MO","Binary","20%",2874,4252,0.675917215428034
"90",0.1,0.2,"MO","Binary","20%",2628,4252,0.618062088428975
"91",0.2,0.2,"MO","Binary","20%",2067,4252,0.486124176857949
"92",0.4,0.2,"MO","Binary","20%",1433,4252,0.337017873941674
"93",0.05,0.4,"MO","Binary","20%",2450,4252,0.576199435559737
"94",0.1,0.4,"MO","Binary","20%",2098,4252,0.493414863593603
"95",0.2,0.4,"MO","Binary","20%",1613,4252,0.379350893697084
"96",0.4,0.4,"MO","Binary","20%",885,4252,0.208137347130762
"97",0.05,0.05,"SCITE","Binary","20%",3145,4252,0.739651928504233
"98",0.1,0.05,"SCITE","Binary","20%",2906,4252,0.683443085606773
"99",0.2,0.05,"SCITE","Binary","20%",2447,4252,0.57549388523048
"100",0.4,0.05,"SCITE","Binary","20%",2133,4252,0.501646284101599
"101",0.05,0.1,"SCITE","Binary","20%",3048,4252,0.716839134524929
"102",0.1,0.1,"SCITE","Binary","20%",2753,4252,0.647460018814675
"103",0.2,0.1,"SCITE","Binary","20%",2425,4252,0.570319849482596
"104",0.4,0.1,"SCITE","Binary","20%",2231,4252,0.524694261523989
"105",0.05,0.2,"SCITE","Binary","20%",2937,4252,0.690733772342427
"106",0.1,0.2,"SCITE","Binary","20%",2616,4252,0.615239887111947
"107",0.2,0.2,"SCITE","Binary","20%",2263,4252,0.532220131702728
"108",0.4,0.2,"SCITE","Binary","20%",2161,4252,0.508231420507996
"109",0.05,0.4,"SCITE","Binary","20%",2630,4252,0.618532455315146
"110",0.1,0.4,"SCITE","Binary","20%",2465,4252,0.579727187206021
"111",0.2,0.4,"SCITE","Binary","20%",2180,4252,0.512699905926623
"112",0.4,0.4,"SCITE","Binary","20%",2193,4252,0.515757290686736
"113",0.05,0.05,"SiFit","Binary","20%",1222,4252,0.287394167450611
"114",0.1,0.05,"SiFit","Binary","20%",1204,4252,0.283160865475071
"115",0.2,0.05,"SiFit","Binary","20%",1060,4252,0.249294449670743
"116",0.4,0.05,"SiFit","Binary","20%",719,4252,0.169096895578551
"117",0.05,0.1,"SiFit","Binary","20%",1125,4252,0.264581373471308
"118",0.1,0.1,"SiFit","Binary","20%",1109,4252,0.260818438381938
"119",0.2,0.1,"SiFit","Binary","20%",957,4252,0.225070555032926
"120",0.4,0.1,"SiFit","Binary","20%",549,4252,0.129115710253998
"121",0.05,0.2,"SiFit","Binary","20%",1143,4252,0.268814675446849
"122",0.1,0.2,"SiFit","Binary","20%",977,4252,0.229774223894638
"123",0.2,0.2,"SiFit","Binary","20%",740,4252,0.174035747883349
"124",0.4,0.2,"SiFit","Binary","20%",436,4252,0.102539981185325
"125",0.05,0.4,"SiFit","Binary","20%",1030,4252,0.242238946378175
"126",0.1,0.4,"SiFit","Binary","20%",743,4252,0.174741298212606
"127",0.2,0.4,"SiFit","Binary","20%",487,4252,0.11453433678269
"128",0.4,0.4,"SiFit","Binary","20%",128,4252,0.0301034807149577
"129",0.05,0.05,"MO","Ternary","20%",3203,4252,0.753292568203198
"130",0.1,0.05,"MO","Ternary","20%",2969,4252,0.698259642521166
"131",0.2,0.05,"MO","Ternary","20%",2464,4252,0.579492003762935
"132",0.4,0.05,"MO","Ternary","20%",1942,4252,0.456726246472248
"133",0.05,0.1,"MO","Ternary","20%",3066,4252,0.72107243650047
"134",0.1,0.1,"MO","Ternary","20%",2793,4252,0.6568673565381
"135",0.2,0.1,"MO","Ternary","20%",2298,4252,0.540451552210724
"136",0.4,0.1,"MO","Ternary","20%",1778,4252,0.418156161806209
"137",0.05,0.2,"MO","Ternary","20%",2856,4252,0.671683913452493
"138",0.1,0.2,"MO","Ternary","20%",2641,4252,0.621119473189087
"139",0.2,0.2,"MO","Ternary","20%",2007,4252,0.472013170272813
"140",0.4,0.2,"MO","Ternary","20%",1357,4252,0.319143932267168
"141",0.05,0.4,"MO","Ternary","20%",2459,4252,0.578316086547507
"142",0.1,0.4,"MO","Ternary","20%",2105,4252,0.495061147695202
"143",0.2,0.4,"MO","Ternary","20%",1542,4252,0.362652869238006
"144",0.4,0.4,"MO","Ternary","20%",931,4252,0.2189557855127
