"","inferred","true","numSites","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",12,16,18,0.05,0.05,0,"Binary","MO"
"2",13,16,18,0.05,0.05,0,"Binary","MO"
"3",11,16,18,0.05,0.05,0,"Binary","MO"
"4",9,16,18,0.05,0.05,0,"Binary","MO"
"5",7,16,18,0.05,0.05,0,"Binary","MO"
"6",5,16,18,0.05,0.05,0,"Binary","MO"
"7",8,16,18,0.05,0.05,0,"Binary","MO"
"8",11,16,18,0.05,0.05,0,"Binary","MO"
"9",13,16,18,0.05,0.05,0,"Binary","MO"
"10",11,16,18,0.05,0.05,0,"Binary","MO"
"11",10,16,18,0.05,0.05,0,"Binary","MO"
"12",12,16,18,0.05,0.05,0,"Binary","MO"
"13",7,16,18,0.05,0.05,0,"Binary","MO"
"14",15,16,18,0.05,0.05,0,"Binary","MO"
"15",10,16,18,0.05,0.05,0,"Binary","MO"
"16",10,16,18,0.05,0.05,0,"Binary","MO"
"17",14,16,18,0.05,0.05,0,"Binary","MO"
"18",10,16,18,0.05,0.05,0,"Binary","MO"
"19",14,16,18,0.05,0.05,0,"Binary","MO"
"20",12,16,18,0.05,0.05,0,"Binary","MO"
"21",13,16,18,0.05,0.05,0,"Binary","MO"
"22",9,16,18,0.05,0.05,0,"Binary","MO"
"23",13,16,18,0.05,0.05,0,"Binary","MO"
"24",5,16,18,0.05,0.05,0,"Binary","MO"
"25",9,16,18,0.05,0.05,0,"Binary","MO"
"26",11,16,18,0.05,0.05,0,"Binary","MO"
"27",7,16,18,0.05,0.05,0,"Binary","MO"
"28",14,16,18,0.05,0.05,0,"Binary","MO"
"29",13,16,18,0.05,0.05,0,"Binary","MO"
"30",13,16,18,0.05,0.05,0,"Binary","MO"
"31",12,16,18,0.05,0.05,0,"Binary","MO"
"32",12,16,18,0.05,0.05,0,"Binary","MO"
"33",9,16,18,0.05,0.05,0,"Binary","MO"
"34",13,16,18,0.05,0.05,0,"Binary","MO"
"35",9,16,18,0.05,0.05,0,"Binary","MO"
"36",11,16,18,0.05,0.05,0,"Binary","MO"
"37",13,16,18,0.05,0.05,0,"Binary","MO"
"38",8,16,18,0.05,0.05,0,"Binary","MO"
"39",15,16,18,0.05,0.05,0,"Binary","MO"
"40",8,16,18,0.05,0.05,0,"Binary","MO"
"41",12,16,18,0.05,0.05,0,"Binary","MO"
"42",11,16,18,0.05,0.05,0,"Binary","MO"
"43",12,16,18,0.05,0.05,0,"Binary","MO"
"44",11,16,18,0.05,0.05,0,"Binary","MO"
"45",8,16,18,0.05,0.05,0,"Binary","MO"
"46",12,16,18,0.05,0.05,0,"Binary","MO"
"47",11,16,18,0.05,0.05,0,"Binary","MO"
"48",14,16,18,0.05,0.05,0,"Binary","MO"
"49",15,16,18,0.05,0.05,0,"Binary","MO"
"50",13,16,18,0.05,0.05,0,"Binary","MO"
"51",13,16,18,0.05,0.05,0,"Binary","MO"
"52",13,16,18,0.05,0.05,0,"Binary","MO"
"53",8,16,18,0.05,0.05,0,"Binary","MO"
"54",9,16,18,0.05,0.05,0,"Binary","MO"
"55",12,16,18,0.05,0.05,0,"Binary","MO"
"56",12,16,18,0.05,0.05,0,"Binary","MO"
"57",14,16,18,0.05,0.05,0,"Binary","MO"
"58",7,16,18,0.05,0.05,0,"Binary","MO"
"59",8,16,18,0.05,0.05,0,"Binary","MO"
"60",12,16,18,0.05,0.05,0,"Binary","MO"
"61",9,16,18,0.05,0.05,0,"Binary","MO"
"62",4,16,18,0.05,0.05,0,"Binary","MO"
"63",13,16,18,0.05,0.05,0,"Binary","MO"
"64",9,16,18,0.05,0.05,0,"Binary","MO"
"65",11,16,18,0.05,0.05,0,"Binary","MO"
"66",9,16,18,0.05,0.05,0,"Binary","MO"
"67",11,16,18,0.05,0.05,0,"Binary","MO"
"68",14,16,18,0.05,0.05,0,"Binary","MO"
"69",11,16,18,0.05,0.05,0,"Binary","MO"
"70",12,16,18,0.05,0.05,0,"Binary","MO"
"71",7,16,18,0.05,0.05,0,"Binary","MO"
"72",8,16,18,0.05,0.05,0,"Binary","MO"
"73",10,16,18,0.05,0.05,0,"Binary","MO"
"74",12,16,18,0.05,0.05,0,"Binary","MO"
"75",12,16,18,0.05,0.05,0,"Binary","MO"
"76",9,16,18,0.05,0.05,0,"Binary","MO"
"77",12,16,18,0.05,0.05,0,"Binary","MO"
"78",12,16,18,0.05,0.05,0,"Binary","MO"
"79",12,16,18,0.05,0.05,0,"Binary","MO"
"80",12,16,18,0.05,0.05,0,"Binary","MO"
"81",12,16,18,0.05,0.05,0,"Binary","MO"
"82",14,16,18,0.05,0.05,0,"Binary","MO"
"83",13,16,18,0.05,0.05,0,"Binary","MO"
"84",11,16,18,0.05,0.05,0,"Binary","MO"
"85",12,16,18,0.05,0.05,0,"Binary","MO"
"86",9,16,18,0.05,0.05,0,"Binary","MO"
"87",8,16,18,0.05,0.05,0,"Binary","MO"
"88",7,16,18,0.05,0.05,0,"Binary","MO"
"89",13,16,18,0.05,0.05,0,"Binary","MO"
"90",10,16,18,0.05,0.05,0,"Binary","MO"
"91",14,16,18,0.05,0.05,0,"Binary","MO"
"92",9,16,18,0.05,0.05,0,"Binary","MO"
"93",11,16,18,0.05,0.05,0,"Binary","MO"
"94",10,16,18,0.05,0.05,0,"Binary","MO"
"95",14,16,18,0.05,0.05,0,"Binary","MO"
"96",11,16,18,0.05,0.05,0,"Binary","MO"
"97",6,16,18,0.05,0.05,0,"Binary","MO"
"98",10,16,18,0.05,0.05,0,"Binary","MO"
"99",9,16,18,0.05,0.05,0,"Binary","MO"
"100",12,16,18,0.05,0.05,0,"Binary","MO"
"101",14,16,18,0.05,0.05,0,"Binary","MO"
"102",10,16,18,0.05,0.05,0,"Binary","MO"
"103",13,16,18,0.05,0.05,0,"Binary","MO"
"104",12,16,18,0.05,0.05,0,"Binary","MO"
"105",14,16,18,0.05,0.05,0,"Binary","MO"
"106",11,16,18,0.05,0.05,0,"Binary","MO"
"107",11,16,18,0.05,0.05,0,"Binary","MO"
"108",9,16,18,0.05,0.05,0,"Binary","MO"
"109",14,16,18,0.05,0.05,0,"Binary","MO"
"110",13,16,18,0.05,0.05,0,"Binary","MO"
"111",12,16,18,0.05,0.05,0,"Binary","MO"
"112",11,16,18,0.05,0.05,0,"Binary","MO"
"113",12,16,18,0.05,0.05,0,"Binary","MO"
"114",8,16,18,0.05,0.05,0,"Binary","MO"
"115",15,16,18,0.05,0.05,0,"Binary","MO"
"116",9,16,18,0.05,0.05,0,"Binary","MO"
"117",10,16,18,0.05,0.05,0,"Binary","MO"
"118",11,16,18,0.05,0.05,0,"Binary","MO"
"119",11,16,18,0.05,0.05,0,"Binary","MO"
"120",13,16,18,0.05,0.05,0,"Binary","MO"
"121",12,16,18,0.05,0.05,0,"Binary","MO"
"122",9,16,18,0.05,0.05,0,"Binary","MO"
"123",7,16,18,0.05,0.05,0,"Binary","MO"
"124",10,16,18,0.05,0.05,0,"Binary","MO"
"125",13,16,18,0.05,0.05,0,"Binary","MO"
"126",9,16,18,0.05,0.05,0,"Binary","MO"
"127",13,16,18,0.05,0.05,0,"Binary","MO"
"128",11,16,18,0.05,0.05,0,"Binary","MO"
"129",12,16,18,0.05,0.05,0,"Binary","MO"
"130",11,16,18,0.05,0.05,0,"Binary","MO"
"131",13,16,18,0.05,0.05,0,"Binary","MO"
"132",13,16,18,0.05,0.05,0,"Binary","MO"
"133",13,16,18,0.05,0.05,0,"Binary","MO"
"134",5,16,18,0.05,0.05,0,"Binary","MO"
"135",16,16,18,0.05,0.05,0,"Binary","MO"
"136",14,16,18,0.05,0.05,0,"Binary","MO"
"137",16,16,18,0.05,0.05,0,"Binary","MO"
"138",8,16,18,0.05,0.05,0,"Binary","MO"
"139",12,16,18,0.05,0.05,0,"Binary","MO"
"140",10,16,18,0.05,0.05,0,"Binary","MO"
"141",10,16,18,0.05,0.05,0,"Binary","MO"
"142",8,16,18,0.05,0.05,0,"Binary","MO"
"143",14,16,18,0.05,0.05,0,"Binary","MO"
"144",11,16,18,0.05,0.05,0,"Binary","MO"
"145",12,16,18,0.05,0.05,0,"Binary","MO"
"146",11,16,18,0.05,0.05,0,"Binary","MO"
"147",11,16,18,0.05,0.05,0,"Binary","MO"
"148",14,16,18,0.05,0.05,0,"Binary","MO"
"149",12,16,18,0.05,0.05,0,"Binary","MO"
"150",13,16,18,0.05,0.05,0,"Binary","MO"
"151",11,16,18,0.05,0.05,0,"Binary","MO"
"152",13,16,18,0.05,0.05,0,"Binary","MO"
"153",13,16,18,0.05,0.05,0,"Binary","MO"
"154",12,16,18,0.05,0.05,0,"Binary","MO"
"155",10,16,18,0.05,0.05,0,"Binary","MO"
"156",11,16,18,0.05,0.05,0,"Binary","MO"
"157",12,16,18,0.05,0.05,0,"Binary","MO"
"158",13,16,18,0.05,0.05,0,"Binary","MO"
"159",9,16,18,0.05,0.05,0,"Binary","MO"
"160",13,16,18,0.05,0.05,0,"Binary","MO"
"161",10,16,18,0.05,0.05,0,"Binary","MO"
"162",13,16,18,0.05,0.05,0,"Binary","MO"
"163",13,16,18,0.05,0.05,0,"Binary","MO"
"164",9,16,18,0.05,0.05,0,"Binary","MO"
"165",12,16,18,0.05,0.05,0,"Binary","MO"
"166",13,16,18,0.05,0.05,0,"Binary","MO"
"167",11,16,18,0.05,0.05,0,"Binary","MO"
"168",9,16,18,0.05,0.05,0,"Binary","MO"
"169",14,16,18,0.05,0.05,0,"Binary","MO"
"170",7,16,18,0.05,0.05,0,"Binary","MO"
"171",12,16,18,0.05,0.05,0,"Binary","MO"
"172",13,16,18,0.05,0.05,0,"Binary","MO"
"173",9,16,18,0.05,0.05,0,"Binary","MO"
"174",10,16,18,0.05,0.05,0,"Binary","MO"
"175",12,16,18,0.05,0.05,0,"Binary","MO"
"176",11,16,18,0.05,0.05,0,"Binary","MO"
"177",8,16,18,0.05,0.05,0,"Binary","MO"
"178",6,16,18,0.05,0.05,0,"Binary","MO"
"179",7,16,18,0.05,0.05,0,"Binary","MO"
"180",9,16,18,0.05,0.05,0,"Binary","MO"
"181",15,16,18,0.05,0.05,0,"Binary","MO"
"182",10,16,18,0.05,0.05,0,"Binary","MO"
"183",13,16,18,0.05,0.05,0,"Binary","MO"
"184",9,16,18,0.05,0.05,0,"Binary","MO"
"185",7,16,18,0.05,0.05,0,"Binary","MO"
"186",11,16,18,0.05,0.05,0,"Binary","MO"
"187",14,16,18,0.05,0.05,0,"Binary","MO"
"188",9,16,18,0.05,0.05,0,"Binary","MO"
"189",11,16,18,0.05,0.05,0,"Binary","MO"
"190",12,16,18,0.05,0.05,0,"Binary","MO"
"191",15,16,18,0.05,0.05,0,"Binary","MO"
"192",13,16,18,0.05,0.05,0,"Binary","MO"
"193",13,16,18,0.05,0.05,0,"Binary","MO"
"194",12,16,18,0.05,0.05,0,"Binary","MO"
"195",9,16,18,0.05,0.05,0,"Binary","MO"
"196",11,16,18,0.05,0.05,0,"Binary","MO"
"197",10,16,18,0.05,0.05,0,"Binary","MO"
"198",12,16,18,0.05,0.05,0,"Binary","MO"
"199",10,16,18,0.05,0.05,0,"Binary","MO"
"200",11,16,18,0.05,0.05,0,"Binary","MO"
"201",13,16,18,0.05,0.05,0,"Binary","MO"
"202",12,16,18,0.05,0.05,0,"Binary","MO"
"203",13,16,18,0.05,0.05,0,"Binary","MO"
"204",11,16,18,0.05,0.05,0,"Binary","MO"
"205",11,16,18,0.05,0.05,0,"Binary","MO"
"206",14,16,18,0.05,0.05,0,"Binary","MO"
"207",14,16,18,0.05,0.05,0,"Binary","MO"
"208",8,16,18,0.05,0.05,0,"Binary","MO"
"209",7,16,18,0.05,0.05,0,"Binary","MO"
"210",14,16,18,0.05,0.05,0,"Binary","MO"
"211",12,16,18,0.05,0.05,0,"Binary","MO"
"212",5,16,18,0.05,0.05,0,"Binary","MO"
"213",13,16,18,0.05,0.05,0,"Binary","MO"
"214",14,16,18,0.05,0.05,0,"Binary","MO"
"215",13,16,18,0.05,0.05,0,"Binary","MO"
"216",9,16,18,0.05,0.05,0,"Binary","MO"
"217",12,16,18,0.05,0.05,0,"Binary","MO"
"218",10,16,18,0.05,0.05,0,"Binary","MO"
"219",7,16,18,0.05,0.05,0,"Binary","MO"
"220",12,16,18,0.05,0.05,0,"Binary","MO"
"221",8,16,18,0.05,0.05,0,"Binary","MO"
"222",13,16,18,0.05,0.05,0,"Binary","MO"
"223",6,16,18,0.05,0.05,0,"Binary","MO"
"224",14,16,18,0.05,0.05,0,"Binary","MO"
"225",11,16,18,0.05,0.05,0,"Binary","MO"
"226",11,16,18,0.05,0.05,0,"Binary","MO"
"227",14,16,18,0.05,0.05,0,"Binary","MO"
"228",12,16,18,0.05,0.05,0,"Binary","MO"
"229",12,16,18,0.05,0.05,0,"Binary","MO"
"230",9,16,18,0.05,0.05,0,"Binary","MO"
"231",12,16,18,0.05,0.05,0,"Binary","MO"
