"","inferred","true","numSites","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",40,42,18,0.05,0.05,0,"Binary","MO"
"2",54,60,18,0.05,0.05,0,"Binary","MO"
"3",31,34,18,0.05,0.05,0,"Binary","MO"
"4",42,50,18,0.05,0.05,0,"Binary","MO"
"5",42,50,18,0.05,0.05,0,"Binary","MO"
"6",33,48,18,0.05,0.05,0,"Binary","MO"
"7",26,36,18,0.05,0.05,0,"Binary","MO"
"8",49,54,18,0.05,0.05,0,"Binary","MO"
"9",30,36,18,0.05,0.05,0,"Binary","MO"
"10",34,40,18,0.05,0.05,0,"Binary","MO"
"11",62,66,18,0.05,0.05,0,"Binary","MO"
"12",26,32,18,0.05,0.05,0,"Binary","MO"
"13",40,48,18,0.05,0.05,0,"Binary","MO"
"14",33,34,18,0.05,0.05,0,"Binary","MO"
"15",41,48,18,0.05,0.05,0,"Binary","MO"
"16",34,40,18,0.05,0.05,0,"Binary","MO"
"17",44,46,18,0.05,0.05,0,"Binary","MO"
"18",27,38,18,0.05,0.05,0,"Binary","MO"
"19",49,52,18,0.05,0.05,0,"Binary","MO"
"20",36,40,18,0.05,0.05,0,"Binary","MO"
"21",41,48,18,0.05,0.05,0,"Binary","MO"
"22",29,36,18,0.05,0.05,0,"Binary","MO"
"23",31,36,18,0.05,0.05,0,"Binary","MO"
"24",33,40,18,0.05,0.05,0,"Binary","MO"
"25",28,36,18,0.05,0.05,0,"Binary","MO"
"26",37,44,18,0.05,0.05,0,"Binary","MO"
"27",26,34,18,0.05,0.05,0,"Binary","MO"
"28",35,36,18,0.05,0.05,0,"Binary","MO"
"29",26,34,18,0.05,0.05,0,"Binary","MO"
"30",47,52,18,0.05,0.05,0,"Binary","MO"
"31",33,36,18,0.05,0.05,0,"Binary","MO"
"32",40,44,18,0.05,0.05,0,"Binary","MO"
"33",48,52,18,0.05,0.05,0,"Binary","MO"
"34",37,40,18,0.05,0.05,0,"Binary","MO"
"35",40,48,18,0.05,0.05,0,"Binary","MO"
"36",32,40,18,0.05,0.05,0,"Binary","MO"
"37",33,38,18,0.05,0.05,0,"Binary","MO"
"38",26,38,18,0.05,0.05,0,"Binary","MO"
"39",46,46,18,0.05,0.05,0,"Binary","MO"
"40",38,46,18,0.05,0.05,0,"Binary","MO"
"41",34,40,18,0.05,0.05,0,"Binary","MO"
"42",45,48,18,0.05,0.05,0,"Binary","MO"
"43",62,68,18,0.05,0.05,0,"Binary","MO"
"44",34,38,18,0.05,0.05,0,"Binary","MO"
"45",40,44,18,0.05,0.05,0,"Binary","MO"
"46",46,48,18,0.05,0.05,0,"Binary","MO"
"47",26,32,18,0.05,0.05,0,"Binary","MO"
"48",52,54,18,0.05,0.05,0,"Binary","MO"
"49",58,58,18,0.05,0.05,0,"Binary","MO"
"50",34,36,18,0.05,0.05,0,"Binary","MO"
"51",35,38,18,0.05,0.05,0,"Binary","MO"
"52",38,44,18,0.05,0.05,0,"Binary","MO"
"53",37,46,18,0.05,0.05,0,"Binary","MO"
"54",31,42,18,0.05,0.05,0,"Binary","MO"
"55",35,40,18,0.05,0.05,0,"Binary","MO"
"56",36,38,18,0.05,0.05,0,"Binary","MO"
"57",46,48,18,0.05,0.05,0,"Binary","MO"
"58",31,42,18,0.05,0.05,0,"Binary","MO"
"59",27,32,18,0.05,0.05,0,"Binary","MO"
"60",32,36,18,0.05,0.05,0,"Binary","MO"
"61",37,44,18,0.05,0.05,0,"Binary","MO"
"62",23,40,18,0.05,0.05,0,"Binary","MO"
"63",27,34,18,0.05,0.05,0,"Binary","MO"
"64",28,38,18,0.05,0.05,0,"Binary","MO"
"65",31,38,18,0.05,0.05,0,"Binary","MO"
"66",27,38,18,0.05,0.05,0,"Binary","MO"
"67",36,42,18,0.05,0.05,0,"Binary","MO"
"68",44,48,18,0.05,0.05,0,"Binary","MO"
"69",31,36,18,0.05,0.05,0,"Binary","MO"
"70",45,46,18,0.05,0.05,0,"Binary","MO"
"71",32,40,18,0.05,0.05,0,"Binary","MO"
"72",52,56,18,0.05,0.05,0,"Binary","MO"
"73",43,52,18,0.05,0.05,0,"Binary","MO"
"74",42,50,18,0.05,0.05,0,"Binary","MO"
"75",34,48,18,0.05,0.05,0,"Binary","MO"
"76",32,36,18,0.05,0.05,0,"Binary","MO"
"77",39,42,18,0.05,0.05,0,"Binary","MO"
"78",34,40,18,0.05,0.05,0,"Binary","MO"
"79",33,38,18,0.05,0.05,0,"Binary","MO"
"80",35,40,18,0.05,0.05,0,"Binary","MO"
"81",43,48,18,0.05,0.05,0,"Binary","MO"
"82",32,38,18,0.05,0.05,0,"Binary","MO"
"83",42,44,18,0.05,0.05,0,"Binary","MO"
"84",35,44,18,0.05,0.05,0,"Binary","MO"
"85",36,46,18,0.05,0.05,0,"Binary","MO"
"86",26,36,18,0.05,0.05,0,"Binary","MO"
"87",20,32,18,0.05,0.05,0,"Binary","MO"
"88",26,36,18,0.05,0.05,0,"Binary","MO"
"89",38,42,18,0.05,0.05,0,"Binary","MO"
"90",30,36,18,0.05,0.05,0,"Binary","MO"
"91",40,44,18,0.05,0.05,0,"Binary","MO"
"92",38,46,18,0.05,0.05,0,"Binary","MO"
"93",46,50,18,0.05,0.05,0,"Binary","MO"
"94",28,36,18,0.05,0.05,0,"Binary","MO"
"95",37,40,18,0.05,0.05,0,"Binary","MO"
"96",35,40,18,0.05,0.05,0,"Binary","MO"
"97",38,48,18,0.05,0.05,0,"Binary","MO"
"98",27,34,18,0.05,0.05,0,"Binary","MO"
"99",29,40,18,0.05,0.05,0,"Binary","MO"
"100",29,36,18,0.05,0.05,0,"Binary","MO"
"101",45,48,18,0.05,0.05,0,"Binary","MO"
"102",22,32,18,0.05,0.05,0,"Binary","MO"
"103",35,36,18,0.05,0.05,0,"Binary","MO"
"104",33,36,18,0.05,0.05,0,"Binary","MO"
"105",37,40,18,0.05,0.05,0,"Binary","MO"
"106",31,46,18,0.05,0.05,0,"Binary","MO"
"107",32,38,18,0.05,0.05,0,"Binary","MO"
"108",46,52,18,0.05,0.05,0,"Binary","MO"
"109",53,56,18,0.05,0.05,0,"Binary","MO"
"110",37,44,18,0.05,0.05,0,"Binary","MO"
"111",30,34,18,0.05,0.05,0,"Binary","MO"
"112",55,58,18,0.05,0.05,0,"Binary","MO"
"113",33,38,18,0.05,0.05,0,"Binary","MO"
"114",44,52,18,0.05,0.05,0,"Binary","MO"
"115",31,34,18,0.05,0.05,0,"Binary","MO"
"116",30,38,18,0.05,0.05,0,"Binary","MO"
"117",40,46,18,0.05,0.05,0,"Binary","MO"
"118",37,46,18,0.05,0.05,0,"Binary","MO"
"119",29,34,18,0.05,0.05,0,"Binary","MO"
"120",37,44,18,0.05,0.05,0,"Binary","MO"
"121",54,58,18,0.05,0.05,0,"Binary","MO"
"122",35,40,18,0.05,0.05,0,"Binary","MO"
"123",25,34,18,0.05,0.05,0,"Binary","MO"
"124",55,62,18,0.05,0.05,0,"Binary","MO"
"125",32,36,18,0.05,0.05,0,"Binary","MO"
"126",34,40,18,0.05,0.05,0,"Binary","MO"
"127",46,52,18,0.05,0.05,0,"Binary","MO"
"128",35,40,18,0.05,0.05,0,"Binary","MO"
"129",38,46,18,0.05,0.05,0,"Binary","MO"
"130",23,34,18,0.05,0.05,0,"Binary","MO"
"131",49,52,18,0.05,0.05,0,"Binary","MO"
"132",49,54,18,0.05,0.05,0,"Binary","MO"
"133",30,36,18,0.05,0.05,0,"Binary","MO"
"134",47,54,18,0.05,0.05,0,"Binary","MO"
"135",42,42,18,0.05,0.05,0,"Binary","MO"
"136",39,44,18,0.05,0.05,0,"Binary","MO"
"137",42,42,18,0.05,0.05,0,"Binary","MO"
"138",32,40,18,0.05,0.05,0,"Binary","MO"
"139",38,42,18,0.05,0.05,0,"Binary","MO"
"140",41,52,18,0.05,0.05,0,"Binary","MO"
"141",40,44,18,0.05,0.05,0,"Binary","MO"
"142",32,36,18,0.05,0.05,0,"Binary","MO"
"143",31,34,18,0.05,0.05,0,"Binary","MO"
"144",25,36,18,0.05,0.05,0,"Binary","MO"
"145",43,56,18,0.05,0.05,0,"Binary","MO"
"146",43,48,18,0.05,0.05,0,"Binary","MO"
"147",30,40,18,0.05,0.05,0,"Binary","MO"
"148",31,34,18,0.05,0.05,0,"Binary","MO"
"149",37,42,18,0.05,0.05,0,"Binary","MO"
"150",35,48,18,0.05,0.05,0,"Binary","MO"
"151",33,40,18,0.05,0.05,0,"Binary","MO"
"152",33,36,18,0.05,0.05,0,"Binary","MO"
"153",29,36,18,0.05,0.05,0,"Binary","MO"
"154",28,36,18,0.05,0.05,0,"Binary","MO"
"155",27,40,18,0.05,0.05,0,"Binary","MO"
"156",30,36,18,0.05,0.05,0,"Binary","MO"
"157",36,40,18,0.05,0.05,0,"Binary","MO"
"158",31,38,18,0.05,0.05,0,"Binary","MO"
"159",23,38,18,0.05,0.05,0,"Binary","MO"
"160",39,44,18,0.05,0.05,0,"Binary","MO"
"161",30,36,18,0.05,0.05,0,"Binary","MO"
"162",34,40,18,0.05,0.05,0,"Binary","MO"
"163",32,36,18,0.05,0.05,0,"Binary","MO"
"164",28,40,18,0.05,0.05,0,"Binary","MO"
"165",30,38,18,0.05,0.05,0,"Binary","MO"
"166",35,40,18,0.05,0.05,0,"Binary","MO"
"167",36,40,18,0.05,0.05,0,"Binary","MO"
"168",26,32,18,0.05,0.05,0,"Binary","MO"
"169",35,38,18,0.05,0.05,0,"Binary","MO"
"170",51,62,18,0.05,0.05,0,"Binary","MO"
"171",29,34,18,0.05,0.05,0,"Binary","MO"
"172",36,40,18,0.05,0.05,0,"Binary","MO"
"173",47,52,18,0.05,0.05,0,"Binary","MO"
"174",31,34,18,0.05,0.05,0,"Binary","MO"
"175",23,32,18,0.05,0.05,0,"Binary","MO"
"176",33,40,18,0.05,0.05,0,"Binary","MO"
"177",28,34,18,0.05,0.05,0,"Binary","MO"
"178",26,36,18,0.05,0.05,0,"Binary","MO"
"179",39,46,18,0.05,0.05,0,"Binary","MO"
"180",29,36,18,0.05,0.05,0,"Binary","MO"
"181",37,38,18,0.05,0.05,0,"Binary","MO"
"182",34,42,18,0.05,0.05,0,"Binary","MO"
"183",28,32,18,0.05,0.05,0,"Binary","MO"
"184",43,50,18,0.05,0.05,0,"Binary","MO"
"185",31,44,18,0.05,0.05,0,"Binary","MO"
"186",27,36,18,0.05,0.05,0,"Binary","MO"
"187",39,44,18,0.05,0.05,0,"Binary","MO"
"188",32,38,18,0.05,0.05,0,"Binary","MO"
"189",45,48,18,0.05,0.05,0,"Binary","MO"
"190",43,52,18,0.05,0.05,0,"Binary","MO"
"191",53,56,18,0.05,0.05,0,"Binary","MO"
"192",30,36,18,0.05,0.05,0,"Binary","MO"
"193",47,54,18,0.05,0.05,0,"Binary","MO"
"194",53,56,18,0.05,0.05,0,"Binary","MO"
"195",31,36,18,0.05,0.05,0,"Binary","MO"
"196",33,38,18,0.05,0.05,0,"Binary","MO"
"197",23,34,18,0.05,0.05,0,"Binary","MO"
"198",22,32,18,0.05,0.05,0,"Binary","MO"
"199",30,36,18,0.05,0.05,0,"Binary","MO"
"200",29,34,18,0.05,0.05,0,"Binary","MO"
"201",33,38,18,0.05,0.05,0,"Binary","MO"
"202",29,36,18,0.05,0.05,0,"Binary","MO"
"203",31,34,18,0.05,0.05,0,"Binary","MO"
"204",30,38,18,0.05,0.05,0,"Binary","MO"
"205",44,50,18,0.05,0.05,0,"Binary","MO"
"206",29,34,18,0.05,0.05,0,"Binary","MO"
"207",36,40,18,0.05,0.05,0,"Binary","MO"
"208",34,42,18,0.05,0.05,0,"Binary","MO"
"209",30,38,18,0.05,0.05,0,"Binary","MO"
"210",57,60,18,0.05,0.05,0,"Binary","MO"
"211",37,42,18,0.05,0.05,0,"Binary","MO"
"212",24,34,18,0.05,0.05,0,"Binary","MO"
"213",44,46,18,0.05,0.05,0,"Binary","MO"
"214",36,38,18,0.05,0.05,0,"Binary","MO"
"215",33,36,18,0.05,0.05,0,"Binary","MO"
"216",30,36,18,0.05,0.05,0,"Binary","MO"
"217",37,46,18,0.05,0.05,0,"Binary","MO"
"218",39,48,18,0.05,0.05,0,"Binary","MO"
"219",28,34,18,0.05,0.05,0,"Binary","MO"
"220",29,38,18,0.05,0.05,0,"Binary","MO"
"221",27,36,18,0.05,0.05,0,"Binary","MO"
"222",33,40,18,0.05,0.05,0,"Binary","MO"
"223",42,48,18,0.05,0.05,0,"Binary","MO"
"224",28,32,18,0.05,0.05,0,"Binary","MO"
"225",26,36,18,0.05,0.05,0,"Binary","MO"
"226",37,42,18,0.05,0.05,0,"Binary","MO"
"227",42,46,18,0.05,0.05,0,"Binary","MO"
