"","inferred_correct","inferred_all","true","numSites","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"2",7,7,16,18,0.05,0.05,0,"Binary","SiFit"
"3",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"4",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"5",4,5,16,18,0.05,0.05,0,"Binary","SiFit"
"6",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"7",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"8",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"9",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"10",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"11",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"12",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"13",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"14",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"15",7,7,16,18,0.05,0.05,0,"Binary","SiFit"
"16",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"17",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"18",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"19",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"20",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"21",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"22",1,1,16,18,0.05,0.05,0,"Binary","SiFit"
"23",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"24",1,1,16,18,0.05,0.05,0,"Binary","SiFit"
"25",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"26",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"27",2,2,16,18,0.05,0.05,0,"Binary","SiFit"
"28",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"29",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"30",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"31",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"32",1,1,16,18,0.05,0.05,0,"Binary","SiFit"
"33",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"34",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"35",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"36",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"37",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"38",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"39",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"40",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"41",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"42",2,2,16,18,0.05,0.05,0,"Binary","SiFit"
"43",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"44",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"45",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"46",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"47",1,1,16,18,0.05,0.05,0,"Binary","SiFit"
"48",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"49",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"50",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"51",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"52",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"53",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"54",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"55",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"56",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"57",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"58",2,2,16,18,0.05,0.05,0,"Binary","SiFit"
"59",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"60",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"61",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"62",1,2,16,18,0.05,0.05,0,"Binary","SiFit"
"63",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"64",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"65",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"66",3,4,16,18,0.05,0.05,0,"Binary","SiFit"
"67",1,1,16,18,0.05,0.05,0,"Binary","SiFit"
"68",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"69",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"70",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"71",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"72",2,2,16,18,0.05,0.05,0,"Binary","SiFit"
"73",2,4,16,18,0.05,0.05,0,"Binary","SiFit"
"74",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"75",7,7,16,18,0.05,0.05,0,"Binary","SiFit"
"76",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"77",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"78",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"79",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"80",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"81",7,7,16,18,0.05,0.05,0,"Binary","SiFit"
"82",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"83",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"84",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"85",7,7,16,18,0.05,0.05,0,"Binary","SiFit"
"86",2,2,16,18,0.05,0.05,0,"Binary","SiFit"
"87",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"88",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"89",5,6,16,18,0.05,0.05,0,"Binary","SiFit"
"90",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"91",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"92",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"93",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"94",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"95",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"96",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"97",1,1,16,18,0.05,0.05,0,"Binary","SiFit"
"98",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"99",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"100",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"101",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"102",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"103",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"104",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"105",3,5,16,18,0.1,0.05,0,"Binary","SiFit"
"106",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"107",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"108",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"109",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"110",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"111",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"112",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"113",7,7,16,18,0.1,0.05,0,"Binary","SiFit"
"114",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"115",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"116",4,6,16,18,0.1,0.05,0,"Binary","SiFit"
"117",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"118",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"119",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"120",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"121",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"122",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"123",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"124",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"125",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"126",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"127",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"128",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"129",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"130",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"131",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"132",1,1,16,18,0.1,0.05,0,"Binary","SiFit"
"133",5,6,16,18,0.1,0.05,0,"Binary","SiFit"
"134",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"135",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"136",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"137",2,3,16,18,0.1,0.05,0,"Binary","SiFit"
"138",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"139",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"140",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"141",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"142",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"143",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"144",1,1,16,18,0.1,0.05,0,"Binary","SiFit"
"145",4,5,16,18,0.1,0.05,0,"Binary","SiFit"
"146",1,4,16,18,0.1,0.05,0,"Binary","SiFit"
"147",1,1,16,18,0.1,0.05,0,"Binary","SiFit"
"148",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"149",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"150",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"151",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"152",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"153",7,7,16,18,0.1,0.05,0,"Binary","SiFit"
"154",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"155",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"156",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"157",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"158",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"159",4,5,16,18,0.1,0.05,0,"Binary","SiFit"
"160",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"161",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"162",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"163",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"164",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"165",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"166",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"167",1,1,16,18,0.1,0.05,0,"Binary","SiFit"
"168",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"169",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"170",3,4,16,18,0.1,0.05,0,"Binary","SiFit"
"171",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"172",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"173",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"174",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"175",6,7,16,18,0.1,0.05,0,"Binary","SiFit"
"176",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"177",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"178",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"179",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"180",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"181",6,6,16,18,0.1,0.05,0,"Binary","SiFit"
"182",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"183",4,5,16,18,0.1,0.05,0,"Binary","SiFit"
"184",3,3,16,18,0.1,0.05,0,"Binary","SiFit"
"185",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"186",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"187",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"188",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"189",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"190",4,4,16,18,0.1,0.05,0,"Binary","SiFit"
"191",5,5,16,18,0.1,0.05,0,"Binary","SiFit"
"192",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
"193",2,2,16,18,0.1,0.05,0,"Binary","SiFit"
