"","inferred_correct","inferred_all","true","numSites","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",13,9,42,18,0.05,0.05,0,"Binary","SiFit"
"2",29,22,60,18,0.05,0.05,0,"Binary","SiFit"
"3",10,7,34,18,0.05,0.05,0,"Binary","SiFit"
"4",16,8,50,18,0.05,0.05,0,"Binary","SiFit"
"5",20,12,50,18,0.05,0.05,0,"Binary","SiFit"
"6",12,7,48,18,0.05,0.05,0,"Binary","SiFit"
"7",12,5,36,18,0.05,0.05,0,"Binary","SiFit"
"8",11,11,54,18,0.05,0.05,0,"Binary","SiFit"
"9",9,8,36,18,0.05,0.05,0,"Binary","SiFit"
"10",14,11,40,18,0.05,0.05,0,"Binary","SiFit"
"11",25,8,66,18,0.05,0.05,0,"Binary","SiFit"
"12",10,8,32,18,0.05,0.05,0,"Binary","SiFit"
"13",14,9,48,18,0.05,0.05,0,"Binary","SiFit"
"14",9,6,34,18,0.05,0.05,0,"Binary","SiFit"
"15",19,16,48,18,0.05,0.05,0,"Binary","SiFit"
"16",8,6,40,18,0.05,0.05,0,"Binary","SiFit"
"17",15,15,46,18,0.05,0.05,0,"Binary","SiFit"
"18",10,10,38,18,0.05,0.05,0,"Binary","SiFit"
"19",16,11,52,18,0.05,0.05,0,"Binary","SiFit"
"20",12,12,40,18,0.05,0.05,0,"Binary","SiFit"
"21",14,11,48,18,0.05,0.05,0,"Binary","SiFit"
"22",3,2,36,18,0.05,0.05,0,"Binary","SiFit"
"23",10,10,36,18,0.05,0.05,0,"Binary","SiFit"
"24",5,3,40,18,0.05,0.05,0,"Binary","SiFit"
"25",5,4,36,18,0.05,0.05,0,"Binary","SiFit"
"26",14,10,44,18,0.05,0.05,0,"Binary","SiFit"
"27",7,3,34,18,0.05,0.05,0,"Binary","SiFit"
"28",10,7,36,18,0.05,0.05,0,"Binary","SiFit"
"29",9,9,34,18,0.05,0.05,0,"Binary","SiFit"
"30",23,11,52,18,0.05,0.05,0,"Binary","SiFit"
"31",9,9,36,18,0.05,0.05,0,"Binary","SiFit"
"32",14,4,44,18,0.05,0.05,0,"Binary","SiFit"
"33",13,13,52,18,0.05,0.05,0,"Binary","SiFit"
"34",7,7,40,18,0.05,0.05,0,"Binary","SiFit"
"35",10,6,48,18,0.05,0.05,0,"Binary","SiFit"
"36",10,8,40,18,0.05,0.05,0,"Binary","SiFit"
"37",13,11,38,18,0.05,0.05,0,"Binary","SiFit"
"38",12,9,38,18,0.05,0.05,0,"Binary","SiFit"
"39",12,12,46,18,0.05,0.05,0,"Binary","SiFit"
"40",13,8,46,18,0.05,0.05,0,"Binary","SiFit"
"41",10,7,40,18,0.05,0.05,0,"Binary","SiFit"
"42",16,7,48,18,0.05,0.05,0,"Binary","SiFit"
"43",27,20,68,18,0.05,0.05,0,"Binary","SiFit"
"44",11,7,38,18,0.05,0.05,0,"Binary","SiFit"
"45",17,11,44,18,0.05,0.05,0,"Binary","SiFit"
"46",17,7,48,18,0.05,0.05,0,"Binary","SiFit"
"47",7,3,32,18,0.05,0.05,0,"Binary","SiFit"
"48",23,14,54,18,0.05,0.05,0,"Binary","SiFit"
"49",21,21,58,18,0.05,0.05,0,"Binary","SiFit"
"50",8,8,36,18,0.05,0.05,0,"Binary","SiFit"
"51",10,8,38,18,0.05,0.05,0,"Binary","SiFit"
"52",13,9,44,18,0.05,0.05,0,"Binary","SiFit"
"53",12,9,46,18,0.05,0.05,0,"Binary","SiFit"
"54",13,6,42,18,0.05,0.05,0,"Binary","SiFit"
"55",9,9,40,18,0.05,0.05,0,"Binary","SiFit"
"56",10,9,38,18,0.05,0.05,0,"Binary","SiFit"
"57",16,16,48,18,0.05,0.05,0,"Binary","SiFit"
"58",9,4,42,18,0.05,0.05,0,"Binary","SiFit"
"59",10,6,32,18,0.05,0.05,0,"Binary","SiFit"
"60",15,10,36,18,0.05,0.05,0,"Binary","SiFit"
"61",11,9,44,18,0.05,0.05,0,"Binary","SiFit"
"62",7,4,40,18,0.05,0.05,0,"Binary","SiFit"
"63",8,7,34,18,0.05,0.05,0,"Binary","SiFit"
"64",11,8,38,18,0.05,0.05,0,"Binary","SiFit"
"65",10,8,38,18,0.05,0.05,0,"Binary","SiFit"
"66",5,5,38,18,0.05,0.05,0,"Binary","SiFit"
"67",10,5,42,18,0.05,0.05,0,"Binary","SiFit"
"68",16,10,48,18,0.05,0.05,0,"Binary","SiFit"
"69",10,5,36,18,0.05,0.05,0,"Binary","SiFit"
"70",13,9,46,18,0.05,0.05,0,"Binary","SiFit"
"71",18,12,40,18,0.05,0.05,0,"Binary","SiFit"
"72",18,9,56,18,0.05,0.05,0,"Binary","SiFit"
"73",16,12,52,18,0.05,0.05,0,"Binary","SiFit"
"74",13,10,50,18,0.05,0.05,0,"Binary","SiFit"
"75",16,16,48,18,0.05,0.05,0,"Binary","SiFit"
"76",8,5,36,18,0.05,0.05,0,"Binary","SiFit"
"77",11,11,42,18,0.05,0.05,0,"Binary","SiFit"
"78",15,12,40,18,0.05,0.05,0,"Binary","SiFit"
"79",10,9,38,18,0.05,0.05,0,"Binary","SiFit"
"80",11,8,40,18,0.05,0.05,0,"Binary","SiFit"
"81",17,16,48,18,0.05,0.05,0,"Binary","SiFit"
"82",10,7,38,18,0.05,0.05,0,"Binary","SiFit"
"83",12,12,44,18,0.05,0.05,0,"Binary","SiFit"
"84",16,8,44,18,0.05,0.05,0,"Binary","SiFit"
"85",15,15,46,18,0.05,0.05,0,"Binary","SiFit"
"86",7,4,36,18,0.05,0.05,0,"Binary","SiFit"
"87",7,3,32,18,0.05,0.05,0,"Binary","SiFit"
"88",7,7,36,18,0.05,0.05,0,"Binary","SiFit"
"89",13,13,42,18,0.05,0.05,0,"Binary","SiFit"
"90",8,6,36,18,0.05,0.05,0,"Binary","SiFit"
"91",14,14,44,18,0.05,0.05,0,"Binary","SiFit"
"92",14,10,46,18,0.05,0.05,0,"Binary","SiFit"
"93",11,7,50,18,0.05,0.05,0,"Binary","SiFit"
"94",12,7,36,18,0.05,0.05,0,"Binary","SiFit"
"95",13,12,40,18,0.05,0.05,0,"Binary","SiFit"
"96",15,8,40,18,0.05,0.05,0,"Binary","SiFit"
"97",14,4,48,18,0.05,0.05,0,"Binary","SiFit"
"98",5,4,34,18,0.05,0.05,0,"Binary","SiFit"
"99",7,7,40,18,0.05,0.05,0,"Binary","SiFit"
"100",10,8,36,18,0.05,0.05,0,"Binary","SiFit"
"101",17,6,42,18,0.1,0.05,0,"Binary","SiFit"
"102",29,15,60,18,0.1,0.05,0,"Binary","SiFit"
"103",9,9,34,18,0.1,0.05,0,"Binary","SiFit"
"104",17,14,50,18,0.1,0.05,0,"Binary","SiFit"
"105",15,12,50,18,0.1,0.05,0,"Binary","SiFit"
"106",14,7,48,18,0.1,0.05,0,"Binary","SiFit"
"107",9,4,36,18,0.1,0.05,0,"Binary","SiFit"
"108",11,8,54,18,0.1,0.05,0,"Binary","SiFit"
"109",9,8,36,18,0.1,0.05,0,"Binary","SiFit"
"110",13,12,40,18,0.1,0.05,0,"Binary","SiFit"
"111",31,8,66,18,0.1,0.05,0,"Binary","SiFit"
"112",10,8,32,18,0.1,0.05,0,"Binary","SiFit"
"113",28,16,48,18,0.1,0.05,0,"Binary","SiFit"
"114",8,6,34,18,0.1,0.05,0,"Binary","SiFit"
"115",15,9,48,18,0.1,0.05,0,"Binary","SiFit"
"116",14,12,40,18,0.1,0.05,0,"Binary","SiFit"
"117",25,15,46,18,0.1,0.05,0,"Binary","SiFit"
"118",6,6,38,18,0.1,0.05,0,"Binary","SiFit"
"119",11,4,52,18,0.1,0.05,0,"Binary","SiFit"
"120",12,12,40,18,0.1,0.05,0,"Binary","SiFit"
"121",21,16,48,18,0.1,0.05,0,"Binary","SiFit"
"122",7,4,36,18,0.1,0.05,0,"Binary","SiFit"
"123",16,10,36,18,0.1,0.05,0,"Binary","SiFit"
"124",7,6,40,18,0.1,0.05,0,"Binary","SiFit"
"125",9,9,36,18,0.1,0.05,0,"Binary","SiFit"
"126",14,11,44,18,0.1,0.05,0,"Binary","SiFit"
"127",7,3,34,18,0.1,0.05,0,"Binary","SiFit"
"128",9,7,36,18,0.1,0.05,0,"Binary","SiFit"
"129",9,9,34,18,0.1,0.05,0,"Binary","SiFit"
"130",16,11,52,18,0.1,0.05,0,"Binary","SiFit"
"131",10,6,36,18,0.1,0.05,0,"Binary","SiFit"
"132",14,4,44,18,0.1,0.05,0,"Binary","SiFit"
"133",17,17,52,18,0.1,0.05,0,"Binary","SiFit"
"134",7,7,40,18,0.1,0.05,0,"Binary","SiFit"
"135",14,9,48,18,0.1,0.05,0,"Binary","SiFit"
"136",9,9,40,18,0.1,0.05,0,"Binary","SiFit"
"137",11,7,38,18,0.1,0.05,0,"Binary","SiFit"
"138",11,9,38,18,0.1,0.05,0,"Binary","SiFit"
"139",12,12,46,18,0.1,0.05,0,"Binary","SiFit"
"140",11,8,46,18,0.1,0.05,0,"Binary","SiFit"
"141",10,7,40,18,0.1,0.05,0,"Binary","SiFit"
"142",13,7,48,18,0.1,0.05,0,"Binary","SiFit"
"143",31,19,68,18,0.1,0.05,0,"Binary","SiFit"
"144",7,4,38,18,0.1,0.05,0,"Binary","SiFit"
"145",10,8,44,18,0.1,0.05,0,"Binary","SiFit"
"146",14,10,48,18,0.1,0.05,0,"Binary","SiFit"
"147",6,3,32,18,0.1,0.05,0,"Binary","SiFit"
"148",22,14,54,18,0.1,0.05,0,"Binary","SiFit"
"149",22,21,58,18,0.1,0.05,0,"Binary","SiFit"
"150",7,7,36,18,0.1,0.05,0,"Binary","SiFit"
"151",9,5,38,18,0.1,0.05,0,"Binary","SiFit"
"152",13,9,44,18,0.1,0.05,0,"Binary","SiFit"
"153",21,15,46,18,0.1,0.05,0,"Binary","SiFit"
"154",12,9,42,18,0.1,0.05,0,"Binary","SiFit"
"155",6,4,40,18,0.1,0.05,0,"Binary","SiFit"
"156",11,9,38,18,0.1,0.05,0,"Binary","SiFit"
"157",14,11,48,18,0.1,0.05,0,"Binary","SiFit"
"158",10,7,42,18,0.1,0.05,0,"Binary","SiFit"
"159",8,6,32,18,0.1,0.05,0,"Binary","SiFit"
"160",11,7,36,18,0.1,0.05,0,"Binary","SiFit"
"161",17,11,44,18,0.1,0.05,0,"Binary","SiFit"
"162",13,4,40,18,0.1,0.05,0,"Binary","SiFit"
"163",13,7,34,18,0.1,0.05,0,"Binary","SiFit"
"164",17,11,38,18,0.1,0.05,0,"Binary","SiFit"
"165",10,8,38,18,0.1,0.05,0,"Binary","SiFit"
"166",11,11,38,18,0.1,0.05,0,"Binary","SiFit"
"167",14,5,42,18,0.1,0.05,0,"Binary","SiFit"
"168",14,7,48,18,0.1,0.05,0,"Binary","SiFit"
"169",8,3,36,18,0.1,0.05,0,"Binary","SiFit"
"170",13,9,46,18,0.1,0.05,0,"Binary","SiFit"
"171",16,9,40,18,0.1,0.05,0,"Binary","SiFit"
"172",18,14,56,18,0.1,0.05,0,"Binary","SiFit"
"173",17,12,52,18,0.1,0.05,0,"Binary","SiFit"
"174",20,15,50,18,0.1,0.05,0,"Binary","SiFit"
"175",24,16,48,18,0.1,0.05,0,"Binary","SiFit"
"176",10,5,36,18,0.1,0.05,0,"Binary","SiFit"
"177",11,9,42,18,0.1,0.05,0,"Binary","SiFit"
"178",9,9,40,18,0.1,0.05,0,"Binary","SiFit"
"179",16,11,38,18,0.1,0.05,0,"Binary","SiFit"
"180",10,7,40,18,0.1,0.05,0,"Binary","SiFit"
"181",18,15,48,18,0.1,0.05,0,"Binary","SiFit"
"182",13,7,38,18,0.1,0.05,0,"Binary","SiFit"
"183",13,11,44,18,0.1,0.05,0,"Binary","SiFit"
"184",17,8,44,18,0.1,0.05,0,"Binary","SiFit"
"185",20,11,46,18,0.1,0.05,0,"Binary","SiFit"
"186",8,7,36,18,0.1,0.05,0,"Binary","SiFit"
"187",5,3,32,18,0.1,0.05,0,"Binary","SiFit"
"188",9,4,36,18,0.1,0.05,0,"Binary","SiFit"
"189",11,9,42,18,0.1,0.05,0,"Binary","SiFit"
"190",10,6,36,18,0.1,0.05,0,"Binary","SiFit"
"191",13,10,44,18,0.1,0.05,0,"Binary","SiFit"
"192",18,9,46,18,0.1,0.05,0,"Binary","SiFit"
"193",10,4,50,18,0.1,0.05,0,"Binary","SiFit"
"194",10,7,36,18,0.1,0.05,0,"Binary","SiFit"
"195",14,12,40,18,0.1,0.05,0,"Binary","SiFit"
"196",8,4,40,18,0.1,0.05,0,"Binary","SiFit"
"197",19,4,48,18,0.1,0.05,0,"Binary","SiFit"
"198",8,6,34,18,0.1,0.05,0,"Binary","SiFit"
"199",13,4,40,18,0.1,0.05,0,"Binary","SiFit"
"200",8,8,36,18,0.1,0.05,0,"Binary","SiFit"
"201",23,9,42,18,0.2,0.05,0,"Binary","SiFit"
"202",37,22,60,18,0.2,0.05,0,"Binary","SiFit"
"203",10,9,34,18,0.2,0.05,0,"Binary","SiFit"
"204",16,11,50,18,0.2,0.05,0,"Binary","SiFit"
"205",20,6,50,18,0.2,0.05,0,"Binary","SiFit"
"206",19,4,48,18,0.2,0.05,0,"Binary","SiFit"
"207",9,6,36,18,0.2,0.05,0,"Binary","SiFit"
"208",16,11,54,18,0.2,0.05,0,"Binary","SiFit"
"209",7,2,36,18,0.2,0.05,0,"Binary","SiFit"
"210",14,9,40,18,0.2,0.05,0,"Binary","SiFit"
"211",21,8,66,18,0.2,0.05,0,"Binary","SiFit"
"212",11,8,32,18,0.2,0.05,0,"Binary","SiFit"
"213",19,12,48,18,0.2,0.05,0,"Binary","SiFit"
"214",10,4,34,18,0.2,0.05,0,"Binary","SiFit"
"215",18,4,48,18,0.2,0.05,0,"Binary","SiFit"
"216",15,12,40,18,0.2,0.05,0,"Binary","SiFit"
"217",15,8,46,18,0.2,0.05,0,"Binary","SiFit"
"218",17,10,38,18,0.2,0.05,0,"Binary","SiFit"
"219",14,3,52,18,0.2,0.05,0,"Binary","SiFit"
"220",17,9,40,18,0.2,0.05,0,"Binary","SiFit"
"221",20,11,48,18,0.2,0.05,0,"Binary","SiFit"
