"","inferred_correct","inferred_all","true","numSites","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"2",8,16,16,18,0.05,0.05,0,"Binary","SCITE"
"3",13,16,16,18,0.05,0.05,0,"Binary","SCITE"
"4",10,16,16,18,0.05,0.05,0,"Binary","SCITE"
"5",14,16,16,18,0.05,0.05,0,"Binary","SCITE"
"6",12,16,16,18,0.05,0.05,0,"Binary","SCITE"
"7",15,16,16,18,0.05,0.05,0,"Binary","SCITE"
"8",10,16,16,18,0.05,0.05,0,"Binary","SCITE"
"9",11,15,16,18,0.05,0.05,0,"Binary","SCITE"
"10",6,16,16,18,0.05,0.05,0,"Binary","SCITE"
"11",7,16,16,18,0.05,0.05,0,"Binary","SCITE"
"12",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"13",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"14",6,16,16,18,0.05,0.05,0,"Binary","SCITE"
"15",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"16",5,16,16,18,0.05,0.05,0,"Binary","SCITE"
"17",14,16,16,18,0.05,0.05,0,"Binary","SCITE"
"18",10,16,16,18,0.05,0.05,0,"Binary","SCITE"
"19",7,16,16,18,0.05,0.05,0,"Binary","SCITE"
"20",13,16,16,18,0.05,0.05,0,"Binary","SCITE"
"21",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"22",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"23",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"24",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"25",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"26",13,16,16,18,0.05,0.05,0,"Binary","SCITE"
"27",13,16,16,18,0.05,0.05,0,"Binary","SCITE"
"28",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"29",14,16,16,18,0.05,0.05,0,"Binary","SCITE"
"30",6,15,16,18,0.05,0.05,0,"Binary","SCITE"
"31",8,16,16,18,0.05,0.05,0,"Binary","SCITE"
"32",10,16,16,18,0.05,0.05,0,"Binary","SCITE"
"33",12,16,16,18,0.05,0.05,0,"Binary","SCITE"
"34",10,16,16,18,0.05,0.05,0,"Binary","SCITE"
"35",12,16,16,18,0.05,0.05,0,"Binary","SCITE"
"36",12,16,16,18,0.05,0.05,0,"Binary","SCITE"
"37",6,16,16,18,0.05,0.05,0,"Binary","SCITE"
"38",12,16,16,18,0.05,0.05,0,"Binary","SCITE"
"39",3,16,16,18,0.05,0.05,0,"Binary","SCITE"
"40",8,17,16,18,0.05,0.05,0,"Binary","SCITE"
"41",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"42",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"43",14,16,16,18,0.05,0.05,0,"Binary","SCITE"
"44",12,16,16,18,0.05,0.05,0,"Binary","SCITE"
"45",9,17,16,18,0.05,0.05,0,"Binary","SCITE"
"46",12,16,16,18,0.05,0.05,0,"Binary","SCITE"
"47",12,16,16,18,0.05,0.05,0,"Binary","SCITE"
"48",10,16,16,18,0.05,0.05,0,"Binary","SCITE"
"49",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"50",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"51",10,17,16,18,0.05,0.05,0,"Binary","SCITE"
"52",10,16,16,18,0.05,0.05,0,"Binary","SCITE"
"53",13,16,16,18,0.05,0.05,0,"Binary","SCITE"
"54",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"55",11,15,16,18,0.05,0.05,0,"Binary","SCITE"
"56",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"57",9,17,16,18,0.05,0.05,0,"Binary","SCITE"
"58",10,16,16,18,0.05,0.05,0,"Binary","SCITE"
"59",12,16,16,18,0.05,0.05,0,"Binary","SCITE"
"60",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"61",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"62",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"63",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"64",13,16,16,18,0.05,0.05,0,"Binary","SCITE"
"65",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"66",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"67",8,16,16,18,0.05,0.05,0,"Binary","SCITE"
"68",11,17,16,18,0.05,0.05,0,"Binary","SCITE"
"69",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"70",10,16,16,18,0.05,0.05,0,"Binary","SCITE"
"71",13,16,16,18,0.05,0.05,0,"Binary","SCITE"
"72",8,16,16,18,0.05,0.05,0,"Binary","SCITE"
"73",15,16,16,18,0.05,0.05,0,"Binary","SCITE"
"74",8,16,16,18,0.05,0.05,0,"Binary","SCITE"
"75",12,16,16,18,0.05,0.05,0,"Binary","SCITE"
"76",5,16,16,18,0.05,0.05,0,"Binary","SCITE"
"77",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"78",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"79",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"80",8,16,16,18,0.05,0.05,0,"Binary","SCITE"
"81",7,16,16,18,0.05,0.05,0,"Binary","SCITE"
"82",8,16,16,18,0.05,0.05,0,"Binary","SCITE"
"83",4,15,16,18,0.05,0.05,0,"Binary","SCITE"
"84",8,16,16,18,0.05,0.05,0,"Binary","SCITE"
"85",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"86",6,16,16,18,0.05,0.05,0,"Binary","SCITE"
"87",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"88",13,16,16,18,0.05,0.05,0,"Binary","SCITE"
"89",13,16,16,18,0.05,0.05,0,"Binary","SCITE"
"90",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"91",8,16,16,18,0.05,0.05,0,"Binary","SCITE"
"92",4,16,16,18,0.05,0.05,0,"Binary","SCITE"
"93",11,15,16,18,0.05,0.05,0,"Binary","SCITE"
"94",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"95",13,16,16,18,0.05,0.05,0,"Binary","SCITE"
"96",10,16,16,18,0.05,0.05,0,"Binary","SCITE"
"97",9,16,16,18,0.05,0.05,0,"Binary","SCITE"
"98",11,16,16,18,0.05,0.05,0,"Binary","SCITE"
"99",12,16,16,18,0.05,0.05,0,"Binary","SCITE"
"100",13,16,16,18,0.05,0.05,0,"Binary","SCITE"
"101",10,16,16,18,0.1,0.05,0,"Binary","SCITE"
"102",9,17,16,18,0.1,0.05,0,"Binary","SCITE"
"103",3,16,16,18,0.1,0.05,0,"Binary","SCITE"
"104",5,17,16,18,0.1,0.05,0,"Binary","SCITE"
"105",11,17,16,18,0.1,0.05,0,"Binary","SCITE"
"106",3,16,16,18,0.1,0.05,0,"Binary","SCITE"
"107",5,16,16,18,0.1,0.05,0,"Binary","SCITE"
