"","inferred_correct","inferred_all","true","numSites","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",3,4,16,18,0.05,0.05,0,"Binary","SiFit"
"2",7,7,16,18,0.05,0.05,0,"Binary","SiFit"
"3",5,6,16,18,0.05,0.05,0,"Binary","SiFit"
"4",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"5",3,5,16,18,0.05,0.05,0,"Binary","SiFit"
"6",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"7",3,4,16,18,0.05,0.05,0,"Binary","SiFit"
"8",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"9",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"10",4,5,16,18,0.05,0.05,0,"Binary","SiFit"
"11",4,5,16,18,0.05,0.05,0,"Binary","SiFit"
"12",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"13",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"14",5,6,16,18,0.05,0.05,0,"Binary","SiFit"
"15",2,4,16,18,0.05,0.05,0,"Binary","SiFit"
"16",2,3,16,18,0.05,0.05,0,"Binary","SiFit"
"17",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"18",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"19",4,5,16,18,0.05,0.05,0,"Binary","SiFit"
"20",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"21",3,4,16,18,0.05,0.05,0,"Binary","SiFit"
"22",1,1,16,18,0.05,0.05,0,"Binary","SiFit"
"23",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"24",2,2,16,18,0.05,0.05,0,"Binary","SiFit"
"25",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"26",2,5,16,18,0.05,0.05,0,"Binary","SiFit"
"27",1,2,16,18,0.05,0.05,0,"Binary","SiFit"
"28",4,4,16,18,0.05,0.05,0,"Binary","SiFit"
"29",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"30",7,7,16,18,0.05,0.05,0,"Binary","SiFit"
"31",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"32",3,4,16,18,0.05,0.05,0,"Binary","SiFit"
"33",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"34",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"35",3,3,16,18,0.05,0.05,0,"Binary","SiFit"
"36",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
"37",6,6,16,18,0.05,0.05,0,"Binary","SiFit"
"38",5,5,16,18,0.05,0.05,0,"Binary","SiFit"
