"","inferred_correct","inferred_all","true","numSites","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",8,9,42,18,0.05,0.05,0,"Binary","SiFit"
"2",22,22,60,18,0.05,0.05,0,"Binary","SiFit"
"3",9,9,34,18,0.05,0.05,0,"Binary","SiFit"
"4",10,10,50,18,0.05,0.05,0,"Binary","SiFit"
"5",11,12,50,18,0.05,0.05,0,"Binary","SiFit"
"6",7,7,48,18,0.05,0.05,0,"Binary","SiFit"
"7",5,5,36,18,0.05,0.05,0,"Binary","SiFit"
"8",15,15,54,18,0.05,0.05,0,"Binary","SiFit"
"9",8,8,36,18,0.05,0.05,0,"Binary","SiFit"
"10",11,11,40,18,0.05,0.05,0,"Binary","SiFit"
"11",18,18,66,18,0.05,0.05,0,"Binary","SiFit"
"12",8,8,32,18,0.05,0.05,0,"Binary","SiFit"
"13",9,9,48,18,0.05,0.05,0,"Binary","SiFit"
"14",9,9,34,18,0.05,0.05,0,"Binary","SiFit"
"15",8,10,48,18,0.05,0.05,0,"Binary","SiFit"
"16",6,6,40,18,0.05,0.05,0,"Binary","SiFit"
"17",15,15,46,18,0.05,0.05,0,"Binary","SiFit"
"18",10,10,38,18,0.05,0.05,0,"Binary","SiFit"
"19",7,11,52,18,0.05,0.05,0,"Binary","SiFit"
"20",9,9,40,18,0.05,0.05,0,"Binary","SiFit"
"21",10,11,48,18,0.05,0.05,0,"Binary","SiFit"
"22",2,2,36,18,0.05,0.05,0,"Binary","SiFit"
"23",10,10,36,18,0.05,0.05,0,"Binary","SiFit"
"24",6,6,40,18,0.05,0.05,0,"Binary","SiFit"
"25",4,4,36,18,0.05,0.05,0,"Binary","SiFit"
"26",5,10,44,18,0.05,0.05,0,"Binary","SiFit"
"27",1,3,34,18,0.05,0.05,0,"Binary","SiFit"
"28",7,7,36,18,0.05,0.05,0,"Binary","SiFit"
"29",9,9,34,18,0.05,0.05,0,"Binary","SiFit"
"30",18,18,52,18,0.05,0.05,0,"Binary","SiFit"
"31",9,9,36,18,0.05,0.05,0,"Binary","SiFit"
"32",4,8,44,18,0.05,0.05,0,"Binary","SiFit"
"33",17,17,52,18,0.05,0.05,0,"Binary","SiFit"
"34",9,9,40,18,0.05,0.05,0,"Binary","SiFit"
"35",6,6,48,18,0.05,0.05,0,"Binary","SiFit"
"36",11,11,40,18,0.05,0.05,0,"Binary","SiFit"
"37",11,11,38,18,0.05,0.05,0,"Binary","SiFit"
"38",9,9,38,18,0.05,0.05,0,"Binary","SiFit"
"39",15,15,46,18,0.05,0.05,0,"Binary","SiFit"
"40",7,8,46,18,0.05,0.05,0,"Binary","SiFit"
"41",7,7,40,18,0.05,0.05,0,"Binary","SiFit"
"42",7,7,48,18,0.05,0.05,0,"Binary","SiFit"
"43",20,20,68,18,0.05,0.05,0,"Binary","SiFit"
"44",7,7,38,18,0.05,0.05,0,"Binary","SiFit"
"45",7,11,44,18,0.05,0.05,0,"Binary","SiFit"
"46",10,10,48,18,0.05,0.05,0,"Binary","SiFit"
"47",6,6,32,18,0.05,0.05,0,"Binary","SiFit"
"48",19,19,54,18,0.05,0.05,0,"Binary","SiFit"
