"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1","20","20","0.05","0.01","0","Binary","0","0","MO"
"2","25","20","0.05","0.01","0","Binary","0","0","MO"
"3","5","20","0.05","0.01","0","Binary","0","0","MO"
"4","11","20","0.05","0.01","0","Binary","0","0","MO"
"5","1","20","0.05","0.01","0","Binary","0","0","MO"
"6","8","20","0.05","0.01","0","Binary","0","0","MO"
"7","5","20","0.05","0.01","0","Binary","0","0","MO"
"8","4","20","0.05","0.01","0","Binary","0","0","MO"
"9","6","20","0.05","0.01","0","Binary","0","0","MO"
"10","8","20","0.05","0.01","0","Binary","0","0","MO"
"11","8","20","0.05","0.01","0","Binary","0","0","MO"
"12","23","20","0.05","0.01","0","Binary","0","0","MO"
"13","18","20","0.05","0.01","0","Binary","0","0","MO"
"14","15","20","0.05","0.01","0","Binary","0","0","MO"
"15","22","20","0.05","0.01","0","Binary","0","0","MO"
"16","7","20","0.05","0.01","0","Binary","0","0","MO"
"17","5","20","0.05","0.01","0","Binary","0","0","MO"
"18","3","20","0.05","0.01","0","Binary","0","0","MO"
"19","15","20","0.05","0.01","0","Binary","0","0","MO"
"20","11","20","0.05","0.01","0","Binary","0","0","MO"
"21","14","20","0.05","0.01","0","Binary","0","0","MO"
"22","2","20","0.05","0.01","0","Binary","0","0","MO"
"23","7","20","0.05","0.01","0","Binary","0","0","MO"
"24","13","20","0.05","0.01","0","Binary","0","0","MO"
"25","2","20","0.05","0.01","0","Binary","0","0","MO"
"26","2","20","0.05","0.01","0","Binary","0","0","MO"
"27","66","20","0.05","0.01","0","Binary","0","0","MO"
"28","17","20","0.05","0.01","0","Binary","0","0","MO"
"29","14","20","0.05","0.01","0","Binary","0","0","MO"
"30","3","20","0.05","0.01","0","Binary","0","0","MO"
"31","3","20","0.05","0.01","0","Binary","0","0","MO"
"32","6","20","0.05","0.01","0","Binary","0","0","MO"
"33","7","20","0.05","0.01","0","Binary","0","0","MO"
"34","11","20","0.05","0.01","0","Binary","0","0","MO"
"35","12","20","0.05","0.01","0","Binary","0","0","MO"
"36","2","20","0.05","0.01","0","Binary","0","0","MO"
"37","7","20","0.05","0.01","0","Binary","0","0","MO"
"38","5","20","0.05","0.01","0","Binary","0","0","MO"
"39","5","20","0.05","0.01","0","Binary","0","0","MO"
"40","12","20","0.05","0.01","0","Binary","0","0","MO"
"41","3","20","0.05","0.01","0","Binary","0","0","MO"
"42","6","20","0.05","0.01","0","Binary","0","0","MO"
"43","6","20","0.05","0.01","0","Binary","0","0","MO"
"44","15","20","0.05","0.01","0","Binary","0","0","MO"
"45","3","20","0.05","0.01","0","Binary","0","0","MO"
"46","13","20","0.05","0.01","0","Binary","0","0","MO"
"47","28","20","0.05","0.01","0","Binary","0","0","MO"
"48","7","20","0.05","0.01","0","Binary","0","0","MO"
"49","3","20","0.05","0.01","0","Binary","0","0","MO"
"50","4","20","0.05","0.01","0","Binary","0","0","MO"
"51","7","20","0.05","0.01","0","Binary","0","0","MO"
