"","inferred location","true location","sites","error","m10","missingindex","Genotype","lost_rate","lost_br","MO"
"1","13","16","20","0.05","0.01","0","Binary","0","0","MO"
"2","13","20","20","0.05","0.01","0","Binary","0","0","MO"
"3","6","11","20","0.05","0.01","0","Binary","0","0","MO"
"4","7","18","20","0.05","0.01","0","Binary","0","0","MO"
"5","6","16","20","0.05","0.01","0","Binary","0","0","MO"
"6","9","15","20","0.05","0.01","0","Binary","0","0","MO"
"7","7","16","20","0.05","0.01","0","Binary","0","0","MO"
"8","6","16","20","0.05","0.01","0","Binary","0","0","MO"
"9","8","19","20","0.05","0.01","0","Binary","0","0","MO"
"10","10","16","20","0.05","0.01","0","Binary","0","0","MO"
"11","10","15","20","0.05","0.01","0","Binary","0","0","MO"
"12","13","19","20","0.05","0.01","0","Binary","0","0","MO"
"13","11","16","20","0.05","0.01","0","Binary","0","0","MO"
"14","6","20","20","0.05","0.01","0","Binary","0","0","MO"
"15","9","16","20","0.05","0.01","0","Binary","0","0","MO"
"16","4","19","20","0.05","0.01","0","Binary","0","0","MO"
"17","8","16","20","0.05","0.01","0","Binary","0","0","MO"
"18","4","19","20","0.05","0.01","0","Binary","0","0","MO"
"19","10","17","20","0.05","0.01","0","Binary","0","0","MO"
"20","9","19","20","0.05","0.01","0","Binary","0","0","MO"
"21","12","16","20","0.05","0.01","0","Binary","0","0","MO"
"22","6","14","20","0.05","0.01","0","Binary","0","0","MO"
"23","8","19","20","0.05","0.01","0","Binary","0","0","MO"
"24","10","19","20","0.05","0.01","0","Binary","0","0","MO"
"25","6","12","20","0.05","0.01","0","Binary","0","0","MO"
"26","6","18","20","0.05","0.01","0","Binary","0","0","MO"
"27","12","20","20","0.05","0.01","0","Binary","0","0","MO"
"28","9","16","20","0.05","0.01","0","Binary","0","0","MO"
"29","10","16","20","0.05","0.01","0","Binary","0","0","MO"
"30","5","12","20","0.05","0.01","0","Binary","0","0","MO"
"31","4","15","20","0.05","0.01","0","Binary","0","0","MO"
"32","7","15","20","0.05","0.01","0","Binary","0","0","MO"
"33","9","14","20","0.05","0.01","0","Binary","0","0","MO"
"34","7","16","20","0.05","0.01","0","Binary","0","0","MO"
"35","10","19","20","0.05","0.01","0","Binary","0","0","MO"
"36","6","16","20","0.05","0.01","0","Binary","0","0","MO"
"37","11","16","20","0.05","0.01","0","Binary","0","0","MO"
"38","8","17","20","0.05","0.01","0","Binary","0","0","MO"
"39","9","18","20","0.05","0.01","0","Binary","0","0","MO"
"40","9","15","20","0.05","0.01","0","Binary","0","0","MO"
"41","6","18","20","0.05","0.01","0","Binary","0","0","MO"
"42","6","15","20","0.05","0.01","0","Binary","0","0","MO"
"43","6","18","20","0.05","0.01","0","Binary","0","0","MO"
"44","8","16","20","0.05","0.01","0","Binary","0","0","MO"
"45","7","18","20","0.05","0.01","0","Binary","0","0","MO"
"46","12","19","20","0.05","0.01","0","Binary","0","0","MO"
"47","10","20","20","0.05","0.01","0","Binary","0","0","MO"
"48","9","17","20","0.05","0.01","0","Binary","0","0","MO"
"49","4","17","20","0.05","0.01","0","Binary","0","0","MO"
"50","6","15","20","0.05","0.01","0","Binary","0","0","MO"
"51","8","14","20","0.05","0.01","0","Binary","0","0","MO"
"52","4","11","20","0.05","0.01","0","Binary","0","0","MO"
"53","6","19","20","0.05","0.01","0","Binary","0","0","MO"
"54","4","20","20","0.05","0.01","0","Binary","0","0","MO"
