"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1","20","20","0.05","0.01","0","Ternary","0","0","MO"
"2","25","20","0.05","0.01","0","Ternary","0","0","MO"
"3","5","20","0.05","0.01","0","Ternary","0","0","MO"
"4","11","20","0.05","0.01","0","Ternary","0","0","MO"
"5","1","20","0.05","0.01","0","Ternary","0","0","MO"
"6","8","20","0.05","0.01","0","Ternary","0","0","MO"
"7","5","20","0.05","0.01","0","Ternary","0","0","MO"
"8","4","20","0.05","0.01","0","Ternary","0","0","MO"
"9","6","20","0.05","0.01","0","Ternary","0","0","MO"
"10","8","20","0.05","0.01","0","Ternary","0","0","MO"
"11","8","20","0.05","0.01","0","Ternary","0","0","MO"
"12","29","20","0.05","0.01","0","Ternary","0","0","MO"
"13","18","20","0.05","0.01","0","Ternary","0","0","MO"
"14","15","20","0.05","0.01","0","Ternary","0","0","MO"
"15","22","20","0.05","0.01","0","Ternary","0","0","MO"
"16","7","20","0.05","0.01","0","Ternary","0","0","MO"
"17","5","20","0.05","0.01","0","Ternary","0","0","MO"
"18","3","20","0.05","0.01","0","Ternary","0","0","MO"
"19","15","20","0.05","0.01","0","Ternary","0","0","MO"
"20","11","20","0.05","0.01","0","Ternary","0","0","MO"
"21","14","20","0.05","0.01","0","Ternary","0","0","MO"
"22","2","20","0.05","0.01","0","Ternary","0","0","MO"
"23","9","20","0.05","0.01","0","Ternary","0","0","MO"
"24","13","20","0.05","0.01","0","Ternary","0","0","MO"
"25","2","20","0.05","0.01","0","Ternary","0","0","MO"
"26","2","20","0.05","0.01","0","Ternary","0","0","MO"
"27","66","20","0.05","0.01","0","Ternary","0","0","MO"
"28","17","20","0.05","0.01","0","Ternary","0","0","MO"
"29","14","20","0.05","0.01","0","Ternary","0","0","MO"
"30","3","20","0.05","0.01","0","Ternary","0","0","MO"
"31","3","20","0.05","0.01","0","Ternary","0","0","MO"
"32","6","20","0.05","0.01","0","Ternary","0","0","MO"
"33","6","20","0.05","0.01","0","Ternary","0","0","MO"
"34","11","20","0.05","0.01","0","Ternary","0","0","MO"
"35","12","20","0.05","0.01","0","Ternary","0","0","MO"
"36","2","20","0.05","0.01","0","Ternary","0","0","MO"
"37","7","20","0.05","0.01","0","Ternary","0","0","MO"
"38","5","20","0.05","0.01","0","Ternary","0","0","MO"
"39","5","20","0.05","0.01","0","Ternary","0","0","MO"
"40","12","20","0.05","0.01","0","Ternary","0","0","MO"
"41","3","20","0.05","0.01","0","Ternary","0","0","MO"
"42","6","20","0.05","0.01","0","Ternary","0","0","MO"
"43","6","20","0.05","0.01","0","Ternary","0","0","MO"
"44","15","20","0.05","0.01","0","Ternary","0","0","MO"
"45","3","20","0.05","0.01","0","Ternary","0","0","MO"
"46","13","20","0.05","0.01","0","Ternary","0","0","MO"
"47","28","20","0.05","0.01","0","Ternary","0","0","MO"
"48","7","20","0.05","0.01","0","Ternary","0","0","MO"
"49","3","20","0.05","0.01","0","Ternary","0","0","MO"
"50","4","20","0.05","0.01","0","Ternary","0","0","MO"
"51","7","20","0.05","0.01","0","Ternary","0","0","MO"
"52","3","20","0.05","0.01","0","Ternary","0","0","MO"
"53","3","20","0.05","0.01","0","Ternary","0","0","MO"
"54","1","20","0.05","0.01","0","Ternary","0","0","MO"
"55","5","20","0.05","0.01","0","Ternary","0","0","MO"
"56","9","20","0.05","0.01","0","Ternary","0","0","MO"
"57","6","20","0.05","0.01","0","Ternary","0","0","MO"
"58","8","20","0.05","0.01","0","Ternary","0","0","MO"
"59","14","20","0.05","0.01","0","Ternary","0","0","MO"
"60","11","20","0.05","0.01","0","Ternary","0","0","MO"
"61","1","20","0.05","0.01","0","Ternary","0","0","MO"
"62","40","20","0.05","0.01","0","Ternary","0","0","MO"
"63","4","20","0.05","0.01","0","Ternary","0","0","MO"
"64","14","20","0.05","0.01","0","Ternary","0","0","MO"
"65","13","20","0.05","0.01","0","Ternary","0","0","MO"
"66","9","20","0.05","0.01","0","Ternary","0","0","MO"
"67","6","20","0.05","0.01","0","Ternary","0","0","MO"
"68","28","20","0.05","0.01","0","Ternary","0","0","MO"
"69","17","20","0.05","0.01","0","Ternary","0","0","MO"
"70","0","20","0.05","0.01","0","Ternary","0","0","MO"
"71","4","20","0.05","0.01","0","Ternary","0","0","MO"
"72","14","20","0.05","0.01","0","Ternary","0","0","MO"
"73","2","20","0.05","0.01","0","Ternary","0","0","MO"
"74","4","20","0.05","0.01","0","Ternary","0","0","MO"
"75","8","20","0.05","0.01","0","Ternary","0","0","MO"
"76","3","20","0.05","0.01","0","Ternary","0","0","MO"
"77","5","20","0.05","0.01","0","Ternary","0","0","MO"
"78","5","20","0.05","0.01","0","Ternary","0","0","MO"
"79","7","20","0.05","0.01","0","Ternary","0","0","MO"
"80","21","20","0.05","0.01","0","Ternary","0","0","MO"
"81","5","20","0.05","0.01","0","Ternary","0","0","MO"
"82","24","20","0.05","0.01","0","Ternary","0","0","MO"
"83","4","20","0.05","0.01","0","Ternary","0","0","MO"
"84","8","20","0.05","0.01","0","Ternary","0","0","MO"
"85","4","20","0.05","0.01","0","Ternary","0","0","MO"
"86","15","20","0.05","0.01","0","Ternary","0","0","MO"
"87","4","20","0.05","0.01","0","Ternary","0","0","MO"
"88","2","20","0.05","0.01","0","Ternary","0","0","MO"
"89","3","20","0.05","0.01","0","Ternary","0","0","MO"
"90","6","20","0.05","0.01","0","Ternary","0","0","MO"
"91","5","20","0.05","0.01","0","Ternary","0","0","MO"
"92","36","20","0.05","0.01","0","Ternary","0","0","MO"
"93","24","20","0.05","0.01","0","Ternary","0","0","MO"
"94","36","20","0.05","0.01","0","Ternary","0","0","MO"
"95","0","20","0.05","0.01","0","Ternary","0","0","MO"
"96","13","20","0.05","0.01","0","Ternary","0","0","MO"
"97","5","20","0.05","0.01","0","Ternary","0","0","MO"
"98","3","20","0.05","0.01","0","Ternary","0","0","MO"
"99","0","20","0.05","0.01","0","Ternary","0","0","MO"
"100","12","20","0.05","0.01","0","Ternary","0","0","MO"
"101","5","20","0.05","0.1","0","Ternary","0","0","MO"
"102","12","20","0.05","0.1","0","Ternary","0","0","MO"
"103","2","20","0.05","0.1","0","Ternary","0","0","MO"
"104","7","20","0.05","0.1","0","Ternary","0","0","MO"
"105","6","20","0.05","0.1","0","Ternary","0","0","MO"
"106","7","20","0.05","0.1","0","Ternary","0","0","MO"
"107","9","20","0.05","0.1","0","Ternary","0","0","MO"
"108","19","20","0.05","0.1","0","Ternary","0","0","MO"
"109","10","20","0.05","0.1","0","Ternary","0","0","MO"
"110","8","20","0.05","0.1","0","Ternary","0","0","MO"
"111","3","20","0.05","0.1","0","Ternary","0","0","MO"
"112","10","20","0.05","0.1","0","Ternary","0","0","MO"
"113","4","20","0.05","0.1","0","Ternary","0","0","MO"
"114","1","20","0.05","0.1","0","Ternary","0","0","MO"
"115","28","20","0.05","0.1","0","Ternary","0","0","MO"
"116","6","20","0.05","0.1","0","Ternary","0","0","MO"
"117","1","20","0.05","0.1","0","Ternary","0","0","MO"
"118","0","20","0.05","0.1","0","Ternary","0","0","MO"
"119","17","20","0.05","0.1","0","Ternary","0","0","MO"
"120","16","20","0.05","0.1","0","Ternary","0","0","MO"
"121","3","20","0.05","0.1","0","Ternary","0","0","MO"
"122","18","20","0.05","0.1","0","Ternary","0","0","MO"
"123","6","20","0.05","0.1","0","Ternary","0","0","MO"
"124","2","20","0.05","0.1","0","Ternary","0","0","MO"
"125","2","20","0.05","0.1","0","Ternary","0","0","MO"
"126","2","20","0.05","0.1","0","Ternary","0","0","MO"
"127","30","20","0.05","0.1","0","Ternary","0","0","MO"
"128","5","20","0.05","0.1","0","Ternary","0","0","MO"
"129","11","20","0.05","0.1","0","Ternary","0","0","MO"
"130","1","20","0.05","0.1","0","Ternary","0","0","MO"
"131","16","20","0.05","0.1","0","Ternary","0","0","MO"
"132","11","20","0.05","0.1","0","Ternary","0","0","MO"
"133","4","20","0.05","0.1","0","Ternary","0","0","MO"
"134","7","20","0.05","0.1","0","Ternary","0","0","MO"
"135","10","20","0.05","0.1","0","Ternary","0","0","MO"
"136","11","20","0.05","0.1","0","Ternary","0","0","MO"
"137","7","20","0.05","0.1","0","Ternary","0","0","MO"
"138","8","20","0.05","0.1","0","Ternary","0","0","MO"
"139","5","20","0.05","0.1","0","Ternary","0","0","MO"
"140","4","20","0.05","0.1","0","Ternary","0","0","MO"
"141","8","20","0.05","0.1","0","Ternary","0","0","MO"
"142","5","20","0.05","0.1","0","Ternary","0","0","MO"
"143","10","20","0.05","0.1","0","Ternary","0","0","MO"
"144","8","20","0.05","0.1","0","Ternary","0","0","MO"
"145","8","20","0.05","0.1","0","Ternary","0","0","MO"
"146","10","20","0.05","0.1","0","Ternary","0","0","MO"
"147","29","20","0.05","0.1","0","Ternary","0","0","MO"
"148","5","20","0.05","0.1","0","Ternary","0","0","MO"
"149","2","20","0.05","0.1","0","Ternary","0","0","MO"
"150","17","20","0.05","0.1","0","Ternary","0","0","MO"
"151","5","20","0.05","0.1","0","Ternary","0","0","MO"
"152","5","20","0.05","0.1","0","Ternary","0","0","MO"
"153","7","20","0.05","0.1","0","Ternary","0","0","MO"
"154","0","20","0.05","0.1","0","Ternary","0","0","MO"
"155","4","20","0.05","0.1","0","Ternary","0","0","MO"
"156","16","20","0.05","0.1","0","Ternary","0","0","MO"
"157","3","20","0.05","0.1","0","Ternary","0","0","MO"
"158","7","20","0.05","0.1","0","Ternary","0","0","MO"
"159","2","20","0.05","0.1","0","Ternary","0","0","MO"
"160","8","20","0.05","0.1","0","Ternary","0","0","MO"
"161","2","20","0.05","0.1","0","Ternary","0","0","MO"
"162","12","20","0.05","0.1","0","Ternary","0","0","MO"
"163","9","20","0.05","0.1","0","Ternary","0","0","MO"
"164","3","20","0.05","0.1","0","Ternary","0","0","MO"
"165","2","20","0.05","0.1","0","Ternary","0","0","MO"
"166","9","20","0.05","0.1","0","Ternary","0","0","MO"
"167","3","20","0.05","0.1","0","Ternary","0","0","MO"
"168","16","20","0.05","0.1","0","Ternary","0","0","MO"
"169","4","20","0.05","0.1","0","Ternary","0","0","MO"
"170","1","20","0.05","0.1","0","Ternary","0","0","MO"
"171","1","20","0.05","0.1","0","Ternary","0","0","MO"
"172","6","20","0.05","0.1","0","Ternary","0","0","MO"
"173","16","20","0.05","0.1","0","Ternary","0","0","MO"
"174","9","20","0.05","0.1","0","Ternary","0","0","MO"
"175","3","20","0.05","0.1","0","Ternary","0","0","MO"
"176","11","20","0.05","0.1","0","Ternary","0","0","MO"
"177","21","20","0.05","0.1","0","Ternary","0","0","MO"
