"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1","34","40","0.1","0.01","0","Ternary","0","0","MO"
"2","26","40","0.1","0.01","0","Ternary","0","0","MO"
"3","38","40","0.1","0.01","0","Ternary","0","0","MO"
"4","33","40","0.1","0.01","0","Ternary","0","0","MO"
"5","15","40","0.1","0.01","0","Ternary","0","0","MO"
"6","133","40","0.1","0.01","0","Ternary","0","0","MO"
"7","39","40","0.1","0.01","0","Ternary","0","0","MO"
"8","26","40","0.1","0.01","0","Ternary","0","0","MO"
"9","28","40","0.1","0.01","0","Ternary","0","0","MO"
"10","33","40","0.1","0.01","0","Ternary","0","0","MO"
"11","32","40","0.1","0.01","0","Ternary","0","0","MO"
"12","111","40","0.1","0.01","0","Ternary","0","0","MO"
"13","35","40","0.1","0.01","0","Ternary","0","0","MO"
"14","9","40","0.1","0.01","0","Ternary","0","0","MO"
"15","19","40","0.1","0.01","0","Ternary","0","0","MO"
"16","23","40","0.1","0.01","0","Ternary","0","0","MO"
"17","35","40","0.1","0.01","0","Ternary","0","0","MO"
"18","28","40","0.1","0.01","0","Ternary","0","0","MO"
"19","13","40","0.1","0.01","0","Ternary","0","0","MO"
"20","17","40","0.1","0.01","0","Ternary","0","0","MO"
"21","5","40","0.1","0.01","0","Ternary","0","0","MO"
"22","61","40","0.1","0.01","0","Ternary","0","0","MO"
"23","30","40","0.1","0.01","0","Ternary","0","0","MO"
"24","58","40","0.1","0.01","0","Ternary","0","0","MO"
"25","17","40","0.1","0.01","0","Ternary","0","0","MO"
"26","25","40","0.1","0.01","0","Ternary","0","0","MO"
"27","38","40","0.1","0.01","0","Ternary","0","0","MO"
"28","17","40","0.1","0.01","0","Ternary","0","0","MO"
"29","12","40","0.1","0.01","0","Ternary","0","0","MO"
"30","61","40","0.1","0.01","0","Ternary","0","0","MO"
"31","31","40","0.1","0.01","0","Ternary","0","0","MO"
"32","17","40","0.1","0.01","0","Ternary","0","0","MO"
"33","31","40","0.1","0.01","0","Ternary","0","0","MO"
"34","6","40","0.1","0.01","0","Ternary","0","0","MO"
"35","34","40","0.1","0.01","0","Ternary","0","0","MO"
"36","27","40","0.1","0.01","0","Ternary","0","0","MO"
"37","12","40","0.1","0.01","0","Ternary","0","0","MO"
"38","60","40","0.1","0.01","0","Ternary","0","0","MO"
"39","36","40","0.1","0.01","0","Ternary","0","0","MO"
"40","97","40","0.1","0.01","0","Ternary","0","0","MO"
"41","26","40","0.1","0.01","0","Ternary","0","0","MO"
"42","35","40","0.1","0.01","0","Ternary","0","0","MO"
"43","22","40","0.1","0.01","0","Ternary","0","0","MO"
"44","15","40","0.1","0.01","0","Ternary","0","0","MO"
"45","32","40","0.1","0.01","0","Ternary","0","0","MO"
"46","32","40","0.1","0.01","0","Ternary","0","0","MO"
"47","8","40","0.1","0.01","0","Ternary","0","0","MO"
"48","47","40","0.1","0.01","0","Ternary","0","0","MO"
"49","18","40","0.1","0.01","0","Ternary","0","0","MO"
"50","71","40","0.1","0.01","0","Ternary","0","0","MO"
"51","77","40","0.1","0.01","0","Ternary","0","0","MO"
"52","34","40","0.1","0.01","0","Ternary","0","0","MO"
"53","59","40","0.1","0.01","0","Ternary","0","0","MO"
"54","14","40","0.1","0.01","0","Ternary","0","0","MO"
"55","33","40","0.1","0.01","0","Ternary","0","0","MO"
"56","67","40","0.1","0.01","0","Ternary","0","0","MO"
"57","71","40","0.1","0.01","0","Ternary","0","0","MO"
"58","5","40","0.1","0.01","0","Ternary","0","0","MO"
"59","8","40","0.1","0.01","0","Ternary","0","0","MO"
