"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1","30","20","0.05","0.01","0","Ternary","0","0","MO"
"2","46","20","0.05","0.01","0","Ternary","0","0","MO"
"3","8","20","0.05","0.01","0","Ternary","0","0","MO"
"4","11","20","0.05","0.01","0","Ternary","0","0","MO"
"5","7","20","0.05","0.01","0","Ternary","0","0","MO"
"6","8","20","0.05","0.01","0","Ternary","0","0","MO"
"7","5","20","0.05","0.01","0","Ternary","0","0","MO"
"8","5","20","0.05","0.01","0","Ternary","0","0","MO"
"9","6","20","0.05","0.01","0","Ternary","0","0","MO"
"10","26","20","0.05","0.01","0","Ternary","0","0","MO"
"11","14","20","0.05","0.01","0","Ternary","0","0","MO"
"12","44","20","0.05","0.01","0","Ternary","0","0","MO"
"13","23","20","0.05","0.01","0","Ternary","0","0","MO"
"14","15","20","0.05","0.01","0","Ternary","0","0","MO"
"15","22","20","0.05","0.01","0","Ternary","0","0","MO"
"16","7","20","0.05","0.01","0","Ternary","0","0","MO"
"17","7","20","0.05","0.01","0","Ternary","0","0","MO"
"18","3","20","0.05","0.01","0","Ternary","0","0","MO"
"19","20","20","0.05","0.01","0","Ternary","0","0","MO"
"20","31","20","0.05","0.01","0","Ternary","0","0","MO"
"21","14","20","0.05","0.01","0","Ternary","0","0","MO"
"22","2","20","0.05","0.01","0","Ternary","0","0","MO"
"23","9","20","0.05","0.01","0","Ternary","0","0","MO"
"24","14","20","0.05","0.01","0","Ternary","0","0","MO"
"25","6","20","0.05","0.01","0","Ternary","0","0","MO"
"26","6","20","0.05","0.01","0","Ternary","0","0","MO"
"27","66","20","0.05","0.01","0","Ternary","0","0","MO"
"28","29","20","0.05","0.01","0","Ternary","0","0","MO"
"29","24","20","0.05","0.01","0","Ternary","0","0","MO"
"30","3","20","0.05","0.01","0","Ternary","0","0","MO"
"31","4","20","0.05","0.01","0","Ternary","0","0","MO"
"32","8","20","0.05","0.01","0","Ternary","0","0","MO"
"33","6","20","0.05","0.01","0","Ternary","0","0","MO"
"34","26","20","0.05","0.01","0","Ternary","0","0","MO"
"35","16","20","0.05","0.01","0","Ternary","0","0","MO"
"36","2","20","0.05","0.01","0","Ternary","0","0","MO"
"37","9","20","0.05","0.01","0","Ternary","0","0","MO"
"38","23","20","0.05","0.01","0","Ternary","0","0","MO"
"39","7","20","0.05","0.01","0","Ternary","0","0","MO"
"40","15","20","0.05","0.01","0","Ternary","0","0","MO"
"41","3","20","0.05","0.01","0","Ternary","0","0","MO"
"42","7","20","0.05","0.01","0","Ternary","0","0","MO"
"43","6","20","0.05","0.01","0","Ternary","0","0","MO"
"44","21","20","0.05","0.01","0","Ternary","0","0","MO"
"45","8","20","0.05","0.01","0","Ternary","0","0","MO"
"46","22","20","0.05","0.01","0","Ternary","0","0","MO"
"47","42","20","0.05","0.01","0","Ternary","0","0","MO"
"48","10","20","0.05","0.01","0","Ternary","0","0","MO"
"49","3","20","0.05","0.01","0","Ternary","0","0","MO"
"50","5","20","0.05","0.01","0","Ternary","0","0","MO"
"51","9","20","0.05","0.01","0","Ternary","0","0","MO"
"52","3","20","0.05","0.01","0","Ternary","0","0","MO"
"53","3","20","0.05","0.01","0","Ternary","0","0","MO"
"54","3","20","0.05","0.01","0","Ternary","0","0","MO"
"55","14","20","0.05","0.01","0","Ternary","0","0","MO"
"56","10","20","0.05","0.01","0","Ternary","0","0","MO"
"57","6","20","0.05","0.01","0","Ternary","0","0","MO"
"58","22","20","0.05","0.01","0","Ternary","0","0","MO"
"59","22","20","0.05","0.01","0","Ternary","0","0","MO"
"60","19","20","0.05","0.01","0","Ternary","0","0","MO"
"61","1","20","0.05","0.01","0","Ternary","0","0","MO"
"62","44","20","0.05","0.01","0","Ternary","0","0","MO"
"63","8","20","0.05","0.01","0","Ternary","0","0","MO"
"64","14","20","0.05","0.01","0","Ternary","0","0","MO"
"65","18","20","0.05","0.01","0","Ternary","0","0","MO"
"66","19","20","0.05","0.01","0","Ternary","0","0","MO"
"67","22","20","0.05","0.01","0","Ternary","0","0","MO"
"68","28","20","0.05","0.01","0","Ternary","0","0","MO"
"69","17","20","0.05","0.01","0","Ternary","0","0","MO"
"70","2","20","0.05","0.01","0","Ternary","0","0","MO"
"71","6","20","0.05","0.01","0","Ternary","0","0","MO"
"72","18","20","0.05","0.01","0","Ternary","0","0","MO"
"73","2","20","0.05","0.01","0","Ternary","0","0","MO"
"74","4","20","0.05","0.01","0","Ternary","0","0","MO"
"75","20","20","0.05","0.01","0","Ternary","0","0","MO"
"76","6","20","0.05","0.01","0","Ternary","0","0","MO"
"77","15","20","0.05","0.01","0","Ternary","0","0","MO"
"78","8","20","0.05","0.01","0","Ternary","0","0","MO"
"79","13","20","0.05","0.01","0","Ternary","0","0","MO"
"80","21","20","0.05","0.01","0","Ternary","0","0","MO"
"81","5","20","0.05","0.01","0","Ternary","0","0","MO"
"82","27","20","0.05","0.01","0","Ternary","0","0","MO"
"83","4","20","0.05","0.01","0","Ternary","0","0","MO"
"84","15","20","0.05","0.01","0","Ternary","0","0","MO"
"85","4","20","0.05","0.01","0","Ternary","0","0","MO"
"86","27","20","0.05","0.01","0","Ternary","0","0","MO"
"87","4","20","0.05","0.01","0","Ternary","0","0","MO"
"88","2","20","0.05","0.01","0","Ternary","0","0","MO"
"89","9","20","0.05","0.01","0","Ternary","0","0","MO"
"90","6","20","0.05","0.01","0","Ternary","0","0","MO"
"91","19","20","0.05","0.01","0","Ternary","0","0","MO"
"92","45","20","0.05","0.01","0","Ternary","0","0","MO"
"93","36","20","0.05","0.01","0","Ternary","0","0","MO"
"94","63","20","0.05","0.01","0","Ternary","0","0","MO"
"95","0","20","0.05","0.01","0","Ternary","0","0","MO"
"96","17","20","0.05","0.01","0","Ternary","0","0","MO"
"97","11","20","0.05","0.01","0","Ternary","0","0","MO"
"98","3","20","0.05","0.01","0","Ternary","0","0","MO"
"99","1","20","0.05","0.01","0","Ternary","0","0","MO"
"100","12","20","0.05","0.01","0","Ternary","0","0","MO"
"101","14","20","0.05","0.1","0","Ternary","0","0","MO"
"102","20","20","0.05","0.1","0","Ternary","0","0","MO"
"103","3","20","0.05","0.1","0","Ternary","0","0","MO"
"104","7","20","0.05","0.1","0","Ternary","0","0","MO"
"105","18","20","0.05","0.1","0","Ternary","0","0","MO"
"106","7","20","0.05","0.1","0","Ternary","0","0","MO"
"107","9","20","0.05","0.1","0","Ternary","0","0","MO"
"108","19","20","0.05","0.1","0","Ternary","0","0","MO"
"109","10","20","0.05","0.1","0","Ternary","0","0","MO"
"110","23","20","0.05","0.1","0","Ternary","0","0","MO"
"111","3","20","0.05","0.1","0","Ternary","0","0","MO"
"112","19","20","0.05","0.1","0","Ternary","0","0","MO"
"113","4","20","0.05","0.1","0","Ternary","0","0","MO"
"114","3","20","0.05","0.1","0","Ternary","0","0","MO"
"115","28","20","0.05","0.1","0","Ternary","0","0","MO"
"116","12","20","0.05","0.1","0","Ternary","0","0","MO"
"117","3","20","0.05","0.1","0","Ternary","0","0","MO"
"118","0","20","0.05","0.1","0","Ternary","0","0","MO"
"119","17","20","0.05","0.1","0","Ternary","0","0","MO"
"120","32","20","0.05","0.1","0","Ternary","0","0","MO"
"121","3","20","0.05","0.1","0","Ternary","0","0","MO"
"122","18","20","0.05","0.1","0","Ternary","0","0","MO"
"123","6","20","0.05","0.1","0","Ternary","0","0","MO"
"124","2","20","0.05","0.1","0","Ternary","0","0","MO"
"125","8","20","0.05","0.1","0","Ternary","0","0","MO"
"126","2","20","0.05","0.1","0","Ternary","0","0","MO"
"127","39","20","0.05","0.1","0","Ternary","0","0","MO"
"128","13","20","0.05","0.1","0","Ternary","0","0","MO"
"129","16","20","0.05","0.1","0","Ternary","0","0","MO"
"130","1","20","0.05","0.1","0","Ternary","0","0","MO"
"131","17","20","0.05","0.1","0","Ternary","0","0","MO"
"132","19","20","0.05","0.1","0","Ternary","0","0","MO"
"133","4","20","0.05","0.1","0","Ternary","0","0","MO"
"134","21","20","0.05","0.1","0","Ternary","0","0","MO"
"135","14","20","0.05","0.1","0","Ternary","0","0","MO"
"136","11","20","0.05","0.1","0","Ternary","0","0","MO"
"137","7","20","0.05","0.1","0","Ternary","0","0","MO"
"138","18","20","0.05","0.1","0","Ternary","0","0","MO"
"139","5","20","0.05","0.1","0","Ternary","0","0","MO"
"140","7","20","0.05","0.1","0","Ternary","0","0","MO"
"141","9","20","0.05","0.1","0","Ternary","0","0","MO"
"142","5","20","0.05","0.1","0","Ternary","0","0","MO"
"143","10","20","0.05","0.1","0","Ternary","0","0","MO"
"144","28","20","0.05","0.1","0","Ternary","0","0","MO"
"145","8","20","0.05","0.1","0","Ternary","0","0","MO"
"146","18","20","0.05","0.1","0","Ternary","0","0","MO"
"147","29","20","0.05","0.1","0","Ternary","0","0","MO"
"148","5","20","0.05","0.1","0","Ternary","0","0","MO"
"149","6","20","0.05","0.1","0","Ternary","0","0","MO"
"150","37","20","0.05","0.1","0","Ternary","0","0","MO"
"151","21","20","0.05","0.1","0","Ternary","0","0","MO"
"152","5","20","0.05","0.1","0","Ternary","0","0","MO"
"153","10","20","0.05","0.1","0","Ternary","0","0","MO"
"154","1","20","0.05","0.1","0","Ternary","0","0","MO"
"155","4","20","0.05","0.1","0","Ternary","0","0","MO"
"156","16","20","0.05","0.1","0","Ternary","0","0","MO"
"157","8","20","0.05","0.1","0","Ternary","0","0","MO"
"158","21","20","0.05","0.1","0","Ternary","0","0","MO"
"159","4","20","0.05","0.1","0","Ternary","0","0","MO"
"160","20","20","0.05","0.1","0","Ternary","0","0","MO"
"161","2","20","0.05","0.1","0","Ternary","0","0","MO"
"162","24","20","0.05","0.1","0","Ternary","0","0","MO"
"163","12","20","0.05","0.1","0","Ternary","0","0","MO"
"164","3","20","0.05","0.1","0","Ternary","0","0","MO"
"165","2","20","0.05","0.1","0","Ternary","0","0","MO"
"166","18","20","0.05","0.1","0","Ternary","0","0","MO"
"167","6","20","0.05","0.1","0","Ternary","0","0","MO"
"168","20","20","0.05","0.1","0","Ternary","0","0","MO"
"169","4","20","0.05","0.1","0","Ternary","0","0","MO"
"170","3","20","0.05","0.1","0","Ternary","0","0","MO"
"171","1","20","0.05","0.1","0","Ternary","0","0","MO"
"172","6","20","0.05","0.1","0","Ternary","0","0","MO"
"173","16","20","0.05","0.1","0","Ternary","0","0","MO"
"174","13","20","0.05","0.1","0","Ternary","0","0","MO"
"175","4","20","0.05","0.1","0","Ternary","0","0","MO"
"176","19","20","0.05","0.1","0","Ternary","0","0","MO"
"177","41","20","0.05","0.1","0","Ternary","0","0","MO"
"178","4","20","0.05","0.1","0","Ternary","0","0","MO"
"179","5","20","0.05","0.1","0","Ternary","0","0","MO"
"180","14","20","0.05","0.1","0","Ternary","0","0","MO"
"181","11","20","0.05","0.1","0","Ternary","0","0","MO"
"182","7","20","0.05","0.1","0","Ternary","0","0","MO"
"183","14","20","0.05","0.1","0","Ternary","0","0","MO"
"184","25","20","0.05","0.1","0","Ternary","0","0","MO"
"185","10","20","0.05","0.1","0","Ternary","0","0","MO"
"186","6","20","0.05","0.1","0","Ternary","0","0","MO"
"187","19","20","0.05","0.1","0","Ternary","0","0","MO"
"188","12","20","0.05","0.1","0","Ternary","0","0","MO"
"189","5","20","0.05","0.1","0","Ternary","0","0","MO"
"190","13","20","0.05","0.1","0","Ternary","0","0","MO"
"191","13","20","0.05","0.1","0","Ternary","0","0","MO"
