"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1","132","80","0.1","0.1","0","Ternary","0","0","MO"
"2","119","80","0.1","0.1","0","Ternary","0","0","MO"
"3","259","80","0.1","0.1","0","Ternary","0","0","MO"
"4","168","80","0.1","0.1","0","Ternary","0","0","MO"
"5","172","80","0.1","0.1","0","Ternary","0","0","MO"
"6","138","80","0.1","0.1","0","Ternary","0","0","MO"
"7","68","80","0.1","0.1","0","Ternary","0","0","MO"
"8","81","80","0.1","0.1","0","Ternary","0","0","MO"
"9","291","80","0.1","0.1","0","Ternary","0","0","MO"
"10","150","80","0.1","0.1","0","Ternary","0","0","MO"
"11","173","80","0.1","0.1","0","Ternary","0","0","MO"
"12","232","80","0.1","0.1","0","Ternary","0","0","MO"
"13","124","80","0.1","0.1","0","Ternary","0","0","MO"
"14","517","80","0.1","0.1","0","Ternary","0","0","MO"
"15","262","80","0.1","0.1","0","Ternary","0","0","MO"
"16","48","80","0.1","0.1","0","Ternary","0","0","MO"
"17","111","80","0.1","0.1","0","Ternary","0","0","MO"
"18","154","80","0.1","0.1","0","Ternary","0","0","MO"
"19","150","80","0.1","0.1","0","Ternary","0","0","MO"
"20","168","80","0.1","0.1","0","Ternary","0","0","MO"
"21","242","80","0.1","0.1","0","Ternary","0","0","MO"
"22","143","80","0.1","0.1","0","Ternary","0","0","MO"
"23","148","80","0.1","0.1","0","Ternary","0","0","MO"
"24","213","80","0.1","0.1","0","Ternary","0","0","MO"
"25","368","80","0.1","0.1","0","Ternary","0","0","MO"
"26","326","80","0.1","0.1","0","Ternary","0","0","MO"
"27","154","80","0.1","0.1","0","Ternary","0","0","MO"
"28","144","80","0.1","0.1","0","Ternary","0","0","MO"
"29","434","80","0.1","0.1","0","Ternary","0","0","MO"
"30","243","80","0.1","0.1","0","Ternary","0","0","MO"
"31","519","80","0.1","0.1","0","Ternary","0","0","MO"
"32","210","80","0.1","0.1","0","Ternary","0","0","MO"
"33","177","80","0.1","0.1","0","Ternary","0","0","MO"
"34","144","80","0.1","0.1","0","Ternary","0","0","MO"
"35","489","80","0.1","0.1","0","Ternary","0","0","MO"
"36","178","80","0.1","0.1","0","Ternary","0","0","MO"
"37","244","80","0.1","0.1","0","Ternary","0","0","MO"
"38","271","80","0.1","0.1","0","Ternary","0","0","MO"
"39","231","80","0.1","0.1","0","Ternary","0","0","MO"
"40","450","80","0.1","0.1","0","Ternary","0","0","MO"
"41","251","80","0.1","0.1","0","Ternary","0","0","MO"
"42","261","80","0.1","0.1","0","Ternary","0","0","MO"
"43","112","80","0.1","0.1","0","Ternary","0","0","MO"
"44","125","80","0.1","0.1","0","Ternary","0","0","MO"
"45","263","80","0.1","0.1","0","Ternary","0","0","MO"
"46","119","80","0.1","0.1","0","Ternary","0","0","MO"
"47","268","80","0.1","0.1","0","Ternary","0","0","MO"
"48","213","80","0.1","0.1","0","Ternary","0","0","MO"
"49","246","80","0.1","0.1","0","Ternary","0","0","MO"
"50","278","80","0.1","0.1","0","Ternary","0","0","MO"
"51","101","80","0.1","0.1","0","Ternary","0","0","MO"
"52","264","80","0.1","0.1","0","Ternary","0","0","MO"
"53","235","80","0.1","0.1","0","Ternary","0","0","MO"
"54","103","80","0.1","0.1","0","Ternary","0","0","MO"
"55","174","80","0.1","0.1","0","Ternary","0","0","MO"
"56","100","80","0.1","0.1","0","Ternary","0","0","MO"
"57","272","80","0.1","0.1","0","Ternary","0","0","MO"
"58","101","80","0.1","0.1","0","Ternary","0","0","MO"
"59","63","80","0.1","0.1","0","Ternary","0","0","MO"
"60","194","80","0.1","0.1","0","Ternary","0","0","MO"
"61","100","80","0.1","0.1","0","Ternary","0","0","MO"
"62","111","80","0.1","0.1","0","Ternary","0","0","MO"
"63","615","80","0.1","0.1","0","Ternary","0","0","MO"
"64","198","80","0.1","0.1","0","Ternary","0","0","MO"
"65","40","80","0.1","0.1","0","Ternary","0","0","MO"
"66","157","80","0.1","0.1","0","Ternary","0","0","MO"
"67","156","80","0.1","0.1","0","Ternary","0","0","MO"
"68","422","80","0.1","0.1","0","Ternary","0","0","MO"
"69","145","80","0.1","0.1","0","Ternary","0","0","MO"
"70","290","80","0.1","0.1","0","Ternary","0","0","MO"
"71","63","80","0.1","0.1","0","Ternary","0","0","MO"
"72","166","80","0.1","0.1","0","Ternary","0","0","MO"
"73","181","80","0.1","0.1","0","Ternary","0","0","MO"
"74","128","80","0.1","0.1","0","Ternary","0","0","MO"
"75","252","80","0.1","0.1","0","Ternary","0","0","MO"
"76","65","80","0.1","0.1","0","Ternary","0","0","MO"
"77","79","80","0.1","0.1","0","Ternary","0","0","MO"
"78","194","80","0.1","0.1","0","Ternary","0","0","MO"
"79","228","80","0.1","0.1","0","Ternary","0","0","MO"
"80","68","80","0.1","0.1","0","Ternary","0","0","MO"
"81","146","80","0.1","0.1","0","Ternary","0","0","MO"
"82","227","80","0.1","0.1","0","Ternary","0","0","MO"
"83","161","80","0.1","0.1","0","Ternary","0","0","MO"
"84","415","80","0.1","0.1","0","Ternary","0","0","MO"
"85","132","80","0.1","0.1","0","Ternary","0","0","MO"
"86","180","80","0.1","0.1","0","Ternary","0","0","MO"
"87","45","80","0.1","0.1","0","Ternary","0","0","MO"
"88","202","80","0.1","0.1","0","Ternary","0","0","MO"
"89","267","80","0.1","0.1","0","Ternary","0","0","MO"
"90","202","80","0.1","0.1","0","Ternary","0","0","MO"
"91","210","80","0.1","0.1","0","Ternary","0","0","MO"
"92","115","80","0.1","0.1","0","Ternary","0","0","MO"
"93","127","80","0.1","0.1","0","Ternary","0","0","MO"
"94","253","80","0.1","0.1","0","Ternary","0","0","MO"
"95","124","80","0.1","0.1","0","Ternary","0","0","MO"
"96","175","80","0.1","0.1","0","Ternary","0","0","MO"
"97","264","80","0.1","0.1","0","Ternary","0","0","MO"
"98","291","80","0.1","0.1","0","Ternary","0","0","MO"
"99","112","80","0.1","0.1","0","Ternary","0","0","MO"
"100","154","80","0.1","0.1","0","Ternary","0","0","MO"
