"","inferred_pair","true_pair","sites","error","missing_index","Genotype","lost_rate","lost_br","Method"
"1","698","854","80","0.4","0","Binary","0","0","MO"
"2","395","584","80","0.4","0","Binary","0","0","MO"
"3","414","545","80","0.4","0","Binary","0","0","MO"
"4","388","629","80","0.4","0","Binary","0","0","MO"
"5","484","698","80","0.4","0","Binary","0","0","MO"
"6","360","536","80","0.4","0","Binary","0","0","MO"
"7","448","670","80","0.4","0","Binary","0","0","MO"
"8","626","664","80","0.4","0","Binary","0","0","MO"
"9","695","849","80","0.4","0","Binary","0","0","MO"
"10","367","766","80","0.4","0","Binary","0","0","MO"
"11","716","1153","80","0.4","0","Binary","0","0","MO"
"12","1129","1174","80","0.4","0","Binary","0","0","MO"
"13","635","706","80","0.4","0","Binary","0","0","MO"
"14","408","656","80","0.4","0","Binary","0","0","MO"
"15","690","846","80","0.4","0","Binary","0","0","MO"
"16","387","715","80","0.4","0","Binary","0","0","MO"
"17","1040","1252","80","0.4","0","Binary","0","0","MO"
"18","560","669","80","0.4","0","Binary","0","0","MO"
"19","446","544","80","0.4","0","Binary","0","0","MO"
"20","652","946","80","0.4","0","Binary","0","0","MO"
"21","464","700","80","0.4","0","Binary","0","0","MO"
"22","690","818","80","0.4","0","Binary","0","0","MO"
"23","625","684","80","0.4","0","Binary","0","0","MO"
"24","708","790","80","0.4","0","Binary","0","0","MO"
"25","721","1226","80","0.4","0","Binary","0","0","MO"
"26","817","966","80","0.4","0","Binary","0","0","MO"
"27","400","743","80","0.4","0","Binary","0","0","MO"
"28","630","702","80","0.4","0","Binary","0","0","MO"
"29","791","879","80","0.4","0","Binary","0","0","MO"
"30","463","825","80","0.4","0","Binary","0","0","MO"
"31","839","1000","80","0.4","0","Binary","0","0","MO"
"32","316","497","80","0.4","0","Binary","0","0","MO"
"33","499","623","80","0.4","0","Binary","0","0","MO"
"34","477","588","80","0.4","0","Binary","0","0","MO"
"35","530","615","80","0.4","0","Binary","0","0","MO"
"36","506","672","80","0.4","0","Binary","0","0","MO"
"37","777","880","80","0.4","0","Binary","0","0","MO"
"38","1055","1121","80","0.4","0","Binary","0","0","MO"
"39","1004","1027","80","0.4","0","Binary","0","0","MO"
"40","563","654","80","0.4","0","Binary","0","0","MO"
"41","340","497","80","0.4","0","Binary","0","0","MO"
"42","735","830","80","0.4","0","Binary","0","0","MO"
"43","845","1024","80","0.4","0","Binary","0","0","MO"
"44","674","1204","80","0.4","0","Binary","0","0","MO"
"45","612","644","80","0.4","0","Binary","0","0","MO"
"46","1013","1047","80","0.4","0","Binary","0","0","MO"
"47","412","563","80","0.4","0","Binary","0","0","MO"
"48","373","461","80","0.4","0","Binary","0","0","MO"
"49","433","509","80","0.4","0","Binary","0","0","MO"
"50","611","648","80","0.4","0","Binary","0","0","MO"
"51","237","438","80","0.4","0","Binary","0","0","MO"
"52","637","1171","80","0.4","0","Binary","0","0","MO"
"53","662","954","80","0.4","0","Binary","0","0","MO"
"54","363","609","80","0.4","0","Binary","0","0","MO"
"55","529","655","80","0.4","0","Binary","0","0","MO"
"56","619","915","80","0.4","0","Binary","0","0","MO"
"57","816","948","80","0.4","0","Binary","0","0","MO"
"58","520","894","80","0.4","0","Binary","0","0","MO"
"59","580","739","80","0.4","0","Binary","0","0","MO"
"60","415","511","80","0.4","0","Binary","0","0","MO"
"61","1050","1154","80","0.4","0","Binary","0","0","MO"
"62","487","554","80","0.4","0","Binary","0","0","MO"
"63","356","552","80","0.4","0","Binary","0","0","MO"
"64","739","910","80","0.4","0","Binary","0","0","MO"
"65","604","698","80","0.4","0","Binary","0","0","MO"
"66","786","954","80","0.4","0","Binary","0","0","MO"
"67","983","1067","80","0.4","0","Binary","0","0","MO"
"68","1027","1112","80","0.4","0","Binary","0","0","MO"
"69","400","532","80","0.4","0","Binary","0","0","MO"
"70","694","1034","80","0.4","0","Binary","0","0","MO"
"71","381","414","80","0.4","0","Binary","0","0","MO"
"72","514","767","80","0.4","0","Binary","0","0","MO"
"73","729","1208","80","0.4","0","Binary","0","0","MO"
"74","459","596","80","0.4","0","Binary","0","0","MO"
"75","389","442","80","0.4","0","Binary","0","0","MO"
"76","331","527","80","0.4","0","Binary","0","0","MO"
"77","414","480","80","0.4","0","Binary","0","0","MO"
"78","975","1035","80","0.4","0","Binary","0","0","MO"
"79","288","519","80","0.4","0","Binary","0","0","MO"
"80","543","760","80","0.4","0","Binary","0","0","MO"
"81","699","821","80","0.4","0","Binary","0","0","MO"
"82","618","741","80","0.4","0","Binary","0","0","MO"
"83","463","567","80","0.4","0","Binary","0","0","MO"
"84","632","759","80","0.4","0","Binary","0","0","MO"
"85","593","884","80","0.4","0","Binary","0","0","MO"
"86","333","452","80","0.4","0","Binary","0","0","MO"
"87","759","877","80","0.4","0","Binary","0","0","MO"
"88","684","1022","80","0.4","0","Binary","0","0","MO"
"89","789","870","80","0.4","0","Binary","0","0","MO"
"90","470","545","80","0.4","0","Binary","0","0","MO"
"91","389","507","80","0.4","0","Binary","0","0","MO"
"92","820","1188","80","0.4","0","Binary","0","0","MO"
"93","579","1275","80","0.4","0","Binary","0","0","MO"
"94","564","813","80","0.4","0","Binary","0","0","MO"
"95","487","636","80","0.4","0","Binary","0","0","MO"
"96","473","698","80","0.4","0","Binary","0","0","MO"
"97","512","661","80","0.4","0","Binary","0","0","MO"
"98","633","857","80","0.4","0","Binary","0","0","MO"
"99","556","609","80","0.4","0","Binary","0","0","MO"
"100","728","1116","80","0.4","0","Binary","0","0","MO"
