"","inferred","true","numSitesAll","alpha_para","beta_para","missing_index","genotype_para","Method"
"1",1,1,20,0.05,0.05,0,"Binary","MO"
"2",1,1,20,0.05,0.05,0,"Binary","MO"
"3",1,1,20,0.05,0.05,0,"Binary","MO"
"4",1,1,20,0.05,0.05,0,"Binary","MO"
"5",1,1,20,0.05,0.05,0,"Binary","MO"
"6",1,1,20,0.05,0.05,0,"Binary","MO"
"7",1,1,20,0.05,0.05,0,"Binary","MO"
"8",1,1,20,0.05,0.05,0,"Binary","MO"
"9",1,1,20,0.05,0.05,0,"Binary","MO"
"10",1,1,20,0.05,0.05,0,"Binary","MO"
"11",1,1,20,0.05,0.05,0,"Binary","MO"
"12",1,1,20,0.05,0.05,0,"Binary","MO"
"13",1,1,20,0.05,0.05,0,"Binary","MO"
"14",1,1,20,0.05,0.05,0,"Binary","MO"
"15",1,1,20,0.05,0.05,0,"Binary","MO"
"16",1,1,20,0.05,0.05,0,"Binary","MO"
"17",1,1,20,0.05,0.05,0,"Binary","MO"
"18",1,1,20,0.05,0.05,0,"Binary","MO"
"19",1,1,20,0.05,0.05,0,"Binary","MO"
"20",1,1,20,0.05,0.05,0,"Binary","MO"
"21",1,1,20,0.05,0.05,0,"Binary","MO"
"22",1,1,20,0.05,0.05,0,"Binary","MO"
"23",1,1,20,0.05,0.05,0,"Binary","MO"
"24",1,1,20,0.05,0.05,0,"Binary","MO"
"25",1,1,20,0.05,0.05,0,"Binary","MO"
"26",1,1,20,0.05,0.05,0,"Binary","MO"
"27",1,1,20,0.05,0.05,0,"Binary","MO"
"28",1,1,20,0.05,0.05,0,"Binary","MO"
"29",1,1,20,0.05,0.05,0,"Binary","MO"
"30",1,1,20,0.05,0.05,0,"Binary","MO"
"31",1,1,20,0.05,0.05,0,"Binary","MO"
"32",1,1,20,0.05,0.05,0,"Binary","MO"
"33",1,1,20,0.05,0.05,0,"Binary","MO"
"34",1,1,20,0.05,0.05,0,"Binary","MO"
"35",1,1,20,0.05,0.05,0,"Binary","MO"
"36",1,1,20,0.05,0.05,0,"Binary","MO"
"37",1,1,20,0.05,0.05,0,"Binary","MO"
"38",1,1,20,0.05,0.05,0,"Binary","MO"
"39",1,1,20,0.05,0.05,0,"Binary","MO"
"40",1,1,20,0.05,0.05,0,"Binary","MO"
"41",1,1,20,0.05,0.05,0,"Binary","MO"
"42",1,1,20,0.05,0.05,0,"Binary","MO"
"43",1,1,20,0.05,0.05,0,"Binary","MO"
"44",1,1,20,0.05,0.05,0,"Binary","MO"
"45",1,1,20,0.05,0.05,0,"Binary","MO"
"46",1,1,20,0.05,0.05,0,"Binary","MO"
"47",1,1,20,0.05,0.05,0,"Binary","MO"
"48",1,1,20,0.05,0.05,0,"Binary","MO"
"49",1,1,20,0.05,0.05,0,"Binary","MO"
"50",1,1,20,0.05,0.05,0,"Binary","MO"
"51",1,1,20,0.05,0.05,0,"Binary","MO"
"52",1,1,20,0.05,0.05,0,"Binary","MO"
"53",1,1,20,0.05,0.05,0,"Binary","MO"
"54",1,1,20,0.05,0.05,0,"Binary","MO"
"55",1,1,20,0.05,0.05,0,"Binary","MO"
"56",1,1,20,0.05,0.05,0,"Binary","MO"
"57",1,1,20,0.05,0.05,0,"Binary","MO"
"58",1,1,20,0.05,0.05,0,"Binary","MO"
"59",1,1,20,0.05,0.05,0,"Binary","MO"
"60",1,1,20,0.05,0.05,0,"Binary","MO"
"61",1,1,20,0.05,0.05,0,"Binary","MO"
"62",1,1,20,0.05,0.05,0,"Binary","MO"
"63",1,1,20,0.05,0.05,0,"Binary","MO"
"64",1,1,20,0.05,0.05,0,"Binary","MO"
"65",1,1,20,0.05,0.05,0,"Binary","MO"
"66",1,1,20,0.05,0.05,0,"Binary","MO"
"67",1,1,20,0.05,0.05,0,"Binary","MO"
"68",1,1,20,0.05,0.05,0,"Binary","MO"
"69",1,1,20,0.05,0.05,0,"Binary","MO"
"70",1,1,20,0.05,0.05,0,"Binary","MO"
"71",1,1,20,0.05,0.05,0,"Binary","MO"
"72",1,1,20,0.05,0.05,0,"Binary","MO"
"73",1,1,20,0.05,0.05,0,"Binary","MO"
"74",1,1,20,0.05,0.05,0,"Binary","MO"
"75",1,1,20,0.05,0.05,0,"Binary","MO"
"76",1,1,20,0.05,0.05,0,"Binary","MO"
"77",1,1,20,0.05,0.05,0,"Binary","MO"
"78",1,1,20,0.05,0.05,0,"Binary","MO"
"79",1,1,20,0.05,0.05,0,"Binary","MO"
"80",1,1,20,0.05,0.05,0,"Binary","MO"
"81",1,1,20,0.05,0.05,0,"Binary","MO"
"82",1,1,20,0.05,0.05,0,"Binary","MO"
"83",1,1,20,0.05,0.05,0,"Binary","MO"
"84",1,1,20,0.05,0.05,0,"Binary","MO"
"85",1,1,20,0.05,0.05,0,"Binary","MO"
"86",1,1,20,0.05,0.05,0,"Binary","MO"
"87",1,1,20,0.05,0.05,0,"Binary","MO"
"88",1,1,20,0.05,0.05,0,"Binary","MO"
"89",1,1,20,0.05,0.05,0,"Binary","MO"
"90",1,1,20,0.05,0.05,0,"Binary","MO"
"91",1,1,20,0.05,0.05,0,"Binary","MO"
"92",1,1,20,0.05,0.05,0,"Binary","MO"
"93",1,1,20,0.05,0.05,0,"Binary","MO"
"94",1,1,20,0.05,0.05,0,"Binary","MO"
"95",1,1,20,0.05,0.05,0,"Binary","MO"
"96",1,1,20,0.05,0.05,0,"Binary","MO"
"97",1,1,20,0.05,0.05,0,"Binary","MO"
"98",1,1,20,0.05,0.05,0,"Binary","MO"
"99",1,1,20,0.05,0.05,0,"Binary","MO"
"100",1,1,20,0.05,0.05,0,"Binary","MO"
"101",1,1,20,0.1,0.1,0,"Binary","MO"
"102",1,1,20,0.1,0.1,0,"Binary","MO"
"103",1,1,20,0.1,0.1,0,"Binary","MO"
"104",1,1,20,0.1,0.1,0,"Binary","MO"
"105",1,1,20,0.1,0.1,0,"Binary","MO"
"106",1,1,20,0.1,0.1,0,"Binary","MO"
"107",1,1,20,0.1,0.1,0,"Binary","MO"
"108",1,1,20,0.1,0.1,0,"Binary","MO"
"109",1,1,20,0.1,0.1,0,"Binary","MO"
"110",1,1,20,0.1,0.1,0,"Binary","MO"
"111",1,1,20,0.1,0.1,0,"Binary","MO"
"112",1,1,20,0.1,0.1,0,"Binary","MO"
"113",1,1,20,0.1,0.1,0,"Binary","MO"
"114",1,1,20,0.1,0.1,0,"Binary","MO"
"115",1,1,20,0.1,0.1,0,"Binary","MO"
"116",1,1,20,0.1,0.1,0,"Binary","MO"
"117",1,1,20,0.1,0.1,0,"Binary","MO"
"118",1,1,20,0.1,0.1,0,"Binary","MO"
"119",1,1,20,0.1,0.1,0,"Binary","MO"
"120",1,1,20,0.1,0.1,0,"Binary","MO"
"121",1,1,20,0.1,0.1,0,"Binary","MO"
"122",1,1,20,0.1,0.1,0,"Binary","MO"
"123",1,1,20,0.1,0.1,0,"Binary","MO"
"124",1,1,20,0.1,0.1,0,"Binary","MO"
"125",1,1,20,0.1,0.1,0,"Binary","MO"
"126",1,1,20,0.1,0.1,0,"Binary","MO"
"127",0,1,20,0.1,0.1,0,"Binary","MO"
"128",1,1,20,0.1,0.1,0,"Binary","MO"
"129",1,1,20,0.1,0.1,0,"Binary","MO"
"130",1,1,20,0.1,0.1,0,"Binary","MO"
"131",1,1,20,0.1,0.1,0,"Binary","MO"
"132",1,1,20,0.1,0.1,0,"Binary","MO"
"133",1,1,20,0.1,0.1,0,"Binary","MO"
"134",1,1,20,0.1,0.1,0,"Binary","MO"
"135",1,1,20,0.1,0.1,0,"Binary","MO"
"136",1,1,20,0.1,0.1,0,"Binary","MO"
"137",1,1,20,0.1,0.1,0,"Binary","MO"
"138",1,1,20,0.1,0.1,0,"Binary","MO"
"139",1,1,20,0.1,0.1,0,"Binary","MO"
"140",1,1,20,0.1,0.1,0,"Binary","MO"
"141",1,1,20,0.1,0.1,0,"Binary","MO"
"142",1,1,20,0.1,0.1,0,"Binary","MO"
"143",1,1,20,0.1,0.1,0,"Binary","MO"
"144",1,1,20,0.1,0.1,0,"Binary","MO"
"145",1,1,20,0.1,0.1,0,"Binary","MO"
"146",1,1,20,0.1,0.1,0,"Binary","MO"
"147",1,1,20,0.1,0.1,0,"Binary","MO"
"148",1,1,20,0.1,0.1,0,"Binary","MO"
"149",1,1,20,0.1,0.1,0,"Binary","MO"
"150",1,1,20,0.1,0.1,0,"Binary","MO"
"151",1,1,20,0.1,0.1,0,"Binary","MO"
"152",1,1,20,0.1,0.1,0,"Binary","MO"
"153",1,1,20,0.1,0.1,0,"Binary","MO"
"154",1,1,20,0.1,0.1,0,"Binary","MO"
"155",1,1,20,0.1,0.1,0,"Binary","MO"
"156",1,1,20,0.1,0.1,0,"Binary","MO"
"157",1,1,20,0.1,0.1,0,"Binary","MO"
"158",0,1,20,0.1,0.1,0,"Binary","MO"
"159",1,1,20,0.1,0.1,0,"Binary","MO"
"160",1,1,20,0.1,0.1,0,"Binary","MO"
"161",1,1,20,0.1,0.1,0,"Binary","MO"
"162",1,1,20,0.1,0.1,0,"Binary","MO"
"163",1,1,20,0.1,0.1,0,"Binary","MO"
"164",1,1,20,0.1,0.1,0,"Binary","MO"
"165",1,1,20,0.1,0.1,0,"Binary","MO"
"166",1,1,20,0.1,0.1,0,"Binary","MO"
"167",1,1,20,0.1,0.1,0,"Binary","MO"
"168",1,1,20,0.1,0.1,0,"Binary","MO"
"169",1,1,20,0.1,0.1,0,"Binary","MO"
"170",1,1,20,0.1,0.1,0,"Binary","MO"
"171",1,1,20,0.1,0.1,0,"Binary","MO"
"172",1,1,20,0.1,0.1,0,"Binary","MO"
"173",1,1,20,0.1,0.1,0,"Binary","MO"
"174",1,1,20,0.1,0.1,0,"Binary","MO"
"175",1,1,20,0.1,0.1,0,"Binary","MO"
"176",1,1,20,0.1,0.1,0,"Binary","MO"
"177",1,1,20,0.1,0.1,0,"Binary","MO"
"178",1,1,20,0.1,0.1,0,"Binary","MO"
"179",1,1,20,0.1,0.1,0,"Binary","MO"
"180",1,1,20,0.1,0.1,0,"Binary","MO"
"181",1,1,20,0.1,0.1,0,"Binary","MO"
"182",1,1,20,0.1,0.1,0,"Binary","MO"
"183",1,1,20,0.1,0.1,0,"Binary","MO"
"184",1,1,20,0.1,0.1,0,"Binary","MO"
"185",1,1,20,0.1,0.1,0,"Binary","MO"
"186",1,1,20,0.1,0.1,0,"Binary","MO"
"187",1,1,20,0.1,0.1,0,"Binary","MO"
"188",1,1,20,0.1,0.1,0,"Binary","MO"
"189",1,1,20,0.1,0.1,0,"Binary","MO"
"190",1,1,20,0.1,0.1,0,"Binary","MO"
