"","inferred_pair","true_pair","sites","error","missing_index","Genotype","lost_rate","lost_br","Method"
"1","94","122","40","0.2","0","Binary","0","0","MO"
"2","168","178","40","0.2","0","Binary","0","0","MO"
"3","139","155","40","0.2","0","Binary","0","0","MO"
"4","113","114","40","0.2","0","Binary","0","0","MO"
"5","110","116","40","0.2","0","Binary","0","0","MO"
"6","66","67","40","0.2","0","Binary","0","0","MO"
"7","99","108","40","0.2","0","Binary","0","0","MO"
"8","98","108","40","0.2","0","Binary","0","0","MO"
"9","244","246","40","0.2","0","Binary","0","0","MO"
"10","147","155","40","0.2","0","Binary","0","0","MO"
"11","152","157","40","0.2","0","Binary","0","0","MO"
"12","129","129","40","0.2","0","Binary","0","0","MO"
"13","156","173","40","0.2","0","Binary","0","0","MO"
"14","109","115","40","0.2","0","Binary","0","0","MO"
"15","225","226","40","0.2","0","Binary","0","0","MO"
"16","114","117","40","0.2","0","Binary","0","0","MO"
"17","56","65","40","0.2","0","Binary","0","0","MO"
"18","91","107","40","0.2","0","Binary","0","0","MO"
"19","171","180","40","0.2","0","Binary","0","0","MO"
"20","102","111","40","0.2","0","Binary","0","0","MO"
"21","38","50","40","0.2","0","Binary","0","0","MO"
"22","159","160","40","0.2","0","Binary","0","0","MO"
"23","125","137","40","0.2","0","Binary","0","0","MO"
"24","137","137","40","0.2","0","Binary","0","0","MO"
"25","122","136","40","0.2","0","Binary","0","0","MO"
"26","114","114","40","0.2","0","Binary","0","0","MO"
"27","70","74","40","0.2","0","Binary","0","0","MO"
"28","103","106","40","0.2","0","Binary","0","0","MO"
"29","98","107","40","0.2","0","Binary","0","0","MO"
"30","95","98","40","0.2","0","Binary","0","0","MO"
"31","116","132","40","0.2","0","Binary","0","0","MO"
"32","131","146","40","0.2","0","Binary","0","0","MO"
"33","124","135","40","0.2","0","Binary","0","0","MO"
"34","247","249","40","0.2","0","Binary","0","0","MO"
"35","87","90","40","0.2","0","Binary","0","0","MO"
"36","123","123","40","0.2","0","Binary","0","0","MO"
"37","95","97","40","0.2","0","Binary","0","0","MO"
"38","96","105","40","0.2","0","Binary","0","0","MO"
"39","105","114","40","0.2","0","Binary","0","0","MO"
"40","124","132","40","0.2","0","Binary","0","0","MO"
"41","66","68","40","0.2","0","Binary","0","0","MO"
"42","110","111","40","0.2","0","Binary","0","0","MO"
"43","105","120","40","0.2","0","Binary","0","0","MO"
"44","109","114","40","0.2","0","Binary","0","0","MO"
"45","113","120","40","0.2","0","Binary","0","0","MO"
"46","78","92","40","0.2","0","Binary","0","0","MO"
"47","108","111","40","0.2","0","Binary","0","0","MO"
"48","72","80","40","0.2","0","Binary","0","0","MO"
"49","179","194","40","0.2","0","Binary","0","0","MO"
"50","184","189","40","0.2","0","Binary","0","0","MO"
"51","104","108","40","0.2","0","Binary","0","0","MO"
"52","113","123","40","0.2","0","Binary","0","0","MO"
"53","88","94","40","0.2","0","Binary","0","0","MO"
"54","83","91","40","0.2","0","Binary","0","0","MO"
"55","189","201","40","0.2","0","Binary","0","0","MO"
"56","110","110","40","0.2","0","Binary","0","0","MO"
"57","59","67","40","0.2","0","Binary","0","0","MO"
"58","66","72","40","0.2","0","Binary","0","0","MO"
"59","104","117","40","0.2","0","Binary","0","0","MO"
"60","106","106","40","0.2","0","Binary","0","0","MO"
"61","134","134","40","0.2","0","Binary","0","0","MO"
"62","135","143","40","0.2","0","Binary","0","0","MO"
"63","169","169","40","0.2","0","Binary","0","0","MO"
"64","48","62","40","0.2","0","Binary","0","0","MO"
"65","174","175","40","0.2","0","Binary","0","0","MO"
"66","106","106","40","0.2","0","Binary","0","0","MO"
"67","60","61","40","0.2","0","Binary","0","0","MO"
"68","130","134","40","0.2","0","Binary","0","0","MO"
"69","133","133","40","0.2","0","Binary","0","0","MO"
"70","116","120","40","0.2","0","Binary","0","0","MO"
"71","234","240","40","0.2","0","Binary","0","0","MO"
"72","181","201","40","0.2","0","Binary","0","0","MO"
"73","151","162","40","0.2","0","Binary","0","0","MO"
"74","94","94","40","0.2","0","Binary","0","0","MO"
"75","108","111","40","0.2","0","Binary","0","0","MO"
"76","129","135","40","0.2","0","Binary","0","0","MO"
"77","197","197","40","0.2","0","Binary","0","0","MO"
"78","121","125","40","0.2","0","Binary","0","0","MO"
"79","102","109","40","0.2","0","Binary","0","0","MO"
"80","228","228","40","0.2","0","Binary","0","0","MO"
"81","128","129","40","0.2","0","Binary","0","0","MO"
"82","74","85","40","0.2","0","Binary","0","0","MO"
"83","192","192","40","0.2","0","Binary","0","0","MO"
"84","77","79","40","0.2","0","Binary","0","0","MO"
"85","122","135","40","0.2","0","Binary","0","0","MO"
"86","74","92","40","0.2","0","Binary","0","0","MO"
"87","69","77","40","0.2","0","Binary","0","0","MO"
"88","162","162","40","0.2","0","Binary","0","0","MO"
"89","83","97","40","0.2","0","Binary","0","0","MO"
"90","101","102","40","0.2","0","Binary","0","0","MO"
"91","146","157","40","0.2","0","Binary","0","0","MO"
"92","142","157","40","0.2","0","Binary","0","0","MO"
"93","107","115","40","0.2","0","Binary","0","0","MO"
"94","149","161","40","0.2","0","Binary","0","0","MO"
"95","121","125","40","0.2","0","Binary","0","0","MO"
"96","215","217","40","0.2","0","Binary","0","0","MO"
"97","133","148","40","0.2","0","Binary","0","0","MO"
"98","83","85","40","0.2","0","Binary","0","0","MO"
"99","115","121","40","0.2","0","Binary","0","0","MO"
"100","76","85","40","0.2","0","Binary","0","0","MO"
