"","selected_First_branch","selected_Second_branch","selected_br","cat"
"1",6,0,6,1
"2",9,0,9,1
"3",15,0,15,1
"4",80,0,80,1
"5",51,0,51,1
"6",84,0,84,1
"7",76,0,18,0
"8",98,0,18,0
"9",6,0,6,1
"10",72,0,72,1
"11",18,0,18,1
"12",50,0,50,1
"13",22,0,22,1
"14",67,0,18,0
"15",88,0,18,0
"16",18,0,18,1
"17",57,0,57,1
"18",22,0,22,1
"19",39,0,39,1
"20",13,0,13,1
"21",50,0,50,1
"22",80,0,80,1
"23",51,0,51,1
"24",36,0,36,1
"25",51,0,51,1
"26",84,0,84,1
"27",50,0,50,1
"28",37,0,37,1
"29",18,0,18,1
"30",22,0,22,1
"31",18,0,18,1
"32",83,0,83,1
"33",68,0,18,0
"34",37,0,37,1
"35",18,0,18,1
"36",72,0,72,1
"37",25,0,25,1
"38",4,0,4,1
"39",50,0,50,1
"40",89,0,89,1
"41",73,0,73,1
"42",51,0,96,0
"43",96,0,96,1
"44",23,0,23,1
"45",78,0,78,1
"46",6,0,6,1
"47",6,0,6,1
"48",6,0,6,1
"49",2,0,2,1
"50",36,0,51,0
"51",2,0,2,1
"52",77,0,51,0
"53",50,0,50,1
"54",2,0,2,1
"55",6,0,6,1
"56",6,0,6,1
"57",98,0,98,1
"58",4,0,2,0
"59",2,0,2,1
"60",2,0,2,1
"61",84,0,84,1
"62",5,0,5,1
"63",75,0,75,1
"64",32,0,32,1
"65",6,0,6,1
"66",6,0,6,1
"67",84,0,84,1
"68",50,0,50,1
"69",88,0,88,1
"70",48,0,48,1
"71",26,0,26,1
"72",2,0,2,1
"73",37,0,37,1
"74",74,0,74,1
"75",11,0,11,1
"76",84,0,84,1
"77",6,0,6,1
"78",70,0,51,0
"79",69,0,67,0
"80",73,0,73,1
"81",33,0,33,1
"82",13,0,13,1
"83",89,0,89,1
"84",5,0,5,1
"85",5,0,5,1
"86",48,0,5,0
"87",74,0,5,0
"88",5,0,5,1
"89",65,0,29,0
"90",23,0,23,1
"91",3,0,3,1
"92",5,0,5,1
"93",43,0,43,1
"94",7,0,7,1
"95",5,0,5,1
"96",89,0,89,1
"97",5,0,5,1
"98",5,0,5,1
"99",91,0,91,1
"100",37,0,39,0
"101",51,0,51,1
"102",15,0,15,1
"103",10,0,5,0
"104",39,0,39,1
"105",42,0,42,1
"106",6,0,6,1
"107",89,0,89,1
