"","inferred_pair","true_pair","sites","error","missing_index","Genotype","lost_rate","lost_br","Method"
"1","168","174","80","0.05","0","Ternary","0","0","MO"
"2","203","203","80","0.05","0","Ternary","0","0","MO"
"3","168","168","80","0.05","0","Ternary","0","0","MO"
"4","193","193","80","0.05","0","Ternary","0","0","MO"
"5","147","156","80","0.05","0","Ternary","0","0","MO"
"6","114","114","80","0.05","0","Ternary","0","0","MO"
"7","179","179","80","0.05","0","Ternary","0","0","MO"
"8","182","212","80","0.05","0","Ternary","0","0","MO"
"9","249","249","80","0.05","0","Ternary","0","0","MO"
"10","188","188","80","0.05","0","Ternary","0","0","MO"
"11","202","202","80","0.05","0","Ternary","0","0","MO"
"12","216","216","80","0.05","0","Ternary","0","0","MO"
"13","259","260","80","0.05","0","Ternary","0","0","MO"
"14","165","165","80","0.05","0","Ternary","0","0","MO"
"15","391","391","80","0.05","0","Ternary","0","0","MO"
"16","208","208","80","0.05","0","Ternary","0","0","MO"
"17","350","350","80","0.05","0","Ternary","0","0","MO"
"18","280","280","80","0.05","0","Ternary","0","0","MO"
"19","329","329","80","0.05","0","Ternary","0","0","MO"
"20","252","268","80","0.05","0","Ternary","0","0","MO"
"21","297","299","80","0.05","0","Ternary","0","0","MO"
"22","214","214","80","0.05","0","Ternary","0","0","MO"
"23","159","159","80","0.05","0","Ternary","0","0","MO"
"24","202","202","80","0.05","0","Ternary","0","0","MO"
"25","390","390","80","0.05","0","Ternary","0","0","MO"
"26","242","242","80","0.05","0","Ternary","0","0","MO"
"27","227","227","80","0.05","0","Ternary","0","0","MO"
"28","188","188","80","0.05","0","Ternary","0","0","MO"
"29","257","257","80","0.05","0","Ternary","0","0","MO"
"30","218","218","80","0.05","0","Ternary","0","0","MO"
"31","177","177","80","0.05","0","Ternary","0","0","MO"
"32","200","200","80","0.05","0","Ternary","0","0","MO"
"33","237","237","80","0.05","0","Ternary","0","0","MO"
"34","237","237","80","0.05","0","Ternary","0","0","MO"
"35","215","215","80","0.05","0","Ternary","0","0","MO"
"36","208","213","80","0.05","0","Ternary","0","0","MO"
"37","212","212","80","0.05","0","Ternary","0","0","MO"
"38","226","226","80","0.05","0","Ternary","0","0","MO"
"39","368","379","80","0.05","0","Ternary","0","0","MO"
"40","222","222","80","0.05","0","Ternary","0","0","MO"
"41","136","136","80","0.05","0","Ternary","0","0","MO"
"42","186","186","80","0.05","0","Ternary","0","0","MO"
"43","249","249","80","0.05","0","Ternary","0","0","MO"
"44","340","340","80","0.05","0","Ternary","0","0","MO"
"45","237","237","80","0.05","0","Ternary","0","0","MO"
"46","256","265","80","0.05","0","Ternary","0","0","MO"
"47","160","160","80","0.05","0","Ternary","0","0","MO"
"48","146","146","80","0.05","0","Ternary","0","0","MO"
"49","147","147","80","0.05","0","Ternary","0","0","MO"
"50","208","208","80","0.05","0","Ternary","0","0","MO"
"51","139","139","80","0.05","0","Ternary","0","0","MO"
"52","212","212","80","0.05","0","Ternary","0","0","MO"
"53","191","191","80","0.05","0","Ternary","0","0","MO"
"54","214","214","80","0.05","0","Ternary","0","0","MO"
"55","281","281","80","0.05","0","Ternary","0","0","MO"
"56","180","180","80","0.05","0","Ternary","0","0","MO"
"57","181","181","80","0.05","0","Ternary","0","0","MO"
"58","199","205","80","0.05","0","Ternary","0","0","MO"
"59","152","154","80","0.05","0","Ternary","0","0","MO"
"60","270","270","80","0.05","0","Ternary","0","0","MO"
"61","203","203","80","0.05","0","Ternary","0","0","MO"
"62","265","286","80","0.05","0","Ternary","0","0","MO"
"63","138","138","80","0.05","0","Ternary","0","0","MO"
