"","inferred_pair","true_pair","sites","error","missing_index","Genotype","lost_rate","lost_br","Method"
"1","5","5","20","0.2","0","Ternary","0","0","MO"
"2","57","57","20","0.2","0","Ternary","0","0","MO"
"3","35","38","20","0.2","0","Ternary","0","0","MO"
"4","36","36","20","0.2","0","Ternary","0","0","MO"
"5","26","26","20","0.2","0","Ternary","0","0","MO"
"6","17","22","20","0.2","0","Ternary","0","0","MO"
"7","36","36","20","0.2","0","Ternary","0","0","MO"
"8","21","21","20","0.2","0","Ternary","0","0","MO"
"9","35","35","20","0.2","0","Ternary","0","0","MO"
"10","28","33","20","0.2","0","Ternary","0","0","MO"
"11","36","36","20","0.2","0","Ternary","0","0","MO"
"12","37","37","20","0.2","0","Ternary","0","0","MO"
"13","18","19","20","0.2","0","Ternary","0","0","MO"
"14","30","30","20","0.2","0","Ternary","0","0","MO"
"15","22","22","20","0.2","0","Ternary","0","0","MO"
"16","23","25","20","0.2","0","Ternary","0","0","MO"
"17","33","33","20","0.2","0","Ternary","0","0","MO"
"18","32","35","20","0.2","0","Ternary","0","0","MO"
"19","34","36","20","0.2","0","Ternary","0","0","MO"
"20","18","18","20","0.2","0","Ternary","0","0","MO"
"21","17","17","20","0.2","0","Ternary","0","0","MO"
"22","17","19","20","0.2","0","Ternary","0","0","MO"
"23","43","43","20","0.2","0","Ternary","0","0","MO"
"24","59","59","20","0.2","0","Ternary","0","0","MO"
"25","24","24","20","0.2","0","Ternary","0","0","MO"
"26","35","35","20","0.2","0","Ternary","0","0","MO"
"27","12","13","20","0.2","0","Ternary","0","0","MO"
"28","12","13","20","0.2","0","Ternary","0","0","MO"
"29","10","10","20","0.2","0","Ternary","0","0","MO"
"30","13","15","20","0.2","0","Ternary","0","0","MO"
"31","23","23","20","0.2","0","Ternary","0","0","MO"
"32","19","19","20","0.2","0","Ternary","0","0","MO"
"33","15","15","20","0.2","0","Ternary","0","0","MO"
"34","44","44","20","0.2","0","Ternary","0","0","MO"
"35","33","33","20","0.2","0","Ternary","0","0","MO"
"36","16","19","20","0.2","0","Ternary","0","0","MO"
"37","31","31","20","0.2","0","Ternary","0","0","MO"
"38","23","23","20","0.2","0","Ternary","0","0","MO"
"39","14","15","20","0.2","0","Ternary","0","0","MO"
"40","57","57","20","0.2","0","Ternary","0","0","MO"
"41","25","25","20","0.2","0","Ternary","0","0","MO"
"42","25","25","20","0.2","0","Ternary","0","0","MO"
"43","13","13","20","0.2","0","Ternary","0","0","MO"
"44","30","30","20","0.2","0","Ternary","0","0","MO"
"45","31","31","20","0.2","0","Ternary","0","0","MO"
"46","40","40","20","0.2","0","Ternary","0","0","MO"
"47","25","25","20","0.2","0","Ternary","0","0","MO"
"48","28","28","20","0.2","0","Ternary","0","0","MO"
"49","20","20","20","0.2","0","Ternary","0","0","MO"
"50","22","26","20","0.2","0","Ternary","0","0","MO"
"51","30","32","20","0.2","0","Ternary","0","0","MO"
"52","39","40","20","0.2","0","Ternary","0","0","MO"
"53","44","44","20","0.2","0","Ternary","0","0","MO"
"54","20","20","20","0.2","0","Ternary","0","0","MO"
"55","24","24","20","0.2","0","Ternary","0","0","MO"
"56","14","15","20","0.2","0","Ternary","0","0","MO"
"57","24","26","20","0.2","0","Ternary","0","0","MO"
"58","47","47","20","0.2","0","Ternary","0","0","MO"
"59","37","37","20","0.2","0","Ternary","0","0","MO"
"60","42","44","20","0.2","0","Ternary","0","0","MO"
"61","16","18","20","0.2","0","Ternary","0","0","MO"
"62","46","47","20","0.2","0","Ternary","0","0","MO"
"63","26","26","20","0.2","0","Ternary","0","0","MO"
"64","38","38","20","0.2","0","Ternary","0","0","MO"
"65","18","18","20","0.2","0","Ternary","0","0","MO"
"66","16","16","20","0.2","0","Ternary","0","0","MO"
"67","32","32","20","0.2","0","Ternary","0","0","MO"
"68","13","15","20","0.2","0","Ternary","0","0","MO"
"69","23","23","20","0.2","0","Ternary","0","0","MO"
"70","44","48","20","0.2","0","Ternary","0","0","MO"
"71","37","39","20","0.2","0","Ternary","0","0","MO"
"72","50","50","20","0.2","0","Ternary","0","0","MO"
"73","29","29","20","0.2","0","Ternary","0","0","MO"
"74","28","32","20","0.2","0","Ternary","0","0","MO"
